table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
7387,r001,All states,All states,,1,"['14,878', '&nbsp;']","['5,218,911', '&nbsp;']","['9,384', '&nbsp;']","['2,350,322', '&nbsp;']","['5,495', '&nbsp;']","['2,868,589', '&nbsp;']"
7387,r002,All states -> Alabama,All states,Alabama,2,"['97', '&nbsp;']","['108,536', 'r']","['29', '&nbsp;']","['20,965', '&nbsp;']","['69', 'r']","['87,571', 'r']"
7387,r003,All states -> Alaska,All states,Alaska,2,"['8', '&nbsp;']","['535', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['8', '&nbsp;']","['535', '&nbsp;']"
7387,r004,All states -> Arizona,All states,Arizona,2,"['228', '&nbsp;']","['58,705', '&nbsp;']","['124', '&nbsp;']","['28,524', '&nbsp;']","['104', '&nbsp;']","['30,181', '&nbsp;']"
7387,r005,All states -> Arkansas,All states,Arkansas,2,"['24', '&nbsp;']","['4,879', '&nbsp;']","['17', '&nbsp;']","['3,482', '&nbsp;']","['8', '&nbsp;']","['1,397', '&nbsp;']"
7387,r006,All states -> California,All states,California,2,"['3,544', '&nbsp;']","['1,424,295', '&nbsp;']","['2,377', '&nbsp;']","['634,127', '&nbsp;']","['1,167', '&nbsp;']","['790,168', '&nbsp;']"
7387,r007,All states -> Colorado,All states,Colorado,2,"['610', '&nbsp;']","['263,950', '&nbsp;']","['313', '&nbsp;']","['62,503', '&nbsp;']","['297', '&nbsp;']","['201,447', '&nbsp;']"
7387,r008,All states -> Connecticut,All states,Connecticut,2,"['196', '&nbsp;']","['108,367', '&nbsp;']","['105', '&nbsp;']","['59,266', '&nbsp;']","['92', 'r']","['49,101', '&nbsp;']"
7387,r009,All states -> Delaware,All states,Delaware,2,"['140', '&nbsp;']","['49,146', '&nbsp;']","['81', '&nbsp;']","['20,048', '&nbsp;']","['58', '&nbsp;']","['29,097', '&nbsp;']"
7387,r010,All states -> District of Columbia,All states,District of Columbia,2,"['46', '&nbsp;']","['15,224', '&nbsp;']","['35', '&nbsp;']","['6,459', '&nbsp;']","['11', '&nbsp;']","['8,765', '&nbsp;']"
7387,r011,All states -> Florida,All states,Florida,2,"['998', '&nbsp;']","['284,522', '&nbsp;']","['628', '&nbsp;']","['125,848', '&nbsp;']","['371', '&nbsp;']","['158,674', '&nbsp;']"
7387,r012,All states -> Georgia,All states,Georgia,2,"['306', '&nbsp;']","['67,080', '&nbsp;']","['110', '&nbsp;']","['25,950', '&nbsp;']","['196', '&nbsp;']","['41,130', '&nbsp;']"
7387,r013,All states -> Hawaii,All states,Hawaii,2,"['25', '&nbsp;']","['5,575', '&nbsp;']","['8', '&nbsp;']","['1,196', '&nbsp;']","['17', 'r']","['4,378', '&nbsp;']"
7387,r014,All states -> Idaho,All states,Idaho,2,"['68', '&nbsp;']","['20,342', 'r']","['25', 'r']","['4,272', 'r']","['44', 'r']","['16,070', 'r']"
7387,r015,All states -> Illinois,All states,Illinois,2,"['479', '&nbsp;']","['137,873', '&nbsp;']","['270', '&nbsp;']","['50,640', '&nbsp;']","['210', '&nbsp;']","['87,233', '&nbsp;']"
7387,r016,All states -> Indiana,All states,Indiana,2,"['192', '&nbsp;']","['47,889', '&nbsp;']","['147', '&nbsp;']","['29,655', '&nbsp;']","['46', '&nbsp;']","['18,235', '&nbsp;']"
7387,r017,All states -> Iowa,All states,Iowa,2,"['144', '&nbsp;']","['35,499', 'r']","['127', '&nbsp;']","['29,290', 'r']","['17', '&nbsp;']","['6,209', '&nbsp;']"
