table_id,row_id,company_size_full_path,company_size_level_1,company_size_level_2,company_size_level_3,company_size_hierarchy_depth,field_companies_number_,field_any_innovation_number_yes,field_any_innovation_number_no,field_any_innovation_percent_yes,field_any_innovation_percent_no
2609,r001,All companies,All companies,,,1,"['    4,603,606 ', '&nbsp;']","['    1,989,523 ', '&nbsp;']","['    2,614,083 ', '&nbsp;']","['    43.2 ', '&nbsp;']","['    56.8 ', '&nbsp;']"
2609,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2609,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,615,093 ', '&nbsp;']","['    1,007,148 ', '&nbsp;']","['    1,607,945 ', '&nbsp;']","['    38.5 ', '&nbsp;']","['    61.5 ', '&nbsp;']"
2609,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    885,880 ', '&nbsp;']","['    411,068 ', '&nbsp;']","['    474,812 ', '&nbsp;']","['    46.4 ', '&nbsp;']","['    53.6 ', '&nbsp;']"
2609,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2609,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    562,922 ', '&nbsp;']","['    280,804 ', '&nbsp;']","['    282,118 ', '&nbsp;']","['    49.9 ', '&nbsp;']","['    50.1 ', '&nbsp;']"
2609,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    353,037 ', '&nbsp;']","['    183,535 ', '&nbsp;']","['    169,502 ', '&nbsp;']","['    52.0 ', '&nbsp;']","['    48.0 ', '&nbsp;']"
2609,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2609,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    104,561 ', '&nbsp;']","['    58,760 ', '&nbsp;']","['    45,801 ', '&nbsp;']","['    56.2 ', '&nbsp;']","['    43.8 ', '&nbsp;']"
2609,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    52,429 ', '&nbsp;']","['    30,187 ', '&nbsp;']","['    22,243 ', '&nbsp;']","['    57.6 ', '&nbsp;']","['    42.4 ', '&nbsp;']"
2609,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2609,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['    15,665 ', '&nbsp;']","['    9,487 ', '&nbsp;']","['    6,178 ', '&nbsp;']","['    60.6 ', '&nbsp;']","['    39.4 ', '&nbsp;']"
2609,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['    7,026 ', '&nbsp;']","['    4,084 ', '&nbsp;']","['    2,942 ', '&nbsp;']","['    58.1 ', '&nbsp;']","['    41.9 ', '&nbsp;']"
2609,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['    5,514 ', '&nbsp;']","['    3,409 ', '&nbsp;']","['    2,105 ', '&nbsp;']","['    61.8 ', '&nbsp;']","['    38.2 ', '&nbsp;']"
2609,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['    744 ', '&nbsp;']","['    540 ', '&nbsp;']","['    204 ', '&nbsp;']","['    72.6 ', '&nbsp;']","['    27.4 ', '&nbsp;']"
2609,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['    447 ', '&nbsp;']","['    297 ', '&nbsp;']","['    150 ', '&nbsp;']","['    66.5 ', '&nbsp;']","['    33.5 ', '&nbsp;']"
2609,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['    288 ', '&nbsp;']","['    205 ', '&nbsp;']","['    84 ', '&nbsp;']","['    71.0 ', '&nbsp;']","['    29.0 ', '&nbsp;']"
