table_id,row_id,employment_sector_and_field_of_study_full_path,employment_sector_and_field_of_study_level_1,employment_sector_and_field_of_study_level_2,employment_sector_and_field_of_study_level_3,employment_sector_and_field_of_study_level_4,employment_sector_and_field_of_study_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_male_median_salary,field_male_se,field_female_median_salary,field_female_se
3730,r001,All sectors,All sectors,,,,1,119000,1000,127000,1500,100000,500
3730,r002,All sectors -> Science,All sectors,Science,,,2,110000,500,120000,500,99000,1500
3730,r003,"All sectors -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Science,"Biological, agricultural, and environmental life sciences",,3,110000,1500,120000,1000,99000,2000
3730,r004,All sectors -> Science -> Computer and information sciences,All sectors,Science,Computer and information sciences,,3,150000,3000,158000,4500,125000,6000
3730,r005,All sectors -> Science -> Mathematics and statistics,All sectors,Science,Mathematics and statistics,,3,114000,3500,117000,3500,101000,4000
3730,r006,"All sectors -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,120000,500,125000,1500,103000,2500
3730,r007,All sectors -> Science -> Psychology,All sectors,Science,Psychology,,3,101000,1500,115000,3000,98000,1000
3730,r008,All sectors -> Science -> Social sciences,All sectors,Science,Social sciences,,3,101000,2000,110000,1500,92000,2500
3730,r009,All sectors -> Engineering,All sectors,Engineering,,,2,137000,2000,140000,500,120000,2000
3730,r010,All sectors -> Health,All sectors,Health,,,2,110000,1500,125000,4000,103000,2500
3730,r011,All sectors -> 4-year educational institution<sup>a</sup>,All sectors,4-year educational institution<sup>a</sup>,,,2,95000,500,100000,500,86000,1500
3730,r012,All sectors -> 4-year educational institution<sup>a</sup> -> Science,All sectors,4-year educational institution<sup>a</sup>,Science,,3,92000,1000,100000,1000,84000,1500
3730,r013,"All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,4-year educational institution<sup>a</sup>,Science,"Biological, agricultural, and environmental life sciences",4,90000,500,100000,1500,80000,500
3730,r014,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Computer and information sciences,All sectors,4-year educational institution<sup>a</sup>,Science,Computer and information sciences,4,109000,3500,110000,2000,100000,2000
3730,r015,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Mathematics and statistics,All sectors,4-year educational institution<sup>a</sup>,Science,Mathematics and statistics,4,90000,1000,92000,2500,80000,1000
3730,r016,"All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,4-year educational institution<sup>a</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,90000,500,93000,2500,80000,1000
3730,r017,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Psychology,All sectors,4-year educational institution<sup>a</sup>,Science,Psychology,4,92000,2000,100000,1500,88000,1500
3730,r018,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Social sciences,All sectors,4-year educational institution<sup>a</sup>,Science,Social sciences,4,95000,500,100000,2000,86000,2000
3730,r019,All sectors -> 4-year educational institution<sup>a</sup> -> Engineering,All sectors,4-year educational institution<sup>a</sup>,Engineering,,3,108000,2000,109000,1500,97000,3000
3730,r020,All sectors -> 4-year educational institution<sup>a</sup> -> Health,All sectors,4-year educational institution<sup>a</sup>,Health,,3,97000,3000,100000,6000,94000,3000
3730,r021,All sectors -> Other educational institution<sup>b</sup>,All sectors,Other educational institution<sup>b</sup>,,,2,76000,1500,76000,2000,76000,2000
3730,r022,All sectors -> Other educational institution<sup>b</sup> -> Science,All sectors,Other educational institution<sup>b</sup>,Science,,3,77000,1500,77000,3000,76000,2000
3730,r023,"All sectors -> Other educational institution<sup>b</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Other educational institution<sup>b</sup>,Science,"Biological, agricultural, and environmental life sciences",4,73000,3000,75000,5000,69000,2000
3730,r024,All sectors -> Other educational institution<sup>b</sup> -> Science -> Computer and information sciences,All sectors,Other educational institution<sup>b</sup>,Science,Computer and information sciences,4,72000,7500,68000,9000,93000,25500
3730,r025,All sectors -> Other educational institution<sup>b</sup> -> Science -> Mathematics and statistics,All sectors,Other educational institution<sup>b</sup>,Science,Mathematics and statistics,4,76000,4500,73000,7000,78000,5000
3730,r026,"All sectors -> Other educational institution<sup>b</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Other educational institution<sup>b</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,70000,2500,72000,2500,70000,2000
3730,r027,All sectors -> Other educational institution<sup>b</sup> -> Science -> Psychology,All sectors,Other educational institution<sup>b</sup>,Science,Psychology,4,88000,3000,97000,8500,86000,3000
3730,r028,All sectors -> Other educational institution<sup>b</sup> -> Science -> Social sciences,All sectors,Other educational institution<sup>b</sup>,Science,Social sciences,4,77000,2000,80000,8500,75000,2500
3730,r029,All sectors -> Other educational institution<sup>b</sup> -> Engineering,All sectors,Other educational institution<sup>b</sup>,Engineering,,3,63000,8000,59000,4500,72000,7500
