table_id,row_id,_b_type_of_position_sex_and_degree_field_b_full_path,_b_type_of_position_sex_and_degree_field_b_level_1,_b_type_of_position_sex_and_degree_field_b_level_2,_b_type_of_position_sex_and_degree_field_b_level_3,_b_type_of_position_sex_and_degree_field_b_level_4,_b_type_of_position_sex_and_degree_field_b_level_5,_b_type_of_position_sex_and_degree_field_b_hierarchy_depth,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019,field_2021
9330,r001,All positions,All positions,,,,,1,,,,,,,,,
9330,r002,"All positions -> Both sexes, all fields",All positions,"Both sexes, all fields",,,,2,259.5,272.8,276.5,294.8,309.0,329.3,326.6,350.4,347.2
9330,r003,"All positions -> Both sexes, all fields -> Physical sciences",All positions,"Both sexes, all fields",Physical sciences,,,3,39.9,39.6,39.9,43.7,44.9,48.4,46.3,49.8,48.1
9330,r004,"All positions -> Both sexes, all fields -> Mathematics and statistics",All positions,"Both sexes, all fields",Mathematics and statistics,,,3,16.7,17.4,18.0,18.7,19.0,20.9,19.6,20.6,20.8
9330,r005,"All positions -> Both sexes, all fields -> Computer and information sciences",All positions,"Both sexes, all fields",Computer and information sciences,,,3,5.2,5.8,6.9,7.3,8.4,9.1,8.8,10.7,11.8
9330,r006,"All positions -> Both sexes, all fields -> Life sciences",All positions,"Both sexes, all fields",Life sciences,,,3,90.0,95.5,94.2,102.0,109.8,112.7,113.1,119.8,119.6
9330,r007,"All positions -> Both sexes, all fields -> Psychology",All positions,"Both sexes, all fields",Psychology,,,3,31.8,35.0,34.5,35.4,36.3,38.7,37.9,39.7,38.8
9330,r008,"All positions -> Both sexes, all fields -> Social sciences",All positions,"Both sexes, all fields",Social sciences,,,3,48.1,50.0,52.5,54.9,55.9,59.7,60.4,64.8,61.3
9330,r009,"All positions -> Both sexes, all fields -> Engineering",All positions,"Both sexes, all fields",Engineering,,,3,27.8,29.6,30.4,32.8,34.7,39.7,40.5,45.0,46.8
9330,r010,"All positions -> Both sexes, all fields -> Male, all fields",All positions,"Both sexes, all fields","Male, all fields",,,3,180.7,182.7,182.3,189.6,195.0,206.0,201.1,213.1,206.4
9330,r011,"All positions -> Both sexes, all fields -> Male, all fields -> Physical sciences",All positions,"Both sexes, all fields","Male, all fields",Physical sciences,,4,33.7,32.3,32.1,34.4,34.5,36.9,34.8,36.8,34.4
9330,r012,"All positions -> Both sexes, all fields -> Male, all fields -> Mathematics and statistics",All positions,"Both sexes, all fields","Male, all fields",Mathematics and statistics,,4,13.8,14.1,14.1,14.4,14.6,15.7,14.7,15.2,15.6
9330,r013,"All positions -> Both sexes, all fields -> Male, all fields -> Computer and information sciences",All positions,"Both sexes, all fields","Male, all fields",Computer and information sciences,,4,4.3,4.5,5.5,5.8,6.7,7.2,6.8,8.3,8.9
9330,r014,"All positions -> Both sexes, all fields -> Male, all fields -> Life sciences",All positions,"Both sexes, all fields","Male, all fields",Life sciences,,4,56.6,57.9,55.5,58.7,61.8,60.7,60.5,63.0,61.6
9330,r015,"All positions -> Both sexes, all fields -> Male, all fields -> Psychology",All positions,"Both sexes, all fields","Male, all fields",Psychology,,4,15.6,16.0,15.6,15.6,15.2,16.4,15.9,15.8,15.0
9330,r016,"All positions -> Both sexes, all fields -> Male, all fields -> Social sciences",All positions,"Both sexes, all fields","Male, all fields",Social sciences,,4,32.0,31.9,33.1,33.4,33.3,36.4,35.6,37.6,34.6
9330,r017,"All positions -> Both sexes, all fields -> Male, all fields -> Engineering",All positions,"Both sexes, all fields","Male, all fields",Engineering,,4,24.8,26.0,26.3,27.3,28.9,32.8,32.8,36.3,36.3
9330,r018,"All positions -> Both sexes, all fields -> Female, all fields",All positions,"Both sexes, all fields","Female, all fields",,,3,78.7,90.1,94.2,105.2,114.0,123.3,125.4,137.3,140.8
9330,r019,"All positions -> Both sexes, all fields -> Female, all fields -> Physical sciences",All positions,"Both sexes, all fields","Female, all fields",Physical sciences,,4,6.1,7.3,7.8,9.3,10.4,11.5,11.5,13.0,13.6
9330,r020,"All positions -> Both sexes, all fields -> Female, all fields -> Mathematics and statistics",All positions,"Both sexes, all fields","Female, all fields",Mathematics and statistics,,4,2.9,3.3,3.9,4.3,4.5,5.2,4.9,5.3,5.2
9330,r021,"All positions -> Both sexes, all fields -> Female, all fields -> Computer and information sciences",All positions,"Both sexes, all fields","Female, all fields",Computer and information sciences,,4,1.0,1.2,1.4,1.5,1.8,1.9,2.0,2.4,2.9
9330,r022,"All positions -> Both sexes, all fields -> Female, all fields -> Life sciences",All positions,"Both sexes, all fields","Female, all fields",Life sciences,,4,33.4,37.6,38.7,43.3,48.0,52.0,52.6,56.7,58.0
9330,r023,"All positions -> Both sexes, all fields -> Female, all fields -> Psychology",All positions,"Both sexes, all fields","Female, all fields",Psychology,,4,16.2,19.0,18.9,19.8,21.1,22.3,22.0,23.9,23.8
9330,r024,"All positions -> Both sexes, all fields -> Female, all fields -> Social sciences",All positions,"Both sexes, all fields","Female, all fields",Social sciences,,4,16.2,18.2,19.5,21.5,22.6,23.4,24.8,27.2,26.8
9330,r025,"All positions -> Both sexes, all fields -> Female, all fields -> Engineering",All positions,"Both sexes, all fields","Female, all fields",Engineering,,4,3.0,3.6,4.1,5.5,5.7,7.0,7.6,8.7,10.5
9330,r026,All positions -> Full-time senior faculty<sup>a</sup>,All positions,Full-time senior faculty<sup>a</sup>,,,,2,,,,,,,,,
9330,r027,"All positions -> Full-time senior faculty<sup>a</sup> -> Both sexes, all fields",All positions,Full-time senior faculty<sup>a</sup>,"Both sexes, all fields",,,3,142.0,139.4,147.5,152.8,158.0,168.2,162.4,182.0,179.8
9330,r028,"All positions -> Full-time senior faculty<sup>a</sup> -> Both sexes, all fields -> Physical sciences",All positions,Full-time senior faculty<sup>a</sup>,"Both sexes, all fields",Physical sciences,,4,21.3,20.2,20.9,22.4,22.2,23.2,22.1,25.1,24.5
9330,r029,"All positions -> Full-time senior faculty<sup>a</sup> -> Both sexes, all fields -> Mathematics and statistics",All positions,Full-time senior faculty<sup>a</sup>,"Both sexes, all fields",Mathematics and statistics,,4,11.2,10.7,11.6,11.5,11.7,13.1,11.8,12.5,12.2
9330,r030,"All positions -> Full-time senior faculty<sup>a</sup> -> Both sexes, all fields -> Computer and information sciences",All positions,Full-time senior faculty<sup>a</sup>,"Both sexes, all fields",Computer and information sciences,,4,2.9,3.2,3.8,4.2,4.9,5.3,5.0,5.8,6.5
