table_id,row_id,r_d_activity_full_path,r_d_activity_level_1,r_d_activity_level_2,r_d_activity_level_3,r_d_activity_hierarchy_depth,field_companies_number_,field_product_innovation_new_to_market_number_yes,field_product_innovation_new_to_market_number_no,field_product_innovation_new_to_market_percent_yes,field_product_innovation_new_to_market_percent_no
2641,r001,All companies,All companies,,,1,"['    4,603,606 ', '&nbsp;']","['    410,828 ', '&nbsp;']","['    4,192,778 ', '&nbsp;']","['    8.9 ', '&nbsp;']","['    91.1 ', '&nbsp;']"
2641,r002,All companies -> Product or process innovating companies,All companies,Product or process innovating companies,,2,"['    1,218,460 ', '&nbsp;']","['    387,116 ', '&nbsp;']","['    831,345 ', '&nbsp;']","['    31.8 ', '&nbsp;']","['    68.2 ', '&nbsp;']"
2641,r003,All companies -> Product or process innovating companies -> R&D-active companies,All companies,Product or process innovating companies,R&D-active companies,3,"['    365,864 ', '&nbsp;']","['    167,127 ', '&nbsp;']","['    198,737 ', '&nbsp;']","['    45.7 ', '&nbsp;']","['    54.3 ', '&nbsp;']"
2641,r004,All companies -> Product or process innovating companies -> Non-R&D-active companies,All companies,Product or process innovating companies,Non-R&D-active companies,3,"['    852,596 ', '&nbsp;']","['    219,988 ', '&nbsp;']","['    632,608 ', '&nbsp;']","['    25.8 ', '&nbsp;']","['    74.2 ', '&nbsp;']"
