table_id,row_id,step,matches_after_filter_4,matches_after_filter_5,matches_removed_by_filter_5,percentage_of_matches_removed_by_filter_5
9404,r001,1,9327,8916,411,4.41
9404,r002,2,5204,4892,312,6.0
9404,r003,3–6,1191,1161,30,2.52
9404,r004,Total,15722,14969,753,4.79
