table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022_preliminary_
10299,r001,All agencies,All agencies,,,,,1,127626,132779,131578,118274,121627,133278,146801,173553,194434,193551
10299,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10299,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,2031,2269,2352,2380,2575,2523,2666,3433,2955,3285
10299,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,5,6,7,7,7,7,8,7,13,15
10299,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1017,1123,1133,1152,1318,1229,1312,2204,1556,1608
10299,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,37,40,40,40,39,39,39,40,42,45
10299,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,71,78,85,85,86,86,86,82,85,90
10299,r008,All agencies -> Departments -> Department of Agriculture -> Foreign Agricultural Service,All agencies,Departments,Department of Agriculture,Foreign Agricultural Service,,4,1,0.05,1,0.05,0.05,0,0,0,0,0
10299,r009,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,337,343,340,354,337,343,337,351,298,355
10299,r010,"All agencies -> Departments -> Department of Agriculture -> Grain Inspection, Packers, and Stockyards Administration",All agencies,Departments,Department of Agriculture,"Grain Inspection, Packers, and Stockyards Administration",,4,6,8,8,8,0.05,na,na,na,na,na
10299,r011,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,7,9,9,9,9,9,9,9,9,11
10299,r012,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,546,657,726,721,774,805,871,738,937,1148
