table_id,row_id,debt_status_and_type,number_reporting_debt,mean_debt_,median_debt_
1671,r001,No education-related debt,28499,0,0
1671,r002,Both undergraduate and graduate debt,8681,78757,80000
1671,r003,Only graduate debt,7499,39803,25000
1671,r004,Only undergraduate debt,5343,24899,15000
