table_id,row_id,metric_description,usda,doc,dod,doe,hhs,dhs,doi,dot,va,epa,nasa
10509,r001,"Publications cited in granted USPTO patents, by author's affiliated agency",1689,1505,4614,11116,16063,61,134,29,6027,127,1277
10509,r002,"Publications with authors from U.S. federal agencies, by author's affiliated agency",6422,4209,9160,19100,13923,157,2725,181,13422,672,6303
10509,r003,"Patents granted to U.S. federal agencies, by inventor's agency of employment",22,37,465,425,147,43,1,1,64,8,73
