table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_united_states,field_puerto_ricoa,field_canada,field_austria,field_belgium,field_czechia,field_denmark,field_finland,field_france,field_germany,field_hungary,field_ireland,field_italy,field_luxembourg,field_netherlands,field_norway,field_poland,field_russia,field_spain,field_sweden,field_switzerland,field_turkey,field_united_kingdom,field_other_european_locations
2748,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['100,376', '  ']","['493', '  ']","['6,140', '  ']","['746', '  ']","['2,549', '  ']","['547', '  ']","['641', '  ']","['578', '  ']","['3,332', '  ']","['8,391', '  ']","['238', '  ']","['4,043', '  ']","['1,670', '  ']","['259', '  ']","['2,289', '  ']","['391', '  ']","['854', '  ']","['450', '  ']","['1,168', '  ']","['1,311', '  ']","['4,434', '  ']","['109', '  ']","['11,278', '  ']","['2,527', '  ']"
2748,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['64,878', '  ']","['481', '  ']","['3,390', '  ']","['608', '  ']","['2,239', '  ']","['184', '  ']","['437', '  ']","['342', '  ']","['2,177', '  ']","['6,564', '  ']","['69', '  ']","['2,232', '  ']","['1,344', '  ']","['172', '  ']","['1,408', '  ']","['290', '  ']","['505', '  ']","['245', '  ']","['716', '  ']","['758', '  ']","['2,771', '  ']","['58', '  ']","['5,299', '  ']","['1,262', '  ']"
2748,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['864', '  ']","['0 - 170', '  ']","['27', '  ']","['2', '  ']","['6', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['48', '  ']","['37', '  ']","['1', '  ']","['1', '  ']","['6', '  ']","['0', '  ']","['16', '  ']","['6', '  ']","['16', '  ']","['1', '  ']","['11', '  ']","['2', '  ']","['19', '  ']","['1', '  ']","['70', '  ']","['79', '  ']"
2748,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['16,749', '  ']","['59 - 95', '  ']","['644', '  ']","['355', '  ']","['1,857', '  ']","['26 - 48', '  ']","['124', '  ']","['44', '  ']","['644', '  ']","['1,142', '  ']","['30', '  ']","['1,242', '  ']","['266', '  ']","['134 - 166', '  ']","['613', '  ']","['40', 'i ']","['87', '  ']","['84', '  ']","['318', '  ']","['150', '  ']","['1,670', '  ']","['35', '  ']","['1,867', '  ']","['657', '  ']"
2748,r005,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['13,945', '  ']","['46', '  ']","['547', '  ']","['354', '  ']","['1,694', '  ']","['27', '  ']","['101', '  ']","['38', '  ']","['512', '  ']","['746', '  ']","['28', '  ']","['1,240', '  ']","['238', '  ']","['1', '  ']","['433', '  ']","['34', 'i ']","['81', '  ']","['78', '  ']","['291', '  ']","['148', '  ']","['1,605', '  ']","['31', '  ']","['1,602', '  ']","['476', '  ']"
2748,r006,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['2,804', '  ']","['12 - 49', '  ']","['97', '  ']","['2', '  ']","['163', '  ']","['0 - 21', '  ']","['24', 'i ']","['6', '  ']","['132', '  ']","['396', '  ']","['2', '  ']","['2', '  ']","['28', '  ']","['132 - 165', '  ']","['179', '  ']","['6', 'i ']","['6', '  ']","['6', '  ']","['27', '  ']","['2', '  ']","['65', '  ']","['4', '  ']","['264', '  ']","['181', '  ']"
2748,r007,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['428', '  ']","['0', '  ']","['14', '  ']","['0 - 5', '  ']","['13', '  ']","['2', '  ']","['0', '  ']","['2', '  ']","['40', '  ']","['108', '  ']","['0 - 7', '  ']","['3', '  ']","['40', '  ']","['0 - 15', '  ']","['4', '  ']","['0', '  ']","['4', '  ']","['1', '  ']","['6', '  ']","['3', '  ']","['2', '  ']","['0', '  ']","['16', '  ']","['4', '  ']"
2748,r008,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['181', 'i ']","['0', '  ']","['13', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['1', 'i ']","['0', '  ']","['11', 'i ']","['22', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['4', 'i ']","['3', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['3', '  ']"
2748,r009,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['216', '  ']","['0', '  ']","['7', '  ']","['6', '  ']","['2', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['2', '  ']","['33', '  ']","['*', '  ']","['*', '  ']","['4', '  ']","['0', '  ']","['5', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['2', '  ']","['*', '  ']","['17', '  ']","['0', '  ']","['36', '  ']","['2', '  ']"
2748,r010,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['4,521', '  ']","['0', '  ']","['103', '  ']","['57', '  ']","['32', '  ']","['7', '  ']","['72', '  ']","['58', '  ']","['435', '  ']","['804', '  ']","['2', '  ']","['14', '  ']","['376', '  ']","['0 - 22', '  ']","['113', '  ']","['27', '  ']","['15', '  ']","['4', '  ']","['37', '  ']","['102', '  ']","['189', '  ']","['0 - 10', '  ']","['291', '  ']","['38', '  ']"
