table_id,row_id,sex_occupation_and_job_satisfaction_full_path,sex_occupation_and_job_satisfaction_level_1,sex_occupation_and_job_satisfaction_level_2,sex_occupation_and_job_satisfaction_level_3,sex_occupation_and_job_satisfaction_level_4,sex_occupation_and_job_satisfaction_level_5,sex_occupation_and_job_satisfaction_hierarchy_depth,field_total,field_years_since_highest_degree_5,field_years_since_highest_degree_5_9,field_years_since_highest_degree_10_14,field_years_since_highest_degree_15_19,field_years_since_highest_degree_20_24,field_years_since_highest_degree_25_29,field_years_since_highest_degree_30_34,field_years_since_highest_degree_35
5315,r001,All sexes,All sexes,,,,,1,50524000,8140000,9892000,7347000,5795000,5182000,4408000,3752000,6008000
5315,r002,All sexes -> Very satisfied,All sexes,Very satisfied,,,,2,22664000,3193000,3867000,3043000,2788000,2348000,2102000,1960000,3364000
5315,r003,All sexes -> Somewhat satisfied,All sexes,Somewhat satisfied,,,,2,22697000,3902000,4761000,3470000,2507000,2369000,1904000,1525000,2258000
5315,r004,All sexes -> Somewhat dissatisfied,All sexes,Somewhat dissatisfied,,,,2,3910000,834000,948000,580000,402000,352000,287000,197000,311000
5315,r005,All sexes -> Very dissatisfied,All sexes,Very dissatisfied,,,,2,1253000,212000,316000,255000,98000,113000,115000,69000,75000
5315,r006,All sexes -> S&E occupations,All sexes,S&E occupations,,,,2,7466000,1463000,1570000,1097000,865000,778000,610000,499000,584000
5315,r007,All sexes -> S&E occupations -> Very satisfied,All sexes,S&E occupations,Very satisfied,,,3,3385000,619000,675000,473000,419000,349000,290000,244000,315000
5315,r008,All sexes -> S&E occupations -> Somewhat satisfied,All sexes,S&E occupations,Somewhat satisfied,,,3,3405000,672000,722000,530000,373000,376000,277000,215000,240000
5315,r009,All sexes -> S&E occupations -> Somewhat dissatisfied,All sexes,S&E occupations,Somewhat dissatisfied,,,3,556000,142000,141000,79000,60000,42000,35000,33000,24000
5315,r010,All sexes -> S&E occupations -> Very dissatisfied,All sexes,S&E occupations,Very dissatisfied,,,3,119000,30000,31000,14000,13000,11000,8000,7000,4000
5315,r011,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",,,3,698000,171000,177000,82000,72000,66000,39000,38000,53000
5315,r012,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,,4,312000,75000,64000,36000,36000,28000,22000,19000,32000
5315,r013,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,,4,313000,76000,84000,40000,28000,33000,14000,15000,21000
5315,r014,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,,4,58000,16000,22000,6000,5000,5000,2000,2000,0.05
5315,r015,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,,4,16000,4000,6000,0.05,,0.05,,S,
5315,r016,All sexes -> S&E occupations -> Computer and mathematical scientists,All sexes,S&E occupations,Computer and mathematical scientists,,,3,3774000,645000,767000,613000,486000,435000,334000,256000,239000
