table_id,row_id,employer_location_full_path,employer_location_level_1,employer_location_level_2,employer_location_level_3,employer_location_hierarchy_depth,field_all_fields_median_salary,field_all_fields_se,field_science_total_median_salary,field_science_total_se,field_science_biological_agricultural_and_environmental_life_sciences_median_salary,field_science_biological_agricultural_and_environmental_life_sciences_se,field_science_computer_and_information_sciences_median_salary,field_science_computer_and_information_sciences_se,field_science_mathematics_and_statistics_median_salary,field_science_mathematics_and_statistics_se,field_science_physical_sciences_median_salary,field_science_physical_sciences_se,field_science_psychology_median_salary,field_science_psychology_se,field_science_social_sciences_median_salary,field_science_social_sciences_se,field_engineering_median_salary,field_engineering_se,field_health_median_salary,field_health_se
8149,r001,All locations,All locations,,,1,122000,1500,117000,1500,115000,1000,160000,1000,113000,4000,125000,500,106000,1500,109000,2000,145000,1000,115000,2000
8149,r002,All locations -> New England,All locations,New England,,2,132000,3000,129000,2500,130000,2000,161000,11500,128000,7500,135000,4500,108000,5500,115000,6000,149000,6000,131000,6500
8149,r003,All locations -> New England -> Connecticut,All locations,New England,Connecticut,3,120000,4000,118000,5000,130000,10000,80000,23000,122000,26000,116000,11000,108000,9500,111000,8500,129000,8000,118000,10500
8149,r004,All locations -> New England -> Maine,All locations,New England,Maine,3,89000,5000,84000,8500,89000,4500,,,,,92000,21500,64000,18500,81000,11000,166000,48000,,
8149,r005,All locations -> New England -> Massachusetts,All locations,New England,Massachusetts,3,140000,2000,137000,4000,135000,5500,179000,13500,138000,14500,144000,5500,110000,7000,126000,8500,152000,5000,147000,8500
8149,r006,All locations -> New England -> New Hampshire,All locations,New England,New Hampshire,3,118000,9000,115000,11000,101000,21500,S,S,,,126000,20000,117000,20500,132000,38500,124000,10500,87000,9000
8149,r007,All locations -> New England -> Rhode Island,All locations,New England,Rhode Island,3,114000,8000,110000,7500,104000,11000,,,109000,19000,127000,6000,92000,18500,99000,20500,130000,12000,111000,8500
8149,r008,All locations -> New England -> Vermont,All locations,New England,Vermont,3,104000,9000,90000,12000,84000,14500,,,,,128000,34500,113000,25500,88000,3500,133000,12500,S,S
8149,r009,All locations -> Middle Atlantic,All locations,Middle Atlantic,,2,128000,3500,124000,3500,130000,4500,160000,12000,130000,5000,127000,4500,109000,2000,113000,5000,140000,5000,129000,6500
8149,r010,All locations -> Middle Atlantic -> New Jersey,All locations,Middle Atlantic,New Jersey,3,143000,5500,140000,3000,150000,8000,163000,14000,149000,9500,139000,11000,119000,7500,125000,10000,149000,7000,164000,29000
8149,r011,All locations -> Middle Atlantic -> New York,All locations,Middle Atlantic,New York,3,129000,3500,125000,1000,125000,5500,185000,16000,135000,19000,130000,8000,109000,1500,118000,4500,140000,5000,130000,14500
8149,r012,All locations -> Middle Atlantic -> Pennsylvania,All locations,Middle Atlantic,Pennsylvania,3,119000,1000,113000,3500,120000,3500,143000,15000,100000,16000,120000,2500,100000,1500,105000,7000,139000,5500,117000,5500
8149,r013,All locations -> East North Central,All locations,East North Central,,2,110000,500,105000,1000,104000,2500,119000,7000,100000,4000,110000,2500,105000,3500,100000,2000,125000,3500,109000,5500
8149,r014,All locations -> East North Central -> Illinois,All locations,East North Central,Illinois,3,120000,3500,117000,3500,116000,6000,133000,5000,101000,18000,119000,3500,109000,5500,114000,8500,134000,9500,119000,6500
8149,r015,All locations -> East North Central -> Indiana,All locations,East North Central,Indiana,3,104000,4500,100000,1500,108000,5500,100000,5000,106000,12000,97000,4500,100000,6000,93000,5000,125000,8500,97000,6500
8149,r016,All locations -> East North Central -> Michigan,All locations,East North Central,Michigan,3,112000,3000,105000,4500,103000,7500,122000,10000,97000,8500,110000,10500,108000,6500,90000,6500,126000,6000,110000,4500
8149,r017,All locations -> East North Central -> Ohio,All locations,East North Central,Ohio,3,105000,2500,100000,2500,99000,4000,100000,16000,104000,4000,105000,7000,102000,4500,91000,6500,119000,4000,113000,17500
8149,r018,All locations -> East North Central -> Wisconsin,All locations,East North Central,Wisconsin,3,100000,2500,96000,4500,90000,5500,94000,12000,85000,14000,105000,10500,109000,13000,94000,19500,108000,7000,102000,7000
8149,r019,All locations -> West North Central,All locations,West North Central,,2,105000,2000,100000,1000,102000,3000,122000,10500,90000,7000,109000,8500,100000,5500,90000,3000,124000,4500,104000,6000
8149,r020,All locations -> West North Central -> Iowa,All locations,West North Central,Iowa,3,100000,3500,100000,2500,103000,15000,S,S,86000,19500,112000,22500,98000,5500,89000,5500,111000,19500,101000,20000
8149,r021,All locations -> West North Central -> Kansas,All locations,West North Central,Kansas,3,100000,2500,99000,3500,103000,3500,,,74000,6500,99000,14000,94000,6000,95000,10500,108000,26500,105000,11500
8149,r022,All locations -> West North Central -> Minnesota,All locations,West North Central,Minnesota,3,119000,2000,110000,3000,105000,10000,135000,25500,95000,6000,122000,5000,110000,4000,90000,3000,139000,11000,106000,8500
8149,r023,All locations -> West North Central -> Missouri,All locations,West North Central,Missouri,3,104000,4000,101000,3500,104000,5500,109000,10000,102000,12500,103000,16000,102000,8000,83000,11000,110000,17000,107000,7000
8149,r024,All locations -> West North Central -> Nebraska,All locations,West North Central,Nebraska,3,95000,4500,90000,6000,100000,4500,S,S,73000,9500,70000,17000,89000,4500,69000,9000,104000,13500,90000,8500
8149,r025,All locations -> West North Central -> North Dakota,All locations,West North Central,North Dakota,3,99000,3000,97000,6000,93000,9500,,,,,95000,19500,,,93000,14500,114000,21500,S,S
8149,r026,All locations -> West North Central -> South Dakota,All locations,West North Central,South Dakota,3,85000,6000,84000,9500,78000,15000,,,,,S,S,110000,11500,80000,16500,84000,2000,,
8149,r027,All locations -> South Atlantic,All locations,South Atlantic,,2,120000,500,116000,2500,113000,2500,134000,5500,109000,4500,121000,3500,105000,2000,126000,3500,132000,4000,119000,6000
8149,r028,All locations -> South Atlantic -> Delaware,All locations,South Atlantic,Delaware,3,135000,9500,123000,6500,105000,11500,,,149000,22000,139000,11500,98000,6000,121000,10000,148000,15000,147000,14000
8149,r029,All locations -> South Atlantic -> District of Columbia,All locations,South Atlantic,District of Columbia,3,145000,4500,145000,4500,130000,5500,151000,11500,134000,15000,144000,8000,120000,4500,158000,6500,150000,7500,131000,5500
8149,r030,All locations -> South Atlantic -> Florida,All locations,South Atlantic,Florida,3,104000,2500,99000,2500,92000,7000,113000,14500,90000,5000,99000,3500,98000,5500,109000,13000,122000,5000,109000,8000
8149,r031,All locations -> South Atlantic -> Georgia,All locations,South Atlantic,Georgia,3,105000,3500,100000,2000,100000,8000,99000,11500,106000,13500,97000,7000,99000,3500,99000,6500,125000,4500,100000,7000
8149,r032,All locations -> South Atlantic -> Maryland,All locations,South Atlantic,Maryland,3,130000,3000,130000,4500,121000,4500,131000,20000,123000,8000,138000,7000,125000,8000,126000,8500,143000,5000,135000,8500
8149,r033,All locations -> South Atlantic -> North Carolina,All locations,South Atlantic,North Carolina,3,110000,3000,109000,2500,110000,3500,135000,11500,122000,10000,120000,14500,101000,6500,99000,7500,125000,5500,107000,5500
8149,r034,All locations -> South Atlantic -> South Carolina,All locations,South Atlantic,South Carolina,3,93000,4000,90000,2000,89000,5000,73000,15500,87000,5000,99000,3500,91000,13500,86000,5000,108000,5000,82000,5000
8149,r035,All locations -> South Atlantic -> Virginia,All locations,South Atlantic,Virginia,3,123000,4000,119000,2000,115000,10500,150000,8500,103000,7000,120000,4500,104000,7500,135000,5500,138000,5500,110000,7000
8149,r036,All locations -> South Atlantic -> West Virginia,All locations,South Atlantic,West Virginia,3,97000,5000,88000,7500,94000,8500,,,,,71000,15500,93000,30000,88000,14500,101000,5000,,
8149,r037,All locations -> East South Central,All locations,East South Central,,2,100000,1000,96000,2500,99000,3500,116000,5000,70000,4500,99000,4000,95000,5000,93000,3500,135000,5000,96000,6500
8149,r038,All locations -> East South Central -> Alabama,All locations,East South Central,Alabama,3,107000,4500,100000,2500,100000,8500,138000,31000,87000,18500,100000,7500,89000,13500,100000,10000,161000,10000,101000,19000
8149,r039,All locations -> East South Central -> Kentucky,All locations,East South Central,Kentucky,3,90000,4000,89000,2500,93000,8500,106000,27000,65000,9000,78000,16000,89000,10500,87000,6000,101000,8000,90000,6000
8149,r040,All locations -> East South Central -> Mississippi,All locations,East South Central,Mississippi,3,93000,5500,87000,6000,95000,8500,,,,,80000,27500,85000,6000,76000,11000,121000,9000,111000,12000
8149,r041,All locations -> East South Central -> Tennessee,All locations,East South Central,Tennessee,3,104000,3500,100000,1500,100000,4500,117000,4500,68000,5500,101000,12000,99000,1500,96000,3500,135000,4500,88000,10500
8149,r042,All locations -> West South Central,All locations,West South Central,,2,108000,3000,100000,1000,92000,3500,141000,9500,99000,5500,120000,6500,96000,4000,90000,3000,136000,4500,100000,3500
8149,r043,All locations -> West South Central -> Arkansas,All locations,West South Central,Arkansas,3,92000,5000,87000,3000,87000,8000,,,83000,26000,77000,7000,86000,8000,82000,9000,127000,10000,97000,5500
8149,r044,All locations -> West South Central -> Louisiana,All locations,West South Central,Louisiana,3,88000,3000,84000,4500,84000,8500,124000,16500,82000,20000,93000,9000,74000,1500,81000,11000,106000,12500,S,S
8149,r045,All locations -> West South Central -> Oklahoma,All locations,West South Central,Oklahoma,3,96000,6500,91000,7500,95000,14000,,,80000,13000,98000,8000,115000,15000,77000,8500,119000,18000,85000,17500
8149,r046,All locations -> West South Central -> Texas,All locations,West South Central,Texas,3,115000,3000,104000,3000,93000,3000,145000,7500,101000,5500,134000,6000,99000,2500,96000,4500,140000,3000,103000,9500
8149,r047,All locations -> Mountain,All locations,Mountain,,2,110000,1500,103000,2500,98000,2500,154000,12000,99000,3000,115000,4500,105000,4500,91000,4500,137000,4000,99000,3000
8149,r048,All locations -> Mountain -> Arizona,All locations,Mountain,Arizona,3,110000,4000,100000,4500,100000,7000,129000,33000,96000,11500,109000,4000,104000,13000,94000,5500,129000,7500,112000,19500
8149,r049,All locations -> Mountain -> Colorado,All locations,Mountain,Colorado,3,114000,5500,105000,4000,99000,3000,177000,13000,101000,3000,118000,3500,100000,3000,95000,5500,143000,5500,99000,6500
