table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_intramural_r_d_expenditures,field_type_of_r_d_basic_research,field_type_of_r_d_applied_research,field_type_of_r_d_experimental_development
9934,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,696624562,121064761,535738987,39820814
9934,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,12081222,2540933,6290289,3250000
9934,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,11600345,0,9620598,1979747
9934,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,2039798,561258,1478263,277
9934,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,220653,0,220653,0
9934,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,87712398,2881172,80629330,4201896
9934,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,9393492,0,9311997,81495
9934,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,28200758,9470773,18367174,362811
9934,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,1568167,0,1568167,0
9934,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,4320240,3194604,1067738,57898
9934,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,51395556,928160,50353137,114259
9934,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,2884258,1110000,1017945,756313
9934,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,201790,0,199748,2042
9934,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,7278248,0,7278248,0
9934,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,554067,110813,443254,0
9934,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,660237,277000,278269,104968
9934,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,2912086,0,2912086,0
9934,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,1500273,160938,1339335,0
9934,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,4434431,6330,4428101,0
9934,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,10033831,4644439,5389392,0
9934,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,12208306,6236931,4634964,1336411
9934,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,864022,0,66573,797449
9934,r023,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,1636998,421945,883126,331927
9934,r024,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,2,254848,74436,180412,0
9934,r025,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,2,3038564,0,3038564,0
9934,r026,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,2,2820168,100000,924073,1796095
9934,r027,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,2,4338958,0,4338958,0
9934,r028,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,2,3400729,0,3353184,47545
