table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
12715,r001,United States,United States,,1,61286610,65274393,65729007,66977566,67161428,68519962,71737194,75149390,79025976,83490430,86306106,89700890,97669577,108681008
12715,r002,United States -> Alabama,United States,Alabama,2,847072,898422,830538,837871,812803,898010,944506,994210,1052494,1123491,1186697,1272604,1431393,1579469
12715,r003,United States -> Alaska,United States,Alaska,2,180888,185942,181983,184472,174431,163012,167308,176424,165198,169296,177537,196501,226717,241536
12715,r004,United States -> Arizona,United States,Arizona,2,944795,997700,1039424,1065136,1047329,1099837,1162283,1213469,1358920,1434177,1499135,1516463,1690904,1939790
12715,r005,United States -> Arkansas,United States,Arkansas,2,267405,282628,289364,294572,285691,293494,298497,312533,343066,364781,370782,387674,416507,457800
12715,r006,United States -> California,United States,California,2,7832767,8225420,8401638,8357891,8403770,8656350,8888492,9226580,10170328,10478948,10903554,11221457,12113511,13473649
12715,r007,United States -> Colorado,United States,Colorado,2,1180741,1292081,1338888,1253466,1232376,1273753,1378920,1461877,1552251,1622011,1665742,1746975,1898797,2084784
12715,r008,United States -> Connecticut,United States,Connecticut,2,888949,945705,946289,1059367,1062741,1091381,1176170,1254440,1287024,1387319,1400865,1494357,1587047,1757255
12715,r009,United States -> Delaware,United States,Delaware,2,168511,188765,185842,197262,193242,191704,197615,204221,207569,229287,243550,254725,397123,461627
12715,r010,United States -> District of Columbia,United States,District of Columbia,2,470217,493469,501534,524241,543149,559222,555721,601551,630161,664872,684793,717928,783163,925418
12715,r011,United States -> Florida,United States,Florida,2,1994860,2125648,2179352,2171626,2272556,2354871,2483359,2584487,2529896,2682412,2694387,2750264,3048253,3518895
12715,r012,United States -> Georgia,United States,Georgia,2,1691603,1808679,1882308,1956245,1950990,2046068,2168071,2340410,2473503,2650343,2782005,2949654,3260128,3663637
12715,r013,United States -> Hawaii,United States,Hawaii,2,317942,330838,335704,343802,335189,332233,318134,301204,297975,301419,298285,294913,301272,339716
12715,r014,United States -> Idaho,United States,Idaho,2,126433,142364,146326,143728,142772,146700,154989,163093,171053,167903,170595,165913,179835,206438
12715,r015,United States -> Illinois,United States,Illinois,2,2224414,2352326,2362224,2501413,2327098,2382947,2400990,2503276,2570270,2709733,2764233,2914398,3160587,3476127
12715,r016,United States -> Indiana,United States,Indiana,2,1186421,1271364,1306462,1336343,1308856,1323824,1408862,1461367,1505426,1661312,1715310,1699302,1872200,2146500
12715,r017,United States -> Iowa,United States,Iowa,2,706667,724608,718281,714366,773760,758796,814031,830587,885861,880424,917407,931113,1005800,1102499
12715,r018,United States -> Kansas,United States,Kansas,2,482901,511048,527122,545364,547813,562254,559279,577566,640735,703716,739872,785055,882644,1054041
12715,r019,United States -> Kentucky,United States,Kentucky,2,575277,596081,586240,550941,533834,516754,546527,583143,596532,615383,641301,655290,733242,756549
12715,r020,United States -> Louisiana,United States,Louisiana,2,713675,727510,699228,671580,665754,662778,683125,690958,744283,778357,798373,830787,940849,1064385
12715,r021,United States -> Maine,United States,Maine,2,137516,139983,120072,104573,124688,103102,100351,122740,128500,151249,153262,165224,191739,211287
12715,r022,United States -> Maryland,United States,Maryland,2,3139254,3416687,3359741,3433145,3573167,3741687,3799639,4017092,4167470,4629161,4745030,4914256,5168958,5987528
12715,r023,United States -> Massachusetts,United States,Massachusetts,2,2749926,2949264,3214549,3532767,3500516,3673620,3796798,3928192,4059931,4305676,4389620,4555840,4835816,5174742
12715,r024,United States -> Michigan,United States,Michigan,2,2031479,2161520,2219505,2267080,2242864,2334031,2468498,2662045,2781359,2891267,2868417,2843359,3081672,3368889
12715,r025,United States -> Minnesota,United States,Minnesota,2,831754,898741,864938,901404,919257,928999,961040,968784,999660,1060927,1086730,1115363,1241862,1365645
12715,r026,United States -> Mississippi,United States,Mississippi,2,443625,460962,476078,416772,410543,408232,454983,479122,479431,535774,506660,491172,565279,608155
12715,r027,United States -> Missouri,United States,Missouri,2,1087432,1121330,1098287,1074632,1050665,1074115,1151047,1188439,1260217,1368942,1444375,1582870,1708351,1873279
12715,r028,United States -> Montana,United States,Montana,2,207827,195267,196721,185996,181127,181680,195125,229206,230099,273459,290297,330081,340611,382015
12715,r029,United States -> Nebraska,United States,Nebraska,2,400660,412756,438303,444917,454744,464664,481383,513581,535911,572488,586550,589184,626792,680337
12715,r030,United States -> Nevada,United States,Nevada,2,174247,165437,153325,153427,153571,157528,191155,205761,260074,282740,296470,308745,312714,325781
12715,r031,United States -> New Hampshire,United States,New Hampshire,2,311455,359839,366337,354296,365537,357665,379991,455859,471347,473061,484313,498518,551187,590539
12715,r032,United States -> New Jersey,United States,New Jersey,2,1075872,1141570,1113109,1173474,1130474,1106186,1158998,1261174,1350470,1336562,1393596,1352770,1516963,1717387
12715,r033,United States -> New Mexico,United States,New Mexico,2,422868,405339,400952,403776,412428,390913,367031,370329,369927,365769,376331,473773,545210,564566
12715,r034,United States -> New York,United States,New York,2,4948442,5288932,5352978,5519542,5638584,5700230,6075419,6388367,6633634,7075350,7171446,7577235,8280323,9058400
12715,r035,United States -> North Carolina,United States,North Carolina,2,2465260,2668842,2681840,2739920,2814943,2814924,2937671,3081568,3204297,3388360,3385735,3504060,3870874,4344862
12715,r036,United States -> North Dakota,United States,North Dakota,2,204049,211057,215642,219115,222032,217926,226572,255942,255534,263217,267308,307556,322621,373912
12715,r037,United States -> Ohio,United States,Ohio,2,2051857,2221827,2128968,2168267,2158565,2152796,2193019,2299112,2370346,2499431,2518803,2788160,3079902,3392194
12715,r038,United States -> Oklahoma,United States,Oklahoma,2,400731,444722,437180,420067,419653,419602,488559,505940,517283,533785,604114,623319,650977,725008
12715,r039,United States -> Oregon,United States,Oregon,2,696272,739733,722421,704764,705688,719881,759243,780741,820988,863844,894789,929355,1001028,1095169
12715,r040,United States -> Pennsylvania,United States,Pennsylvania,2,3128420,3315363,3239240,3361374,3328851,3356723,3950517,4178978,4406037,4649772,4819394,4933707,5379806,5954796
12715,r041,United States -> Rhode Island,United States,Rhode Island,2,428738,459321,495366,479162,447469,453291,463300,333572,369793,392885,398673,429278,458694,513818
12715,r042,United States -> South Carolina,United States,South Carolina,2,660415,620533,636534,648137,655757,665319,687110,699199,736318,742924,743728,755089,808632,918964
12715,r043,United States -> South Dakota,United States,South Dakota,2,131165,136305,129200,117361,104962,103368,106941,112916,115860,118377,110619,100534,117368,129045
12715,r044,United States -> Tennessee,United States,Tennessee,2,938237,1016915,1025283,1032124,1133373,1077068,1091835,1183795,1293909,1337211,1408786,1624957,1715468,1972549
12715,r045,United States -> Texas,United States,Texas,2,4416323,4661517,4651322,4813050,4898443,5036366,5254298,5472126,5622830,5970929,6620370,6850383,7504105,8330578
12715,r046,United States -> Utah,United States,Utah,2,562349,627180,622244,688972,693796,733407,573106,611015,812458,924632,950562,993876,1062475,1264913
12715,r047,United States -> Vermont,United States,Vermont,2,132792,137303,120226,121110,114549,119663,120306,122003,131670,138716,193824,198247,218910,238418
12715,r048,United States -> Virginia,United States,Virginia,2,1199244,1390412,1379440,1419504,1381078,1411176,1462939,1551003,1684274,1814048,1918654,1942260,2123167,2297277
12715,r049,United States -> Washington,United States,Washington,2,1358061,1502284,1475365,1526001,1499528,1518660,1613401,1715069,1779849,1805214,1827963,1882879,1972326,2160233
12715,r050,United States -> West Virginia,United States,West Virginia,2,194834,210899,202118,196492,195675,199167,199164,210259,211695,212963,217788,231347,248022,286551
12715,r051,United States -> Wisconsin,United States,Wisconsin,2,1335621,1442933,1483983,1419426,1412594,1372168,1458791,1504025,1542080,1659741,1746640,1771499,1954004,2215597
12715,r052,United States -> Wyoming,United States,Wyoming,2,55319,57549,65611,65490,51422,56996,112056,125032,113063,80353,93061,93202,139764,150124
12715,r053,United States -> American Samoa,United States,American Samoa,2,ne,ne,ne,ne,ne,1337,793,ne,ne,860,ne,815,ne,ne
12715,r054,United States -> Guam,United States,Guam,2,5555,5626,6131,6043,7075,6062,7402,8842,11225,12249,13043,17666,20481,22388
12715,r055,United States -> Puerto Rico,United States,Puerto Rico,2,125123,163853,151532,135659,123285,126792,120619,113868,103935,121074,111101,123707,103245,115688
12715,r056,United States -> Virgin Islands,United States,Virgin Islands,2,32350,21994,25719,20041,20371,20630,21215,12298,11957,12236,13631,15231,20259,20259
