table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_public_support_number_yes,field_public_support_number_no,field_public_support_percent_yes,field_public_support_percent_no
2647,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['    1,218,460 ', '&nbsp;']","['    38,829 ', '&nbsp;']","['    1,179,632 ', '&nbsp;']","['    3.2 ', '&nbsp;']","['    96.8 ', '&nbsp;']"
2647,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['    99,847 ', '&nbsp;']","['    6,951 ', '&nbsp;']","['    92,896 ', '&nbsp;']","['    7.0 ', '&nbsp;']","['    93.0 ', '&nbsp;']"
2647,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['    8,303 ', '&nbsp;']","['    610 ', '&nbsp;']","['    7,693 ', '&nbsp;']","['    7.3 ', '&nbsp;']","['    92.7 ', '&nbsp;']"
2647,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['    4,037 ', '&nbsp;']","['    397 ', '&nbsp;']","['    3,641 ', '&nbsp;']","['    9.8 ', '&nbsp;']","['    90.2 ', '&nbsp;']"
2647,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['    4,237 ', '&nbsp;']","['    154 ', '&nbsp;']","['    4,083 ', '&nbsp;']","['    3.6 ', '&nbsp;']","['    96.4 ', '&nbsp;']"
2647,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['    3,903 ', '&nbsp;']","['    160 ', '&nbsp;']","['    3,743 ', '&nbsp;']","['    4.1 ', '&nbsp;']","['    95.9 ', '&nbsp;']"
2647,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['    1,063 ', '&nbsp;']","['    93 ', '&nbsp;']","['    971 ', '&nbsp;']","['    8.7 ', '&nbsp;']","['    91.3 ', '&nbsp;']"
2647,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['    8,673 ', '&nbsp;']","['    260 ', '&nbsp;']","['    8,413 ', '&nbsp;']","['    3.0 ', '&nbsp;']","['    97.0 ', '&nbsp;']"
2647,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['    254 ', '&nbsp;']","['    18 ', '&nbsp;']","['    236 ', '&nbsp;']","['    7.0 ', 'r']","['    93.0 ', '&nbsp;']"
2647,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['    4,361 ', '&nbsp;']","['    404 ', '&nbsp;']","['    3,957 ', '&nbsp;']","['    9.3 ', '&nbsp;']","['    90.7 ', '&nbsp;']"
