table_id,row_id,occupation_and_sex_full_path,occupation_and_sex_level_1,occupation_and_sex_level_2,occupation_and_sex_level_3,occupation_and_sex_level_4,occupation_and_sex_level_5,occupation_and_sex_hierarchy_depth,field_total,field_employed_at_4_year_educational_institution_relationship_between_principal_job_and_doctoral_degreea_closely_related,field_employed_at_4_year_educational_institution_relationship_between_principal_job_and_doctoral_degreea_somewhat_related,field_employed_at_4_year_educational_institution_relationship_between_principal_job_and_doctoral_degreea_not_related,field_employed_in_another_employment_sector_relationship_between_principal_job_and_doctoral_degree_closely_related,field_employed_in_another_employment_sector_relationship_between_principal_job_and_doctoral_degree_somewhat_related,field_employed_in_another_employment_sector_relationship_between_principal_job_and_doctoral_degree_not_related
3326,r001,All occupations,All occupations,,,,,1,857200,280150,55500,8700,284150,170950,57750
3326,r002,All occupations -> Female,All occupations,Female,,,,2,311200,104900,23800,3800,100550,57900,20250
3326,r003,All occupations -> Male,All occupations,Male,,,,2,546050,175250,31700,4900,183650,113050,37500
3326,r004,All occupations -> S&E occupations<sup>b</sup>,All occupations,S&E occupations<sup>b</sup>,,,,2,613400,229650,33300,3300,222450,103350,21250
3326,r005,All occupations -> S&E occupations<sup>b</sup> -> Female,All occupations,S&E occupations<sup>b</sup>,Female,,,3,207700,80050,12750,1200,77500,30950,5250
3326,r006,All occupations -> S&E occupations<sup>b</sup> -> Male,All occupations,S&E occupations<sup>b</sup>,Male,,,3,405700,149600,20550,2150,144950,72450,16000
3326,r007,All occupations -> S&E occupations<sup>b</sup> -> Scientist,All occupations,S&E occupations<sup>b</sup>,Scientist,,,3,492750,198500,28950,2950,171700,74250,16400
3326,r008,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Female,All occupations,S&E occupations<sup>b</sup>,Scientist,Female,,4,188700,74900,12050,1100,70700,25700,4250
3326,r009,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Male,All occupations,S&E occupations<sup>b</sup>,Scientist,Male,,4,304050,123600,16900,1800,101000,48550,12200
3326,r010,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Biological/ life scientist,All occupations,S&E occupations<sup>b</sup>,Scientist,Biological/ life scientist,,4,156650,60250,15100,1300,51200,26200,2650
3326,r011,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Biological/ life scientist -> Female,All occupations,S&E occupations<sup>b</sup>,Scientist,Biological/ life scientist,Female,5,66650,23900,7100,550,21050,12800,1250
3326,r012,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Biological/ life scientist -> Male,All occupations,S&E occupations<sup>b</sup>,Scientist,Biological/ life scientist,Male,5,90050,36350,8050,750,30150,13400,1400
3326,r013,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Computer and informational scientist,All occupations,S&E occupations<sup>b</sup>,Scientist,Computer and informational scientist,,4,63000,11350,2200,500,19500,20400,9050
3326,r014,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Computer and informational scientist -> Female,All occupations,S&E occupations<sup>b</sup>,Scientist,Computer and informational scientist,Female,5,10350,2200,450,100,2850,3200,1550
3326,r015,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Computer and informational scientist -> Male,All occupations,S&E occupations<sup>b</sup>,Scientist,Computer and informational scientist,Male,5,52650,9150,1750,450,16600,17200,7500
3326,r016,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Mathematical scientist,All occupations,S&E occupations<sup>b</sup>,Scientist,Mathematical scientist,,4,41400,19200,2050,300,10700,7300,1850
3326,r017,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Mathematical scientist -> Female,All occupations,S&E occupations<sup>b</sup>,Scientist,Mathematical scientist,Female,5,12450,5150,800,200,3800,2050,500
3326,r018,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Mathematical scientist -> Male,All occupations,S&E occupations<sup>b</sup>,Scientist,Mathematical scientist,Male,5,28950,14050,1300,150,6900,5250,1350
3326,r019,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Physical scientist,All occupations,S&E occupations<sup>b</sup>,Scientist,Physical scientist,,4,84550,36600,5100,300,28150,12550,1800
