table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012
10322,r001,All fields,All fields,,,1,24338,26320,27237,26598,26951,27228,26740,30813,31933,28751,31027
10322,r002,All fields -> Computer sciences and mathematics,All fields,Computer sciences and mathematics,,2,1632,1552,1710,1755,1607,1652,1640,1750,1749,1586,1733
10322,r003,All fields -> Computer sciences and mathematics -> Computer sciences,All fields,Computer sciences and mathematics,Computer sciences,3,1406,1322,1433,1499,1317,1369,1319,1444,1488,1255,1470
10322,r004,All fields -> Computer sciences and mathematics -> Mathematics,All fields,Computer sciences and mathematics,Mathematics,3,76,93,139,144,151,148,138,124,119,150,119
10322,r005,All fields -> Computer sciences and mathematics -> Other computer sciences and mathematics,All fields,Computer sciences and mathematics,Other computer sciences and mathematics,3,149,137,139,112,139,135,183,183,141,180,144
10322,r006,All fields -> Engineering,All fields,Engineering,,2,6410,6492,6595,6252,6314,6360,6239,6879,7590,6889,7944
10322,r007,All fields -> Engineering -> Aeronautical engineering,All fields,Engineering,Aeronautical engineering,3,1827,1476,1337,959,987,734,661,722,679,692,1413
10322,r008,All fields -> Engineering -> Astronautical engineering,All fields,Engineering,Astronautical engineering,3,693,643,598,421,419,297,256,335,358,377,611
10322,r009,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,139,256,250,217,227,245,234,279,367,292,255
10322,r010,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,256,289,275,217,285,338,362,493,545,468,478
10322,r011,All fields -> Engineering -> Electrical engineering,All fields,Engineering,Electrical engineering,3,596,724,691,821,830,781,825,957,1066,954,1026
10322,r012,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,177,202,212,247,228,260,227,230,283,228,216
10322,r013,All fields -> Engineering -> Metallurgy and materials engineering,All fields,Engineering,Metallurgy and materials engineering,3,493,503,445,518,439,520,631,609,667,544,513
10322,r014,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,2230,2399,2787,2853,2900,3185,3045,3253,3625,3334,3432
10322,r015,All fields -> Environmental sciences,All fields,Environmental sciences,,2,1585,1841,1719,1536,1581,1443,1392,1608,1551,1411,1626
