table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_employment,field_total_r_d_employment,field_researchersa_total,field_researchersa_with_phd,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
6661,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['32,296', '']","['2,676', '']","['1,815', '']","['165', '']","['614', '']","['246', '']"
6661,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['17,529', '']","['1,409', '']","['1,003', '']","['104', '']","['265', '']","['141', '']"
6661,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,558', '']","['35', '']","['21', '']","['2', 'i']","['9', '']","['5', '']"
6661,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['849', '']","['8', '']","['5', '']","['2', '']","['2', '']","['1', '']"
6661,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['401', '']","['8', '']","['4', '']","['1', '']","['3', '']","['1', '']"
6661,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['115', '']","['3', '']","['1', '']","['*', '']","['1', '']","['*', '']"
6661,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['307', '']","['7', '']","['5', '']","['*', '']","['2', '']","['*', '']"
6661,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['305', 'i']","['5', 'i']","['3', 'i']","['*', 'i']","['1', 'i']","['1', '']"
6661,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['155', '']","['9', '']","['2', '']","['*', '']","['6', '']","['1', '']"
6661,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,439', '']","['255', '']","['173', '']","['41', '']","['44', '']","['38', '']"
6661,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['361', '']","['17', '']","['9', '']","['3', '']","['7', '']","['1', '']"
6661,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['156', '']","['10', '']","['7', '']","['2', '']","['3', '']","['1', '']"
6661,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['101', '']","['10', '']","['5', '']","['2', '']","['2', '']","['2', '']"
6661,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,068', '']","['184', '']","['126', '']","['31', '']","['27', '']","['32', '']"
6661,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['459', '']","['17', '']","['14', '']","['2', '']","['2', '']","['1', '']"
6661,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['293', '']","['17', '']","['12', '']","['2', '']","['4', '']","['1', '']"
6661,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['694', '']","['31', '']","['14', '']","['1', 'i']","['13', '']","['4', '']"
6661,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['206', '']","['7', 'i']","['5', 'i']","['1', 'i']","['2', 'i']","['1', '']"
6661,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['298', '']","['9', '']","['3', '']","['*', 'i']","['2', '']","['3', '']"
6661,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['558', '']","['36', '']","['16', '']","['*', '']","['15', '']","['6', '']"
6661,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,599', '']","['138', '']","['98', '']","['5', '']","['29', '']","['11', '']"
6661,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['180', '']","['22', '']","['15', '']","['*', '']","['5', '']","['2', '']"
6661,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['96', '']","['20', '']","['17', '']","['3', '']","['3', '']","['1', '']"
6661,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['191', '']","['12', '']","['10', '']","['*', '']","['2', '']","['1', '']"
6661,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,131', '']","['84', '']","['56', '']","['2', 'i']","['20', '']","['8', '']"
6661,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,525', '']","['446', '']","['364', '']","['30', 'i']","['52', 'i']","['30', '']"
6661,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['266', '']","['72', '']","['57', '']","['2', '']","['8', '']","['6', '']"
6661,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['890', '']","['181', '']","['158', '']","['15', 'i']","['16', '']","['6', '']"
6661,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['869', '']","['110', '']","['83', 'i']","['8', '']","['19', 'i']","['8', 'i']"
