table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_level_6,_b_detailed_field_b_hierarchy_depth,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10676,r001,All fields,All fields,,,,,,1,64733,64783,66247,65681,63328,62750
10676,r002,All fields -> Science,All fields,Science,,,,,2,38241,37564,38503,38741,37189,36673
10676,r003,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup>,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,,,,3,1024,1072,1079,1678,1595,1705
10676,r004,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup> -> Agricultural sciences,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,Agricultural sciences,,,4,1024,1072,1079,1046,1086,1201
10676,r005,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup> -> Veterinary biomedical and clinical sciences<sup>b</sup>,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,Veterinary biomedical and clinical sciences<sup>b</sup>,,,4,na,na,na,632,509,504
10676,r006,All fields -> Science -> Biological and biomedical sciences<sup>a</sup>,All fields,Science,Biological and biomedical sciences<sup>a</sup>,,,,3,21781,21533,21847,21902,20245,19585
10676,r007,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biochemistry,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biochemistry,,,4,1933,1943,1912,1863,1743,1756
10676,r008,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biology,,,4,2167,2108,2203,2169,1979,2064
10676,r009,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biomedical sciences,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biomedical sciences,,,4,1870,1941,1942,1879,1906,1553
10676,r010,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biophysics,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biophysics,,,4,144,151,164,147,156,126
