table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_domestic_r_d_total,field_domestic_r_d_land_acquisition,field_domestic_r_d_buildings_and_land_improvement,field_domestic_r_d_equipment,field_domestic_r_d_capitalized_software,field_domestic_r_d_all_other
2750,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['665,199', '  ']","['34,743', '  ']","['659', '  ']","['4,063', '  ']","['16,393', '  ']","['9,659', '  ']","['3,969', '  ']"
2750,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['283,452', '  ']","['18,582', '  ']","['240', '  ']","['3,047', '  ']","['11,541', '  ']","['1,750', '  ']","['2,004', '  ']"
2750,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['21,261', '  ']","['529', '  ']","['26', '  ']","['123', '  ']","['297', '  ']","['13', '  ']","['69', '  ']"
2750,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['6,552', '  ']","['115', 'i ']","['0', '  ']","['49', 'i ']","['60', '  ']","['2', '  ']","['4', '  ']"
2750,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['2,352', '  ']","['86', '  ']","['7', '  ']","['8', '  ']","['28', 'i ']","['40', '  ']","['1', 'i ']"
2750,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['1,463', '  ']","['9', '  ']","['0', '  ']","['2', '  ']","['7', '  ']","['*', '  ']","['1', '  ']"
2750,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['6,233', '  ']","['62', '  ']","['0', '  ']","['*', '  ']","['55', '  ']","['3', '  ']","['4', '  ']"
2750,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1,445', '  ']","['20', 'i ']","['0', '  ']","['*', '  ']","['5', '  ']","['13', 'i ']","['2', '  ']"
2750,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['25,679', '  ']","['224', '  ']","['0', '  ']","['6', '  ']","['76', '  ']","['117', '  ']","['25', '  ']"
2750,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['56,821', '  ']","['5,434', '  ']","['101', '  ']","['1,705', '  ']","['2,690', '  ']","['369', '  ']","['569', '  ']"
