table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_level_3,_b_total_b_hierarchy_depth,value
11314,r096,2007<sup>a</sup>,Federally financed,Applied research,Percent,3,24.7
11314,r097,2007<sup>a</sup>,Federally financed,Experimental development,Amount,3,4319
11314,r098,2007<sup>a</sup>,Federally financed,Experimental development,Percent,3,32.2
11314,r099,2008,Total,All R&D expenditures,,2,15616
11314,r100,2008,Total,Basic research,Amount,3,5379
11314,r101,2008,Total,Basic research,Percent,3,34.4
11314,r102,2008,Total,Applied research,Amount,3,3992
11314,r103,2008,Total,Applied research,Percent,3,25.6
11314,r104,2008,Total,Experimental development,Amount,3,6245
11314,r105,2008,Total,Experimental development,Percent,3,40.0
11314,r106,2008,Federally financed,All R&D expenditures,,2,15177
11314,r107,2008,Federally financed,Basic research,Amount,3,5210
11314,r108,2008,Federally financed,Basic research,Percent,3,34.3
11314,r109,2008,Federally financed,Applied research,Amount,3,3825
11314,r110,2008,Federally financed,Applied research,Percent,3,25.2
11314,r111,2008,Federally financed,Experimental development,Amount,3,6143
11314,r112,2008,Federally financed,Experimental development,Percent,3,40.5
11314,r113,2009,Total,All R&D expenditures,,2,16390
11314,r114,2009,Total,Basic research,Amount,3,5871
11314,r115,2009,Total,Basic research,Percent,3,35.8
11314,r116,2009,Total,Applied research,Amount,3,4545
11314,r117,2009,Total,Applied research,Percent,3,27.7
11314,r118,2009,Total,Experimental development,Amount,3,5974
11314,r119,2009,Total,Experimental development,Percent,3,36.4
11314,r120,2009,Federally financed,All R&D expenditures,,2,15943
11314,r121,2009,Federally financed,Basic research,Amount,3,5714
11314,r122,2009,Federally financed,Basic research,Percent,3,35.8
11314,r123,2009,Federally financed,Applied research,Amount,3,4346
11314,r124,2009,Federally financed,Applied research,Percent,3,27.3
11314,r125,2009,Federally financed,Experimental development,Amount,3,5884
11314,r126,2009,Federally financed,Experimental development,Percent,3,36.9
11314,r127,2010,Total,All R&D expenditures,,2,18881
11314,r128,2010,Total,Basic research,Amount,3,6655
11314,r129,2010,Total,Basic research,Percent,3,35.2
11314,r130,2010,Total,Applied research,Amount,3,5191
11314,r131,2010,Total,Applied research,Percent,3,27.5
11314,r132,2010,Total,Experimental development,Amount,3,7034
11314,r133,2010,Total,Experimental development,Percent,3,37.3
11314,r134,2010,Federally financed,All R&D expenditures,,2,18454
11314,r135,2010,Federally financed,Basic research,Amount,3,6487
11314,r136,2010,Federally financed,Basic research,Percent,3,35.2
11314,r137,2010,Federally financed,Applied research,Amount,3,5031
11314,r138,2010,Federally financed,Applied research,Percent,3,27.3
11314,r139,2010,Federally financed,Experimental development,Amount,3,6935
11314,r140,2010,Federally financed,Experimental development,Percent,3,37.6
11314,r141,2011,Total,All R&D expenditures,,2,18671
11314,r142,2011,Total,Basic research,Amount,3,6582
11314,r143,2011,Total,Basic research,Percent,3,35.3
11314,r144,2011,Total,Applied research,Amount,3,5175
11314,r145,2011,Total,Applied research,Percent,3,27.7
11314,r146,2011,Total,Experimental development,Amount,3,6914
11314,r147,2011,Total,Experimental development,Percent,3,37.0
11314,r148,2011,Federally financed,All R&D expenditures,,2,18276
11314,r149,2011,Federally financed,Basic research,Amount,3,6439
11314,r150,2011,Federally financed,Basic research,Percent,3,35.2
11314,r151,2011,Federally financed,Applied research,Amount,3,5006
11314,r152,2011,Federally financed,Applied research,Percent,3,27.4
11314,r153,2011,Federally financed,Experimental development,Amount,3,6830
11314,r154,2011,Federally financed,Experimental development,Percent,3,37.4
11314,r155,2012,Total,All R&D expenditures,,2,18281
11314,r156,2012,Total,Basic research,Amount,3,6153
11314,r157,2012,Total,Basic research,Percent,3,33.7
11314,r158,2012,Total,Applied research,Amount,3,5382
11314,r159,2012,Total,Applied research,Percent,3,29.4
11314,r160,2012,Total,Experimental development,Amount,3,6746
11314,r161,2012,Total,Experimental development,Percent,3,36.9
11314,r162,2012,Federally financed,All R&D expenditures,,2,17875
11314,r163,2012,Federally financed,Basic research,Amount,3,6013
11314,r164,2012,Federally financed,Basic research,Percent,3,33.6
11314,r165,2012,Federally financed,Applied research,Amount,3,5209
11314,r166,2012,Federally financed,Applied research,Percent,3,29.1
11314,r167,2012,Federally financed,Experimental development,Amount,3,6653
11314,r168,2012,Federally financed,Experimental development,Percent,3,37.2
11314,r169,2013,Total,All R&D expenditures,,2,17667
11314,r170,2013,Total,Basic research,Amount,3,4186
11314,r171,2013,Total,Basic research,Percent,3,23.7
11314,r172,2013,Total,Applied research,Amount,3,6818
11314,r173,2013,Total,Applied research,Percent,3,38.6
11314,r174,2013,Total,Experimental development,Amount,3,6663
11314,r175,2013,Total,Experimental development,Percent,3,37.7
11314,r176,2013,Federally financed,All R&D expenditures,,2,17285
11314,r177,2013,Federally financed,Basic research,Amount,3,4081
