table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_yes_filed_form_6765_in_2018,field_no_did_not_file_form_6765_in_2018
5628,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    12,975 ', '&nbsp;']","['    21.7 ', '&nbsp;']","['    77.9 ', '&nbsp;']"
5628,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    1,889 ', '&nbsp;']","['    23.1 ', '&nbsp;']","['    76.7 ', '&nbsp;']"
5628,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']"
5628,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    10 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5628,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5628,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5628,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']"
5628,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5628,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['    274 ', '&nbsp;']","['    29.2 ', '&nbsp;']","['    71.2 ', '&nbsp;']"
5628,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['    165 ', '&nbsp;']","['    34.5 ', '&nbsp;']","['    66.1 ', '&nbsp;']"
5628,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['    110 ', '&nbsp;']","['    20.0 ', '&nbsp;']","['    78.2 ', '&nbsp;']"
5628,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5628,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    15 ', 'r']","['D', '&nbsp;']","['D', '&nbsp;']"
5628,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5628,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    18 ', 'r']","['    0.0 ', '&nbsp;']","['    100.0 ', '&nbsp;']"
5628,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    135 ', '&nbsp;']","['    20.7 ', 'r']","['    79.3 ', '&nbsp;']"
5628,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    998 ', '&nbsp;']","['    23.8 ', '&nbsp;']","['    76.3 ', '&nbsp;']"
5628,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['    201 ', '&nbsp;']","['    14.9 ', '&nbsp;']","['    84.1 ', '&nbsp;']"
5628,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['    533 ', '&nbsp;']","['    29.5 ', '&nbsp;']","['    70.4 ', '&nbsp;']"
5628,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['    266 ', '&nbsp;']","['    19.2 ', '&nbsp;']","['    81.2 ', '&nbsp;']"
5628,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    173 ', '&nbsp;']","['    9.8 ', '&nbsp;']","['    90.2 ', '&nbsp;']"
5628,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    41 ', '&nbsp;']","['    41.5 ', 'r']","['    56.1 ', '&nbsp;']"
5628,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['    33 ', '&nbsp;']","['    33.3 ', 'r']","['    60.6 ', 'r']"
5628,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5628,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5628,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    212 ', '&nbsp;']","['    17.5 ', '&nbsp;']","['    80.7 ', '&nbsp;']"
5628,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    11,085 ', '&nbsp;']","['    21.5 ', '&nbsp;']","['    78.2 ', '&nbsp;']"
5628,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    505 ', '&nbsp;']","['    16.2 ', 'r']","['    83.8 ', '&nbsp;']"
5628,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    1,801 ', '&nbsp;']","['    20.0 ', '&nbsp;']","['    79.3 ', '&nbsp;']"
5628,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    1,268 ', '&nbsp;']","['    20.1 ', '&nbsp;']","['    79.6 ', '&nbsp;']"
5628,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,"51, excluding 5112","['    534 ', '&nbsp;']","['    19.5 ', '&nbsp;']","['    78.8 ', '&nbsp;']"
5628,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    1,256 ', '&nbsp;']","['    19.1 ', '&nbsp;']","['    80.8 ', '&nbsp;']"
5628,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    4,639 ', '&nbsp;']","['    19.7 ', '&nbsp;']","['    79.9 ', '&nbsp;']"
5628,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    2,883 ', '&nbsp;']","['    27.2 ', '&nbsp;']","['    72.6 ', '&nbsp;']"
5628,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['    572 ', '&nbsp;']","['    24.8 ', '&nbsp;']","['    74.8 ', '&nbsp;']"
5628,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['    838 ', '&nbsp;']","['    35.2 ', '&nbsp;']","['    64.7 ', '&nbsp;']"
5628,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['    1,408 ', '&nbsp;']","['    24.2 ', '&nbsp;']","['    75.6 ', '&nbsp;']"
5628,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['    32 ', '&nbsp;']","['D', '&nbsp;']","['    93.8 ', '&nbsp;']"
