table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023_preliminary_
10891,r001,All fields,All fields,,,1,31604,32298,34812,36600,38392,41101,43758,43630,48414,51014
10891,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,NA,NA,NA,NA,NA,NA,NA,3086,2533,3029
10891,r003,All fields -> Computer sciences and mathematics,All fields,Computer sciences and mathematics,,2,1965,1878,2113,2017,2122,2024,3388,NA,NA,NA
10891,r004,All fields -> Computer sciences and mathematics -> Computer sciences,All fields,Computer sciences and mathematics,Computer sciences,3,1654,1621,1818,1736,1856,1746,3050,NA,NA,NA
10891,r005,All fields -> Computer sciences and mathematics -> Mathematics,All fields,Computer sciences and mathematics,Mathematics,3,155,132,141,118,113,118,178,NA,NA,NA
10891,r006,All fields -> Computer sciences and mathematics -> Other computer sciences and mathematics,All fields,Computer sciences and mathematics,Other computer sciences and mathematics,3,157,125,154,163,154,160,160,NA,NA,NA
10891,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",,2,1613,1675,1685,1783,1571,1823,1873,1985,2125,2721
10891,r008,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Atmospheric science and meteorology (formerly Atmospheric sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",Atmospheric science and meteorology (formerly Atmospheric sciences),3,531,516,517,564,288,310,345,327,403,NA
10891,r009,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Geological and earth sciences (formerly Geological sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",Geological and earth sciences (formerly Geological sciences),3,143,211,129,141,45,39,44,287,320,NA
10891,r010,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Ocean sciences and marine sciences (formerly Oceanography)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",Ocean sciences and marine sciences (formerly Oceanography),3,365,294,331,390,359,387,476,606,608,NA
10891,r011,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Other geosciences, atmospheric sciences, and ocean sciences (formerly Other environmental sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)","Other geosciences, atmospheric sciences, and ocean sciences (formerly Other environmental sciences)",3,573,654,708,688,879,1086,1007,764,793,NA
10891,r012,All fields -> Life sciences,All fields,Life sciences,,2,14932,15415,16468,17516,18818,19423,21720,19232,22558,21942
10891,r013,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,491,766,717,769,728,811,731,486,620,NA
10891,r014,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,NA,NA,NA,NA,NA,NA,NA,8466,11547,NA
10891,r015,All fields -> Life sciences -> Biological sciences (excluding environmental biology),All fields,Life sciences,Biological sciences (excluding environmental biology),3,7027,7081,7897,7982,8670,9125,9839,NA,NA,NA
10891,r016,All fields -> Life sciences -> Environmental biology,All fields,Life sciences,Environmental biology,3,426,420,408,412,409,434,431,NA,NA,NA
10891,r017,All fields -> Life sciences -> Health sciences (formerly Medical sciences),All fields,Life sciences,Health sciences (formerly Medical sciences),3,5721,5816,6021,6931,7150,7386,8722,8176,8095,NA
10891,r018,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,NA,NA,NA,NA,NA,NA,NA,195,203,NA
10891,r019,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,1267,1331,1426,1421,1862,1668,1997,1909,2092,NA
10891,r020,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,NA,NA,NA,NA,NA,NA,NA,212,296,313
10891,r021,All fields -> Physical sciences,All fields,Physical sciences,,2,1846,1889,1999,1864,1951,1909,1907,1864,2650,2914
10891,r022,All fields -> Physical sciences -> Astronomy and astrophysics (formerly Astronomy),All fields,Physical sciences,Astronomy and astrophysics (formerly Astronomy),3,156,157,154,153,8,6,1,1,0.05,NA
10891,r023,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,291,295,311,275,382,434,390,349,755,NA
10891,r024,All fields -> Physical sciences -> Material science,All fields,Physical sciences,Material science,3,NA,NA,NA,NA,NA,NA,NA,215,179,NA
10891,r025,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,989,471,1139,1079,1023,875,1061,618,1019,NA
10891,r026,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,410,966,395,358,537,593,455,681,698,NA
10891,r027,All fields -> Psychology,All fields,Psychology,,2,930,995,1032,1054,1180,1387,1664,1836,2300,2446
