table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
7723,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['5,600,668', '&nbsp;']","['4,274,137', '&nbsp;']","['140,976', '&nbsp;']","['202,765', '&nbsp;']","['18,505', '&nbsp;']","['26,135', 'r']","['14,335', '&nbsp;']","['867,027', '&nbsp;']","['42,281', '&nbsp;']","['14,508', '&nbsp;']"
7723,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['627,387', '&nbsp;']","['495,843', '&nbsp;']","['14,201', 'r']","['15,570', '&nbsp;']","['1,868', '&nbsp;']","['2,356', 'r']","['1,867', 'r']","['84,185', '&nbsp;']","['10,993', 'r']","['504', '&nbsp;']"
7723,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['9,614', '&nbsp;']","['6,581', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['288', '&nbsp;']","['0', '&nbsp;']","['2,457', 'r']","['288', '&nbsp;']","['0', '&nbsp;']"
7723,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['472', 'r']","['472', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['160,031', '&nbsp;']","['121,470', '&nbsp;']","['332', '&nbsp;']","['5,788', 'r']","['1,378', 'r']","['14', '&nbsp;']","['1,399', 'r']","['29,114', 'r']","['536', '&nbsp;']","['0', '&nbsp;']"
7723,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['77,054', '&nbsp;']","['62,164', '&nbsp;']","['332', '&nbsp;']","['4,891', 'r']","['1,278', 'r']","['14', '&nbsp;']","['1,399', 'r']","['6,899', '&nbsp;']","['76', '&nbsp;']","['0', '&nbsp;']"
7723,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['82,977', '&nbsp;']","['59,306', '&nbsp;']","['0', '&nbsp;']","['897', 'r']","['100', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['22,215', 'r']","['460', 'r']","['0', '&nbsp;']"
7723,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['18,099', '&nbsp;']","['11,239', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['6,860', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['133', '&nbsp;']","['133', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['9,077', 'r']","['9,077', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['37,292', 'r']","['35,574', 'r']","['0', '&nbsp;']","['1,667', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['51', 'r']","['0', '&nbsp;']"
7723,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['62,840', '&nbsp;']","['58,453', '&nbsp;']","['0', '&nbsp;']","['195', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['4,192', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['189,225', '&nbsp;']","['143,732', '&nbsp;']","['2,191', 'r']","['4,575', '&nbsp;']","['329', 'r']","['1,974', 'r']","['468', '&nbsp;']","['26,218', '&nbsp;']","['9,234', 'r']","['504', '&nbsp;']"
7723,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['36,372', '&nbsp;']","['33,512', '&nbsp;']","['8', '&nbsp;']","['1,168', '&nbsp;']","['23', '&nbsp;']","['70', '&nbsp;']","['209', '&nbsp;']","['1,367', '&nbsp;']","['0', '&nbsp;']","['15', '&nbsp;']"
7723,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['135,652', '&nbsp;']","['94,672', '&nbsp;']","['2,183', 'r']","['3,206', 'r']","['306', 'r']","['1,904', 'r']","['259', 'r']","['23,398', '&nbsp;']","['9,234', 'r']","['488', '&nbsp;']"
7723,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['17,201', '&nbsp;']","['15,547', '&nbsp;']","['0', '&nbsp;']","['201', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,453', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['24,958', 'r']","['10,584', '&nbsp;']","['11,679', 'r']","['335', 'r']","['160', 'r']","['80', 'r']","['0', '&nbsp;']","['2,119', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['38,247', '&nbsp;']","['29,872', '&nbsp;']","['0', '&nbsp;']","['2,891', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['5,417', 'r']","['66', '&nbsp;']","['0', '&nbsp;']"
7723,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['19,307', '&nbsp;']","['14,041', '&nbsp;']","['0', '&nbsp;']","['2,891', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2,308', '&nbsp;']","['66', '&nbsp;']","['0', '&nbsp;']"
7723,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['18,940', 'r']","['15,831', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3,109', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['124', '&nbsp;']","['124', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['77,276', '&nbsp;']","['68,532', '&nbsp;']","['0', '&nbsp;']","['119', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['7,809', '&nbsp;']","['817', 'r']","['0', '&nbsp;']"
7723,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['4,973,281', '&nbsp;']","['3,778,294', '&nbsp;']","['126,774', '&nbsp;']","['187,195', '&nbsp;']","['16,637', '&nbsp;']","['23,778', 'r']","['12,467', '&nbsp;']","['782,842', '&nbsp;']","['31,288', '&nbsp;']","['14,004', '&nbsp;']"
7723,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['392,416', '&nbsp;']","['335,440', '&nbsp;']","['26,087', 'r']","['14,694', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['16,195', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7723,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['689,766', '&nbsp;']","['644,794', '&nbsp;']","['1,127', '&nbsp;']","['10,560', '&nbsp;']","['1,440', '&nbsp;']","['210', '&nbsp;']","['113', 'r']","['26,486', '&nbsp;']","['1,812', '&nbsp;']","['3,224', 'r']"
7723,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['468,557', '&nbsp;']","['428,059', '&nbsp;']","['1,127', '&nbsp;']","['9,758', '&nbsp;']","['1,440', '&nbsp;']","['184', '&nbsp;']","['113', 'r']","['23,242', '&nbsp;']","['1,498', '&nbsp;']","['3,135', 'r']"
7723,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['221,209', '&nbsp;']","['216,735', '&nbsp;']","['0', '&nbsp;']","['801', '&nbsp;']","['0', '&nbsp;']","['26', 'r']","['0', '&nbsp;']","['3,244', '&nbsp;']","['314', 'r']","['90', '&nbsp;']"
7723,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['574,367', '&nbsp;']","['384,554', '&nbsp;']","['38,036', 'r']","['30,583', '&nbsp;']","['1,257', 'r']","['879', 'r']","['1,670', 'r']","['115,614', 'r']","['1,774', 'r']","['0', '&nbsp;']"
7723,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['1,122,622', '&nbsp;']","['886,689', '&nbsp;']","['4,358', 'r']","['39,726', '&nbsp;']","['1,119', 'r']","['19,688', 'r']","['100', 'r']","['165,586', '&nbsp;']","['5,196', 'r']","['161', '&nbsp;']"
7723,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['2,194,110', '&nbsp;']","['1,526,817', '&nbsp;']","['57,167', '&nbsp;']","['91,633', '&nbsp;']","['12,822', '&nbsp;']","['3,002', '&nbsp;']","['10,585', '&nbsp;']","['458,961', '&nbsp;']","['22,506', '&nbsp;']","['10,618', 'r']"
7723,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['162,996', '&nbsp;']","['104,969', '&nbsp;']","['20,497', '&nbsp;']","['1,984', '&nbsp;']","['1,731', '&nbsp;']","['180', '&nbsp;']","['56', 'r']","['30,599', '&nbsp;']","['2,788', '&nbsp;']","['191', '&nbsp;']"
7723,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['913,514', '&nbsp;']","['698,955', '&nbsp;']","['7,310', '&nbsp;']","['26,717', '&nbsp;']","['1,504', '&nbsp;']","['669', '&nbsp;']","['3,893', '&nbsp;']","['158,797', '&nbsp;']","['6,662', '&nbsp;']","['9,008', 'r']"
