table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8454,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,1720,1931,2189,12.3,13.4
8454,r002,R&D and R&D plant -> Air transportation (402),R&D and R&D plant,Air transportation (402),,,,2,1119,1146,1355,2.4,18.2
8454,r003,R&D and R&D plant -> Air transportation (402) -> Department of Transportation<sup>b</sup>,R&D and R&D plant,Air transportation (402),Department of Transportation<sup>b</sup>,,,3,479,487,552,1.7,13.3
8454,r004,R&D and R&D plant -> Air transportation (402) -> Department of Transportation<sup>b</sup> -> Federal Aviation Administration,R&D and R&D plant,Air transportation (402),Department of Transportation<sup>b</sup>,Federal Aviation Administration,,4,479,487,552,1.7,13.3
8454,r005,R&D and R&D plant -> Air transportation (402) -> National Aeronautics and Space Administration,R&D and R&D plant,Air transportation (402),National Aeronautics and Space Administration,,,3,610,629,769,3.1,22.3
8454,r006,R&D and R&D plant -> Air transportation (402) -> National Aeronautics and Space Administration -> Aeronautics research,R&D and R&D plant,Air transportation (402),National Aeronautics and Space Administration,Aeronautics research,,4,610,629,769,3.1,22.3
8454,r007,R&D and R&D plant -> Air transportation (402) -> Department of Homeland Security,R&D and R&D plant,Air transportation (402),Department of Homeland Security,,,3,30,30,34,0.0,13.3
8454,r008,R&D and R&D plant -> Air transportation (402) -> Department of Homeland Security -> Transportation Security Administration,R&D and R&D plant,Air transportation (402),Department of Homeland Security,Transportation Security Administration,,4,30,30,34,0.0,13.3
8454,r009,R&D and R&D plant -> Ground transportation (401),R&D and R&D plant,Ground transportation (401),,,,2,550,635,651,15.5,2.5
8454,r010,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation<sup>b</sup>,R&D and R&D plant,Ground transportation (401),Department of Transportation<sup>b</sup>,,,3,550,635,651,15.5,2.5
8454,r011,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation<sup>b</sup> -> Federal Highway Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation<sup>b</sup>,Federal Highway Administration,,4,406,431,499,6.2,15.8
8454,r012,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation<sup>b</sup> -> Federal Motor Carrier Safety Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation<sup>b</sup>,Federal Motor Carrier Safety Administration,,4,9,14,14,55.6,0.0
8454,r013,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation<sup>b</sup> -> Federal Railroad Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation<sup>b</sup>,Federal Railroad Administration,,4,45,46,63,2.2,37.0
8454,r014,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation<sup>b</sup> -> Federal Transit Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation<sup>b</sup>,Federal Transit Administration,,4,28,28,58,0.0,107.1
8454,r015,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation<sup>b</sup> -> National Highway Traffic Safety Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation<sup>b</sup>,National Highway Traffic Safety Administration,,4,62,116,17,87.1,-85.3
8454,r016,R&D and R&D plant -> Water transportation (403),R&D and R&D plant,Water transportation (403),,,,2,10,10,7,0.0,-30.0
8454,r017,R&D and R&D plant -> Water transportation (403) -> Department of Homeland Security,R&D and R&D plant,Water transportation (403),Department of Homeland Security,,,3,10,10,7,0.0,-30.0
8454,r018,R&D and R&D plant -> Water transportation (403) -> Department of Homeland Security -> Coast Guard,R&D and R&D plant,Water transportation (403),Department of Homeland Security,Coast Guard,,4,10,10,7,0.0,-30.0
8454,r019,R&D and R&D plant -> Other transportation (407),R&D and R&D plant,Other transportation (407),,,,2,41,140,176,241.5,25.7
8454,r020,R&D and R&D plant -> Other transportation (407) -> Department of Transportation<sup>b</sup>,R&D and R&D plant,Other transportation (407),Department of Transportation<sup>b</sup>,,,3,41,140,176,241.5,25.7
8454,r021,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,1685,1892,2148,12.3,13.5
8454,r022,R&D and R&D plant -> R&D -> Air transportation (402),R&D and R&D plant,R&D,Air transportation (402),,,3,1092,1113,1323,1.9,18.9
8454,r023,R&D and R&D plant -> R&D -> Air transportation (402) ->    Department of Transportation<sup>b</sup>,R&D and R&D plant,R&D,Air transportation (402),   Department of Transportation<sup>b</sup>,,4,452,454,520,0.4,14.5
8454,r024,R&D and R&D plant -> R&D -> Air transportation (402) ->    Department of Transportation<sup>b</sup> ->    Federal Aviation Administration,R&D and R&D plant,R&D,Air transportation (402),   Department of Transportation<sup>b</sup>,   Federal Aviation Administration,5,452,454,520,0.4,14.5
8454,r025,R&D and R&D plant -> R&D -> Air transportation (402) -> National Aeronautics and Space Administration,R&D and R&D plant,R&D,Air transportation (402),National Aeronautics and Space Administration,,4,610,629,769,3.1,22.3
8454,r026,R&D and R&D plant -> R&D -> Air transportation (402) -> National Aeronautics and Space Administration -> Aeronautics research,R&D and R&D plant,R&D,Air transportation (402),National Aeronautics and Space Administration,Aeronautics research,5,610,629,769,3.1,22.3
