table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_non_medical_school_r_d_expenditures,field_all_medical_school_r_d_expenditures,field_all_r_d_expenditures
10128,r001,All institutions,All institutions,,1,-,"['61,736,180', '']","['35,944,348', '']","['97,680,528', '']"
10128,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['2,576,453', '']","['843,859', '']","['3,420,312', '']"
10128,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['1,231,485', '']","['0', '']","['1,231,485', '']"
10128,r004,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,3,"['1,182,536', '']","['0', '']","['1,182,536', '']"
10128,r005,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,4,"['1,101,461', '']","['51,205', '']","['1,152,666', '']"
10128,r006,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,5,"['1,035,272', '']","['735,436', '']","['1,770,708', '']"
10128,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,"['992,684', '']","['530,829', '']","['1,523,513', '']"
10128,r008,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,7,"['989,166', '']","['0', '']","['989,166', '']"
10128,r009,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,8,"['981,035', '']","['0', '']","['981,035', '']"
10128,r010,All institutions -> Harvard U.,All institutions,Harvard U.,2,9,"['889,932', '']","['418,526', '']","['1,308,458', '']"
10128,r011,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,10,"['873,565', '']","['146,375', '']","['1,019,940', '']"
10128,r012,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,11,"['834,512', '']","['698,845', '']","['1,533,357', '']"
10128,r013,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,12,"['821,611', '']","['380,473', '']","['1,202,084', '']"
10128,r014,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,13,"['800,344', '']","['45,552', '']","['845,896', '']"
10128,r015,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,14,"['797,224', '']","['0', '']","['797,224', '']"
10128,r016,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,15,"['765,515', '']","['394', '']","['765,909', '']"
10128,r017,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,16,"['754,627', '']","['0', '']","['754,627', '']"
10128,r018,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,17,"['733,875', '']","['494,675', '']","['1,228,550', '']"
10128,r019,All institutions -> Cornell U.,All institutions,Cornell U.,2,18,"['719,945', '']","['580,412', '']","['1,300,357', '']"
10128,r020,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,19,"['715,873', '']","['843,835', '']","['1,559,708', '']"
10128,r021,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,20,"['692,667', '']","['670,721', '']","['1,363,388', '']"
10128,r022,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,21,"['660,710', '']","['98,519', '']","['759,229', '']"
10128,r023,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,22,"['647,841', '']","['235,966', '']","['883,807', '']"
10128,r024,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,23,"['636,328', '']","['594,596', '']","['1,230,924', '']"
10128,r025,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,24,"['611,380', '']","['0', '']","['611,380', '']"
10128,r026,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,25,"['597,439', '']","['763,589', '']","['1,361,028', '']"
10128,r027,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,26,"['591,861', '']","['0', '']","['591,861', '']"
10128,r028,All institutions -> U. Florida,All institutions,U. Florida,2,27,"['588,063', '']","['497,771', '']","['1,085,834', '']"
10128,r029,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,28,"['583,203', '']","['0', '']","['583,203', '']"
10128,r030,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,29,"['582,333', '']","['1,208,978', '']","['1,791,311', '']"
10128,r031,All institutions -> U. Arizona,All institutions,U. Arizona,2,30,"['557,299', '']","['267,041', '']","['824,340', '']"
10128,r032,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,31,"['546,606', '']","['989,591', '']","['1,536,197', '']"
10128,r033,All institutions -> U. Georgia,All institutions,U. Georgia,2,32,"['545,631', '']","['0', '']","['545,631', '']"
10128,r034,All institutions -> U. Southern California,All institutions,U. Southern California,2,33,"['535,766', '']","['504,139', '']","['1,039,905', '']"
10128,r035,All institutions -> Boston U.,All institutions,Boston U.,2,34,"['515,070', '']","['210,332', '']","['725,402', '']"
10128,r036,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,35,"['492,639', '']","['0', '']","['492,639', '']"
10128,r037,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,36,"['482,229', '']","['603,994', '']","['1,086,223', '']"
10128,r038,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,37,"['478,142', '']","['0', '']","['478,142', '']"
10128,r039,All institutions -> Princeton U.,All institutions,Princeton U.,2,38,"['461,185', '']","['0', '']","['461,185', '']"
10128,r040,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,39,"['456,911', '']","['0', '']","['456,911', '']"
10128,r041,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,40,"['449,707', '']","['0', '']","['449,707', '']"
10128,r042,All institutions -> New York U.,All institutions,New York U.,2,41,"['445,010', '']","['831,028', '']","['1,276,038', '']"
10128,r043,All institutions -> Stanford U.,All institutions,Stanford U.,2,42,"['419,783', '']","['964,772', '']","['1,384,555', '']"
10128,r044,"All institutions -> SUNY, Polytechnic Institute",All institutions,"SUNY, Polytechnic Institute",2,43,"['413,763', '']","['0', '']","['413,763', '']"
10128,r045,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,44,"['393,184', '']","['0', '']","['393,184', '']"
10128,r046,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,45,"['368,718', '']","['343,513', '']","['712,231', '']"
10128,r047,All institutions -> U. Utah,All institutions,U. Utah,2,46,"['368,213', '']","['301,906', '']","['670,119', '']"
10128,r048,All institutions -> U. Delaware,All institutions,U. Delaware,2,47,"['368,107', '']","['0', '']","['368,107', '']"
10128,r049,All institutions -> Rockefeller U.,All institutions,Rockefeller U.,2,48,"['360,877', '']","['0', '']","['360,877', '']"
10128,r050,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,49,"['355,839', '']","['179,108', '']","['534,947', '']"
10128,r051,All institutions -> Washington State U.,All institutions,Washington State U.,2,50,"['354,892', '']","['13,504', '']","['368,396', '']"
10128,r052,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,51,"['351,191', '']","['900,807', '']","['1,251,998', '']"
10128,r053,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,52,"['350,727', '']","['81,583', '']","['432,310', '']"
10128,r054,All institutions -> Emory U.,All institutions,Emory U.,2,53,"['350,583', '']","['607,698', '']","['958,281', '']"
10128,r055,All institutions -> Utah State U.,All institutions,Utah State U.,2,54,"['344,851', '']","['0', '']","['344,851', '']"
10128,r056,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,55,"['344,556', '']","['0', '']","['344,556', '']"
10128,r057,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,56,"['340,260', '']","['0', '']","['340,260', '']"
10128,r058,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,57,"['325,141', '']","['337,517', '']","['662,658', '']"
10128,r059,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,58,"['324,435', '']","['0', '']","['324,435', '']"
10128,r060,All institutions -> Florida State U.,All institutions,Florida State U.,2,59,"['324,215', '']","['31,771', '']","['355,986', '']"
10128,r061,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,60,"['304,439', '']","['0', '']","['304,439', '']"
10128,r062,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,61,"['303,418', '']","['0', '']","['303,418', '']"
10128,r063,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,62,"['297,934', '']","['0', '']","['297,934', '']"
10128,r064,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,63,"['286,985', '']","['189,532', '']","['476,517', '']"
10128,r065,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,64,"['280,604', '']","['0', '']","['280,604', '']"
10128,r066,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,65,"['280,548', '']","['128,108', '']","['408,656', '']"
10128,r067,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,66,"['278,897', '']","['0', '']","['278,897', '']"
10128,r068,All institutions -> Florida International U.,All institutions,Florida International U.,2,67,"['268,734', '']","['12,931', '']","['281,665', '']"
10128,r069,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,68,"['264,587', '']","['736,108', '']","['1,000,695', '']"
10128,r070,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,69,"['263,849', '']","['487,460', '']","['751,309', '']"
10128,r071,All institutions -> Clemson U.,All institutions,Clemson U.,2,70,"['263,158', '']","['0', '']","['263,158', '']"
10128,r072,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,71,"['261,519', '']","['0', '']","['261,519', '']"
10128,r073,All institutions -> U. Iowa,All institutions,U. Iowa,2,72,"['259,158', '']","['335,057', '']","['594,215', '']"
10128,r074,All institutions -> Duke U.,All institutions,Duke U.,2,73,"['257,692', '']","['1,132,846', '']","['1,390,538', '']"
10128,r075,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,74,"['255,017', '']","['0', '']","['255,017', '']"
10128,r076,All institutions -> U. South Florida<sup>c</sup>,All institutions,U. South Florida<sup>c</sup>,2,75,"['253,283', '']","['151,883', '']","['405,166', '']"
10128,r077,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,76,"['249,777', '']","['27,546', '']","['277,323', '']"
10128,r078,All institutions -> U. Kansas,All institutions,U. Kansas,2,77,"['246,247', '']","['159,020', '']","['405,267', '']"
10128,r079,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,78,"['245,158', '']","['0', '']","['245,158', '']"
10128,r080,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,79,"['242,333', '']","['125,224', '']","['367,557', '']"
10128,r081,All institutions -> U. Houston,All institutions,U. Houston,2,80,"['239,331', '']","['795', '']","['240,126', '']"
10128,r082,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,81,"['236,592', '']","['203,981', '']","['440,573', '']"
10128,r083,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,82,"['236,011', '']","['203,698', '']","['439,709', '']"
10128,r084,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,83,"['235,677', '']","['95,487', '']","['331,164', '']"
10128,r085,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,84,"['231,607', '']","['0', '']","['231,607', '']"
10128,r086,All institutions -> George Mason U.,All institutions,George Mason U.,2,85,"['230,068', '']","['0', '']","['230,068', '']"
10128,r087,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,86,"['227,586', '']","['1,578,364', '']","['1,805,950', '']"
10128,r088,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,87,"['226,729', '']","['0', '']","['226,729', '']"
10128,r089,All institutions -> Rice U.,All institutions,Rice U.,2,88,"['216,202', '']","['0', '']","['216,202', '']"
10128,r090,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,89,"['215,908', '']","['0', '']","['215,908', '']"
10128,r091,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,90,"['212,974', '']","['0', '']","['212,974', '']"
10128,r092,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,91,"['212,494', '']","['8,994', '']","['221,488', '']"
10128,r093,All institutions -> U. Dayton,All institutions,U. Dayton,2,92,"['211,494', '']","['0', '']","['211,494', '']"
10128,r094,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,93,"['209,897', '']","['196,001', '']","['405,898', '']"
10128,r095,All institutions -> U. Chicago,All institutions,U. Chicago,2,94,"['206,795', '']","['385,010', '']","['591,805', '']"
10128,r096,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,95,"['206,536', '']","['22,626', '']","['229,162', '']"
10128,r097,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,96,"['206,392', '']","['0', '']","['206,392', '']"
10128,r098,"All institutions -> U. Louisiana, Lafayette",All institutions,"U. Louisiana, Lafayette",2,97,"['205,201', '']","['0', '']","['205,201', '']"
10128,r099,All institutions -> George Washington U.,All institutions,George Washington U.,2,98,"['204,128', '']","['71,355', '']","['275,483', '']"
10128,r100,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,99,"['202,516', '']","['0', '']","['202,516', '']"
10128,r101,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,100,"['200,820', '']","['0', '']","['200,820', '']"
10128,r102,"All institutions -> Oklahoma State U., Stillwater",All institutions,"Oklahoma State U., Stillwater",2,101,"['195,041', '']","['0', '']","['195,041', '']"
10128,r103,All institutions -> Yale U.,All institutions,Yale U.,2,102,"['191,998', '']","['999,203', '']","['1,191,201', '']"
10128,r104,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,103,"['191,635', '']","['152,491', '']","['344,126', '']"
10128,r105,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,104,"['191,624', '']","['287,602', '']","['479,226', '']"
10128,r106,All institutions -> Temple U.,All institutions,Temple U.,2,105,"['187,806', '']","['113,589', '']","['301,395', '']"
10128,r107,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,106,"['184,080', '']","['0', '']","['184,080', '']"
10128,r108,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,107,"['182,054', '']","['531,426', '']","['713,480', '']"
10128,r109,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,108,"['181,304', '']","['17,831', '']","['199,135', '']"
10128,r110,All institutions -> Tufts U.,All institutions,Tufts U.,2,109,"['180,163', '']","['51,061', '']","['231,224', '']"
10128,r111,All institutions -> U. Rochester,All institutions,U. Rochester,2,110,"['176,830', '']","['273,975', '']","['450,805', '']"
10128,r112,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,111,"['176,760', '']","['0', '']","['176,760', '']"
10128,r113,All institutions -> North Dakota State U.,All institutions,North Dakota State U.,2,112,"['174,904', '']","['0', '']","['174,904', '']"
10128,r114,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,113,"['173,643', '']","['139,055', '']","['312,698', '']"
10128,r115,All institutions -> U. Maine,All institutions,U. Maine,2,114,"['171,931', '']","['0', '']","['171,931', '']"
10128,r116,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,115,"['169,532', '']","['0', '']","['169,532', '']"
10128,r117,All institutions -> New Jersey Institute of Technology,All institutions,New Jersey Institute of Technology,2,116,"['167,135', '']","['0', '']","['167,135', '']"
10128,r118,"All institutions -> U. Alabama, Tuscaloosa",All institutions,"U. Alabama, Tuscaloosa",2,117,"['163,204', '']","['0', '']","['163,204', '']"
10128,r119,All institutions -> U. Oregon,All institutions,U. Oregon,2,118,"['160,500', '']","['0', '']","['160,500', '']"
10128,r120,All institutions -> Syracuse U.,All institutions,Syracuse U.,2,119,"['157,407', '']","['0', '']","['157,407', '']"
10128,r121,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,120,"['155,825', '']","['58,256', '']","['214,081', '']"
10128,r122,All institutions -> Brown U.,All institutions,Brown U.,2,121,"['153,818', '']","['156,962', '']","['310,780', '']"
10128,r123,"All institutions -> U. Texas Health Science Center, Houston",All institutions,"U. Texas Health Science Center, Houston",2,122,"['149,276', '']","['193,357', '']","['342,633', '']"
