table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
12869,r001,FYs 1986&#8211;87,All sources,,1,837.9
12869,r002,FYs 1986&#8211;87,Government,Federal,2,27.3
12869,r003,FYs 1986&#8211;87,Government,State and local,2,233.1
12869,r004,FYs 1986&#8211;87,Institutional funds and other sourcesa,,1,577.5
12869,r005,FYs 1986&#8211;87 -> Doctorate granting,All sources,,1,792.7
12869,r006,FYs 1986&#8211;87 -> Doctorate granting,Government,Federal,2,23.5
12869,r007,FYs 1986&#8211;87 -> Doctorate granting,Government,State and local,2,201.7
12869,r008,FYs 1986&#8211;87 -> Doctorate granting,Institutional funds and other sourcesa,,1,567.5
12869,r009,FYs 1986&#8211;87 -> Nondoctorate granting,All sources,,1,45.2
12869,r010,FYs 1986&#8211;87 -> Nondoctorate granting,Government,Federal,2,3.7
12869,r011,FYs 1986&#8211;87 -> Nondoctorate granting,Government,State and local,2,31.4
12869,r012,FYs 1986&#8211;87 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,10.1
12869,r013,FYs 1988&#8211;89,All sources,,1,1009.5
12869,r014,FYs 1988&#8211;89,Government,Federal,2,61.1
12869,r015,FYs 1988&#8211;89,Government,State and local,2,233.8
12869,r016,FYs 1988&#8211;89,Institutional funds and other sourcesa,,1,714.6
12869,r017,FYs 1988&#8211;89 -> Doctorate granting,All sources,,1,979.2
12869,r018,FYs 1988&#8211;89 -> Doctorate granting,Government,Federal,2,55.9
12869,r019,FYs 1988&#8211;89 -> Doctorate granting,Government,State and local,2,226.6
12869,r020,FYs 1988&#8211;89 -> Doctorate granting,Institutional funds and other sourcesa,,1,696.7
12869,r021,FYs 1988&#8211;89 -> Nondoctorate granting,All sources,,1,30.3
12869,r022,FYs 1988&#8211;89 -> Nondoctorate granting,Government,Federal,2,5.1
12869,r023,FYs 1988&#8211;89 -> Nondoctorate granting,Government,State and local,2,7.1
12869,r024,FYs 1988&#8211;89 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,18.1
12869,r025,FYs 1990&#8211;91,All sources,,1,825.7
12869,r026,FYs 1990&#8211;91,Government,Federal,2,49.0
12869,r027,FYs 1990&#8211;91,Government,State and local,2,243.0
