table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_level_3,institution_hierarchy_depth,field_rank,field_2020,field_2021,field_2022
10082,r001,All institutions,All institutions,,,1, - ,86302,89695,97681
10082,r002,All institutions -> Leading 30 institutions,All institutions,Leading 30 institutions,,2, - ,36630,38126,41266
10082,r003,All institutions -> Leading 30 institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Leading 30 institutions,Johns Hopkins U.<sup>a</sup>,3,1,3110,3181,3420
10082,r004,"All institutions -> Leading 30 institutions -> U. California, San Francisco",All institutions,Leading 30 institutions,"U. California, San Francisco",3,2,1651,1710,1806
10082,r005,All institutions -> Leading 30 institutions -> U. Pennsylvania,All institutions,Leading 30 institutions,U. Pennsylvania,3,3,1579,1632,1791
10082,r006,"All institutions -> Leading 30 institutions -> U. Michigan, Ann Arbor",All institutions,Leading 30 institutions,"U. Michigan, Ann Arbor",3,4,1674,1640,1771
10082,r007,"All institutions -> Leading 30 institutions -> U. Washington, Seattle",All institutions,Leading 30 institutions,"U. Washington, Seattle",3,5,1457,1489,1560
10082,r008,"All institutions -> Leading 30 institutions -> U. California, Los Angeles",All institutions,Leading 30 institutions,"U. California, Los Angeles",3,6,1393,1455,1536
10082,r009,"All institutions -> Leading 30 institutions -> U. California, San Diego",All institutions,Leading 30 institutions,"U. California, San Diego",3,7,1404,1425,1533
10082,r010,All institutions -> Leading 30 institutions -> U. Wisconsin-Madison,All institutions,Leading 30 institutions,U. Wisconsin-Madison,3,8,1364,1380,1524
10082,r011,All institutions -> Leading 30 institutions -> Duke U.,All institutions,Leading 30 institutions,Duke U.,3,9,1197,1238,1391
10082,r012,All institutions -> Leading 30 institutions -> Stanford U.,All institutions,Leading 30 institutions,Stanford U.,3,10,1204,1274,1385
10082,r013,All institutions -> Leading 30 institutions -> Ohio State U.,All institutions,Leading 30 institutions,Ohio State U.,3,11,968,1236,1363
10082,r014,"All institutions -> Leading 30 institutions -> U. North Carolina, Chapel Hill",All institutions,Leading 30 institutions,"U. North Carolina, Chapel Hill",3,12,1160,1206,1361
10082,r015,All institutions -> Leading 30 institutions -> Harvard U.,All institutions,Leading 30 institutions,Harvard U.,3,13,1240,1254,1308
10082,r016,All institutions -> Leading 30 institutions -> Cornell U.,All institutions,Leading 30 institutions,Cornell U.,3,14,1190,1184,1300
10082,r017,All institutions -> Leading 30 institutions -> New York U.,All institutions,Leading 30 institutions,New York U.,3,15,947,1064,1276
10082,r018,"All institutions -> Leading 30 institutions -> U. Pittsburgh, Pittsburgh",All institutions,Leading 30 institutions,"U. Pittsburgh, Pittsburgh",3,16,1106,1135,1252
10082,r019,All institutions -> Leading 30 institutions -> Georgia Institute of Technology,All institutions,Leading 30 institutions,Georgia Institute of Technology,3,17,1049,1114,1231
10082,r020,All institutions -> Leading 30 institutions -> Columbia U. in the City of New York,All institutions,Leading 30 institutions,Columbia U. in the City of New York,3,18,1033,1099,1231
10082,r021,All institutions -> Leading 30 institutions -> U. Maryland<sup>b</sup>,All institutions,Leading 30 institutions,U. Maryland<sup>b</sup>,3,19,1103,1142,1229
10082,r022,"All institutions -> Leading 30 institutions -> U. Minnesota, Twin Cities",All institutions,Leading 30 institutions,"U. Minnesota, Twin Cities",3,20,1042,1073,1202
10082,r023,All institutions -> Leading 30 institutions -> Yale U.,All institutions,Leading 30 institutions,Yale U.,3,21,1094,1165,1191
10082,r024,All institutions -> Leading 30 institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,Leading 30 institutions,U. Texas M. D. Anderson Cancer Center,3,22,1051,1125,1183
10082,r025,"All institutions -> Leading 30 institutions -> Texas A&M U., College Station and Health Science Center",All institutions,Leading 30 institutions,"Texas A&M U., College Station and Health Science Center",3,23,1131,1148,1153
10082,r026,All institutions -> Leading 30 institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Leading 30 institutions,Vanderbilt U. and Vanderbilt U. Medical Center,3,24,825,1019,1086
10082,r027,All institutions -> Leading 30 institutions -> U. Florida,All institutions,Leading 30 institutions,U. Florida,3,25,942,960,1086
10082,r028,"All institutions -> Leading 30 institutions -> Washington U., Saint Louis",All institutions,Leading 30 institutions,"Washington U., Saint Louis",3,26,920,989,1047
10082,r029,All institutions -> Leading 30 institutions -> U. Southern California,All institutions,Leading 30 institutions,U. Southern California,3,27,941,956,1040
10082,r030,"All institutions -> Leading 30 institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,Leading 30 institutions,"Pennsylvania State U., University Park and Hershey Medical Center",3,28,992,971,1020
10082,r031,All institutions -> Leading 30 institutions -> Northwestern U.,All institutions,Leading 30 institutions,Northwestern U.,3,29,875,913,1001
10082,r032,All institutions -> Leading 30 institutions -> Massachusetts Institute of Technology,All institutions,Leading 30 institutions,Massachusetts Institute of Technology,3,30,988,949,989
