table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10439,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,2314,1986,2178,-14.2,9.7
10439,r002,R&D and R&D plant -> Air transportation (402),R&D and R&D plant,Air transportation (402),,,,2,1527,1298,1342,-15.0,3.4
10439,r003,R&D and R&D plant -> Air transportation (402) -> Department of Transportation,R&D and R&D plant,Air transportation (402),Department of Transportation,,,3,771,493,480,-36.1,-2.6
10439,r004,R&D and R&D plant -> Air transportation (402) -> Department of Transportation -> Federal Aviation Administration,R&D and R&D plant,Air transportation (402),Department of Transportation,Federal Aviation Administration,,4,771,493,480,-36.1,-2.6
10439,r005,R&D and R&D plant -> Air transportation (402) -> National Aeronautics and Space Administration,R&D and R&D plant,Air transportation (402),National Aeronautics and Space Administration,,,3,720,771,833,7.1,8.0
10439,r006,R&D and R&D plant -> Air transportation (402) -> National Aeronautics and Space Administration -> Aeronautics research,R&D and R&D plant,Air transportation (402),National Aeronautics and Space Administration,Aeronautics research,,4,720,771,833,7.1,8.0
10439,r007,R&D and R&D plant -> Air transportation (402) -> Department of Homeland Security,R&D and R&D plant,Air transportation (402),Department of Homeland Security,,,3,36,34,29,-5.6,-14.7
10439,r008,R&D and R&D plant -> Air transportation (402) -> Department of Homeland Security -> Transportation Security Administration,R&D and R&D plant,Air transportation (402),Department of Homeland Security,Transportation Security Administration,,4,36,34,29,-5.6,-14.7
10439,r009,R&D and R&D plant -> Ground transportation (401),R&D and R&D plant,Ground transportation (401),,,,2,594,573,699,-3.5,22.0
10439,r010,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation,R&D and R&D plant,Ground transportation (401),Department of Transportation,,,3,594,573,699,-3.5,22.0
10439,r011,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation -> Federal Highway Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation,Federal Highway Administration,,4,476,460,519,-3.4,12.8
10439,r012,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation -> Federal Motor Carrier Safety Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation,Federal Motor Carrier Safety Administration,,4,14,14,38,0.0,171.4
10439,r013,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation -> Federal Railroad Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation,Federal Railroad Administration,,4,48,50,65,4.2,30.0
10439,r014,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation -> Federal Transit Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation,Federal Transit Administration,,4,38,30,58,-21.1,93.3
10439,r015,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation -> National Highway Traffic Safety Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation,National Highway Traffic Safety Administration,,4,18,19,19,5.6,0.0
10439,r016,R&D and R&D plant -> Water transportation (403),R&D and R&D plant,Water transportation (403),,,,2,1,1,1,0.0,0.0
10439,r017,R&D and R&D plant -> Water transportation (403) -> Department of Homeland Security,R&D and R&D plant,Water transportation (403),Department of Homeland Security,,,3,1,1,1,0.0,0.0
10439,r018,R&D and R&D plant -> Water transportation (403) -> Department of Homeland Security -> Coast Guard,R&D and R&D plant,Water transportation (403),Department of Homeland Security,Coast Guard,,4,1,1,1,0.0,0.0
10439,r019,R&D and R&D plant -> Other transportation (407),R&D and R&D plant,Other transportation (407),,,,2,192,114,136,-40.8,19.7
10439,r020,R&D and R&D plant -> Other transportation (407) -> Department of Transportation,R&D and R&D plant,Other transportation (407),Department of Transportation,,,3,192,114,136,-40.8,19.7
10439,r021,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,2274,1940,2136,-14.7,10.1
10439,r022,R&D and R&D plant -> R&D -> Air transportation (402),R&D and R&D plant,R&D,Air transportation (402),,,3,1494,1261,1310,-15.6,3.9
10439,r023,R&D and R&D plant -> R&D -> Air transportation (402) -> Department of Transportation,R&D and R&D plant,R&D,Air transportation (402),Department of Transportation,,4,738,456,448,-38.2,-1.8
10439,r024,R&D and R&D plant -> R&D -> Air transportation (402) -> Department of Transportation -> Federal Aviation Administration,R&D and R&D plant,R&D,Air transportation (402),Department of Transportation,Federal Aviation Administration,5,738,456,448,-38.2,-1.8
10439,r025,R&D and R&D plant -> R&D -> Air transportation (402) -> National Aeronautics and Space Administration,R&D and R&D plant,R&D,Air transportation (402),National Aeronautics and Space Administration,,4,720,771,833,7.1,8.0
10439,r026,R&D and R&D plant -> R&D -> Air transportation (402) -> National Aeronautics and Space Administration -> Aeronautics research,R&D and R&D plant,R&D,Air transportation (402),National Aeronautics and Space Administration,Aeronautics research,5,720,771,833,7.1,8.0
10439,r027,R&D and R&D plant -> R&D -> Air transportation (402) -> Department of Homeland Security,R&D and R&D plant,R&D,Air transportation (402),Department of Homeland Security,,4,36,34,29,-5.6,-14.7
10439,r028,R&D and R&D plant -> R&D -> Air transportation (402) -> Department of Homeland Security -> Transportation Security Administration,R&D and R&D plant,R&D,Air transportation (402),Department of Homeland Security,Transportation Security Administration,5,36,34,29,-5.6,-14.7
10439,r029,R&D and R&D plant -> R&D -> Ground transportation (401),R&D and R&D plant,R&D,Ground transportation (401),,,3,587,564,689,-3.9,22.2
10439,r030,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,,4,587,564,689,-3.9,22.2
10439,r031,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation -> Federal Highway Administration,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,Federal Highway Administration,5,472,456,515,-3.4,12.9
10439,r032,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation -> Federal Motor Carrier Safety Administration,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,Federal Motor Carrier Safety Administration,5,14,14,38,0.0,171.4
10439,r033,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation -> Federal Railroad Administration,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,Federal Railroad Administration,5,45,45,59,0.0,31.1
10439,r034,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation -> Federal Transit Administration,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,Federal Transit Administration,5,38,30,58,-21.1,93.3
10439,r035,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation -> National Highway Traffic Safety Administration,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,National Highway Traffic Safety Administration,5,18,19,19,5.6,0.0
10439,r036,R&D and R&D plant -> R&D -> Water transportation (403),R&D and R&D plant,R&D,Water transportation (403),,,3,1,1,1,0.0,0.0
10439,r037,R&D and R&D plant -> R&D -> Water transportation (403) -> Department of Transportation,R&D and R&D plant,R&D,Water transportation (403),Department of Transportation,,4,1,1,1,0.0,0.0
10439,r038,R&D and R&D plant -> R&D -> Water transportation (403) -> Department of Transportation -> Coast Guard,R&D and R&D plant,R&D,Water transportation (403),Department of Transportation,Coast Guard,5,1,1,1,0.0,0.0
10439,r039,R&D and R&D plant -> R&D -> Other transportation (407),R&D and R&D plant,R&D,Other transportation (407),,,3,192,114,136,-40.8,19.7
10439,r040,R&D and R&D plant -> R&D -> Other transportation (407) -> Department of Transportation,R&D and R&D plant,R&D,Other transportation (407),Department of Transportation,,4,192,114,136,-40.8,19.7
