table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12571,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,15701,15419,16343,-1.8,6.0
12571,r002,R&D and R&D plant -> Department of Energy,R&D and R&D plant,Department of Energy,,,,2,8090,7724,8222,-4.5,6.4
12571,r003,R&D and R&D plant -> Department of Energy -> Office of Science,R&D and R&D plant,Department of Energy,Office of Science,,,3,8090,7724,8222,-4.5,6.4
12571,r004,R&D and R&D plant -> National Science Foundation,R&D and R&D plant,National Science Foundation,,,,2,7611,7695,8121,1.1,5.5
12571,r005,R&D and R&D plant -> National Science Foundation -> Arctic Research Commission,R&D and R&D plant,National Science Foundation,Arctic Research Commission,,,3,0,0,0,-,-
12571,r006,R&D and R&D plant -> National Science Foundation -> Biological Sciences,R&D and R&D plant,National Science Foundation,Biological Sciences,,,3,794,766,797,-3.5,4.0
12571,r007,R&D and R&D plant -> National Science Foundation -> CHIPS for America Workforce and Education R&D,R&D and R&D plant,National Science Foundation,CHIPS for America Workforce and Education R&D,,,3,16,16,10,0.0,-38.0
12571,r008,R&D and R&D plant -> National Science Foundation -> Computer and Information Science and Engineering,R&D and R&D plant,National Science Foundation,Computer and Information Science and Engineering,,,3,959,974,986,1.5,1.3
12571,r009,R&D and R&D plant -> National Science Foundation -> STEM Education<sup>b</sup>,R&D and R&D plant,National Science Foundation,STEM Education<sup>b</sup>,,,3,523,519,523,-0.8,0.8
12571,r010,R&D and R&D plant -> National Science Foundation -> Engineering,R&D and R&D plant,National Science Foundation,Engineering,,,3,731,722,746,-1.2,3.3
12571,r011,R&D and R&D plant -> National Science Foundation -> Geosciences,R&D and R&D plant,National Science Foundation,Geosciences,,,3,1004,1001,991,-0.4,-0.9
12571,r012,R&D and R&D plant -> National Science Foundation -> Integrative Activities,R&D and R&D plant,National Science Foundation,Integrative Activities,,,3,450,451,479,0.2,6.3
12571,r013,R&D and R&D plant -> National Science Foundation -> International Science and Engineering,R&D and R&D plant,National Science Foundation,International Science and Engineering,,,3,43,63,63,44.1,0.8
12571,r014,R&D and R&D plant -> National Science Foundation -> Major Research Equipment and Facilities and Construction,R&D and R&D plant,National Science Foundation,Major Research Equipment and Facilities and Construction,,,3,160,187,300,17.1,60.2
12571,r015,R&D and R&D plant -> National Science Foundation -> Mathematical and Physical Sciences,R&D and R&D plant,National Science Foundation,Mathematical and Physical Sciences,,,3,1617,1556,1553,-3.7,-0.2
12571,r016,R&D and R&D plant -> National Science Foundation -> Polar Programs,R&D and R&D plant,National Science Foundation,Polar Programs,,,3,442,495,545,12.1,10.2
12571,r017,"R&D and R&D plant -> National Science Foundation -> Social, Behavioral and Economic Sciences",R&D and R&D plant,National Science Foundation,"Social, Behavioral and Economic Sciences",,,3,225,282,296,25.5,4.8
