table_id,row_id,country_industry_sector_full_path,country_industry_sector_level_1,country_industry_sector_level_2,country_industry_sector_level_3,country_industry_sector_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5911,r001,United States,United States,,,1,,,,,,,,,,,,,,,,,,,,,
5911,r002,United States -> Total,United States,Total,,2,2105.21,1002.22,723.31,853.38,969.83,1397.0,2307.87,3124.44,5956.19,3197.48,5565.18,8254.59,9667.53,12201.4,23024.75,31791.38,34437.12,48889.14,88713.11,106479.87,129181.65
5911,r003,United States -> Total -> Business to business,United States,Total,Business to business,3,1285.31,74.47,87.61,120.36,138.54,259.15,541.81,400.78,2371.62,440.46,846.61,1207.41,1400.29,1668.43,2817.37,5252.39,4986.06,8122.15,7634.25,20723.67,14559.57
5911,r004,United States -> Total -> Business to consumer,United States,Total,Business to consumer,3,101.93,39.71,15.57,37.73,49.06,65.1,183.69,496.72,443.02,402.28,710.12,1339.4,1821.71,1843.77,4002.5,4748.59,4663.56,7801.21,27547.64,19718.58,23621.69
5911,r005,United States -> Total -> Energy,United States,Total,Energy,3,1.7,3.3,13.47,25.75,41.51,23.17,184.94,234.55,459.41,226.31,988.9,803.95,740.79,327.8,853.5,915.86,957.56,830.53,1433.16,1480.92,1980.01
5911,r006,United States -> Total -> Financial services,United States,Total,Financial services,3,6.9,13.41,4.45,1.67,NA,24.11,12.34,85.59,76.65,68.35,90.67,145.46,85.83,717.06,1257.4,891.19,2227.3,1731.89,3886.47,6085.72,5969.22
5911,r007,United States -> Total -> Health care,United States,Total,Health care,3,83.74,114.71,205.61,249.31,257.36,434.95,607.79,709.62,1104.42,966.67,1150.98,1697.71,1751.11,2401.06,3705.63,5721.57,6713.19,9588.36,14383.94,17341.35,28414.91
5911,r008,United States -> Total -> Information technology,United States,Total,Information technology,3,622.13,755.82,393.49,411.34,472.14,561.13,764.04,1149.82,1324.31,991.08,1681.33,2724.6,3401.32,4999.43,10110.78,13790.79,14154.67,19692.75,31744.52,39546.18,51788.81
5911,r009,United States -> Total -> Material and resources,United States,Total,Material and resources,3,3.5,0.8,3.11,7.22,11.22,29.39,13.26,47.36,176.76,102.33,96.57,336.06,466.48,243.85,277.57,470.99,734.78,1122.25,2083.13,1583.45,2847.44
5911,r010,China,China,,,1,,,,,,,,,,,,,,,,,,,,,
5911,r011,China -> Total,China,Total,,2,17.51,7.22,5.0,4.41,22.29,120.37,337.52,350.65,776.37,481.19,1289.35,2223.83,1421.05,1541.29,7035.59,23064.85,30274.58,42565.69,74789.34,39821.1,60196.54
5911,r012,China -> Total -> Business to business,China,Total,Business to business,3,9.57,3.61,3.57,3.26,1.38,0.25,73.01,65.99,239.14,310.18,331.32,451.35,209.77,223.97,578.78,3388.08,4000.04,4903.31,8654.7,6347.66,5988.76
5911,r013,China -> Total -> Business to consumer,China,Total,Business to consumer,3,NA,NA,NA,0.01,11.0,37.4,34.53,164.96,186.02,17.43,421.31,877.79,631.96,521.85,2779.67,7280.48,11186.83,17580.65,28559.52,12727.55,17214.27
5911,r014,China -> Total -> Energy,China,Total,Energy,3,NA,0.73,NA,NA,NA,NA,NA,NA,61.46,2.97,33.25,117.6,14.2,42.49,66.59,224.27,111.88,91.41,510.23,418.4,438.05
5911,r015,China -> Total -> Financial services,China,Total,Financial services,3,NA,NA,NA,NA,NA,NA,25.0,5.0,NA,NA,40.0,NA,10.51,41.93,307.66,1337.41,3055.46,1629.6,5107.58,459.23,449.55
5911,r016,China -> Total -> Health care,China,Total,Health care,3,NA,NA,0.13,NA,0.21,0.32,3.24,52.02,45.84,25.96,243.41,175.72,102.01,130.39,700.02,1634.09,2190.31,3563.74,3958.27,5400.48,12068.3
5911,r017,China -> Total -> Information technology,China,Total,Information technology,3,7.94,2.88,1.3,1.14,9.7,81.67,201.74,62.03,128.14,103.04,215.38,584.52,438.81,566.38,2584.15,9094.69,9695.33,14658.99,27874.19,14417.01,23834.28
5911,r018,China -> Total -> Material and resources,China,Total,Material and resources,3,NA,NA,NA,NA,NA,0.73,NA,0.65,115.77,21.61,4.68,16.85,13.79,14.28,18.72,105.83,34.73,137.99,124.85,50.77,203.33
