table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total
2105,r001,Total,Total,,,1,44763
2105,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,17620
2105,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,12913
2105,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,4707
2105,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,2105
2105,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,1524
2105,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,581
2105,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,24945
2105,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,5885
2105,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,19060
2105,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,93
