table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1691,r001,All functions conducting R&D,All functions conducting R&D,,1,36208,39194,34968,8.2,-10.8
1691,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,2381,2659,2459,11.7,-7.5
1691,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,18255,19151,16736,4.9,-12.6
1691,r004,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,9932,10039,9002,1.1,-10.3
1691,r005,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,3281,4939,4481,50.5,-9.3
1691,r006,All functions conducting R&D -> Energy,All functions conducting R&D,Energy,2,50,50,41,0.2,-16.9
1691,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,255,261,212,2.3,-19.0
1691,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,909,933,930,2.6,-0.3
1691,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,0,0,0,--,--
1691,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,530,553,546,4.3,-1.3
1691,r011,All functions conducting R&D -> Commerce and housing credit,All functions conducting R&D,Commerce and housing credit,2,222,222,192,0.0,-13.5
1691,r012,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,57,52,33,-8.8,-36.5
1691,r013,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,335,334,335,-0.3,0.3
1691,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,0,0,0,--,--
1691,r015,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0,0,0,--,--
1691,r016,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,1,1,1,0.0,0.0
1691,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0,0,0,--,--
