table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_d,field_r_d_rank,field_performer_source_of_funds_,field_federal,field_ffrdcs_total,field_ffrdcs_federal,field_ffrdcs_nonfederald,field_business_total,field_business_own,field_business_paid_by_others_nonfederale,field_business_paid_by_others_federal,field_higher_educationa_total,field_higher_educationa_federal,field_higher_educationa_other_government,field_higher_educationa_business,field_higher_educationa_higher_education,field_higher_educationa_npo,field_higher_educationa_other,field_npos_federalf,field_state_internalb_total,field_gdp,field_gdp_rank,field_r_d_intensityc_percent,field_r_d_intensityc_rank
5929,r001,U.S. total<sup>g</sup>,U.S. total<sup>g</sup>,,1,666875,na,,39870,22932,22538,394,498175,433077,42445,22653,78176,39556,4364,4808,21559,5341,2549,8900,675,21372600,na,3.12,na
5929,r002,States total<sup>h</sup>,States total<sup>h</sup>,,1,642004,na,,35658,22738,22339,399,491925,428049,41962,21908,83350,44354,4491,5048,21077,5683,2696,7676,658,21242531,na,3.02,na
5929,r003,States total<sup>h</sup> -> Alabama,States total<sup>h</sup>,Alabama,2,5148,27,,1551,0,0,0,2423,1191,77,1155,1123,634,61,71,308,35,14,43,7,231172,27,2.23,23
5929,r004,States total<sup>h</sup> -> Alaska,States total<sup>h</sup>,Alaska,2,354,50,,120,0,0,0,49,41,5,4,169,109,5,5,44,2,4,7,9,54547,47,0.65,49
5929,r005,States total<sup>h</sup> -> Arizona,States total<sup>h</sup>,Arizona,2,8076,21,,143,38,29,10,6403,4570,726,1106,1434,631,70,41,468,97,128,56,1,369988,20,2.18,24
5929,r006,States total<sup>h</sup> -> Arkansas,States total<sup>h</sup>,Arkansas,2,860,42,,28,0,0,0,461,397,36,28,365,132,69,15,131,9,9,7,0.07,130840,36,0.66,48
5929,r007,States total<sup>h</sup> -> California,States total<sup>h</sup>,California,2,193095,1,,2745,6688,6567,120,171961,158850,8397,4713,10490,5339,428,704,2254,1096,669,1138,73,3052645,1,6.33,4
5929,r008,States total<sup>h</sup> -> Colorado,States total<sup>h</sup>,Colorado,2,9842,15,,1390,654,594,61,6070,5208,264,598,1622,1165,55,86,163,94,59,93,12,392218,16,2.51,17
5929,r009,States total<sup>h</sup> -> Connecticut,States total<sup>h</sup>,Connecticut,2,8885,18,,22,0,0,0,7421,6171,357,892,1387,749,17,87,416,105,15,30,25,288109,23,3.08,13
5929,r010,States total<sup>h</sup> -> Delaware,States total<sup>h</sup>,Delaware,2,2397,34,,4,0,0,0,2156,1436,715,5,229,145,13,6,56,5,5,5,3,77042,43,3.11,12
5929,r011,States total<sup>h</sup> -> District of Columbia,States total<sup>h</sup>,District of Columbia,2,5968,25,,4532,9,9,0,412,277,23,111,665,326,5,23,188,88,34,348,2,144406,34,4.13,7
5929,r012,States total<sup>h</sup> -> Florida,States total<sup>h</sup>,Florida,2,11296,14,,1142,0,0,0,7259,5611,778,870,2686,1237,237,105,912,130,65,159,51,1116435,4,1.01,40
5929,r013,States total<sup>h</sup> -> Georgia,States total<sup>h</sup>,Georgia,2,7823,23,,283,0,0,0,4844,3924,822,97,2668,1492,167,145,726,122,16,24,4,637799,9,1.23,34
5929,r014,States total<sup>h</sup> -> Hawaii,States total<sup>h</sup>,Hawaii,2,647,45,,170,0,0,0,159,86,54,19,301,187,20,2,78,13,2,16,0.05,91781,39,0.7,46
5929,r015,States total<sup>h</sup> -> Idaho,States total<sup>h</sup>,Idaho,2,3391,31,,39,478,464,15,2697,2608,83,6,168,84,41,3,35,2,3,3,7,82420,41,4.11,8
5929,r016,States total<sup>h</sup> -> Illinois,States total<sup>h</sup>,Illinois,2,18254,10,,204,1145,1121,24,14112,13383,655,74,2710,1606,39,179,696,152,38,82,1,890486,5,2.05,27
5929,r017,States total<sup>h</sup> -> Indiana,States total<sup>h</sup>,Indiana,2,9765,16,,151,0,0,0,7952,6895,927,130,1661,699,47,101,635,123,55,1,0.05,381020,18,2.56,16
5929,r018,States total<sup>h</sup> -> Iowa,States total<sup>h</sup>,Iowa,2,4075,28,,69,34,33,0.05,3087,2285,161,641,880,406,50,46,344,31,4,1,3,194323,31,2.1,26
5929,r019,States total<sup>h</sup> -> Kansas,States total<sup>h</sup>,Kansas,2,3518,30,,63,0,0,0,2748,1857,880,11,704,282,76,112,199,33,3,2,1,176739,33,1.99,30
5929,r020,States total<sup>h</sup> -> Kentucky,States total<sup>h</sup>,Kentucky,2,2103,35,,7,0,0,0,1481,939,325,216,611,295,50,19,182,22,43,2,2,216102,28,0.97,43
5929,r021,States total<sup>h</sup> -> Louisiana,States total<sup>h</sup>,Louisiana,2,1554,37,,59,0,0,0,703,534,48,121,778,302,99,70,233,50,24,2,11,254562,24,0.61,51
5929,r022,States total<sup>h</sup> -> Maine,States total<sup>h</sup>,Maine,2,685,44,,4,0,0,0,417,373,30,14,151,64,23,4,52,5,3,110,3,68453,44,1.0,41
5929,r023,States total<sup>h</sup> -> Maryland,States total<sup>h</sup>,Maryland,2,22692,8,,10840,1026,1026,0,5852,4248,563,1042,4629,3599,80,139,555,246,9,344,1,421610,15,5.38,5
5929,r024,States total<sup>h</sup> -> Massachusetts,States total<sup>h</sup>,Massachusetts,2,39315,3,,396,1891,1871,20,30843,25955,3718,1170,4306,2385,42,326,972,427,155,1870,9,593257,12,6.63,3
5929,r025,States total<sup>h</sup> -> Michigan,States total<sup>h</sup>,Michigan,2,24502,6,,198,0,0,0,21283,18918,2127,237,2891,1435,66,135,1091,120,44,129,0.05,531435,14,4.61,6
5929,r026,States total<sup>h</sup> -> Minnesota,States total<sup>h</sup>,Minnesota,2,9436,17,,44,0,0,0,8026,7547,378,101,1061,507,87,52,344,43,26,303,2,383040,17,2.46,18
5929,r027,States total<sup>h</sup> -> Mississippi,States total<sup>h</sup>,Mississippi,2,1120,41,,258,0,0,0,324,276,30,19,536,253,98,13,156,13,3,1,2,114734,37,0.98,42
5929,r028,States total<sup>h</sup> -> Missouri,States total<sup>h</sup>,Missouri,2,7856,22,,142,0,0,0,6344,4150,157,2036,1325,753,11,113,330,104,15,37,8,332273,22,2.36,21
5929,r029,States total<sup>h</sup> -> Montana,States total<sup>h</sup>,Montana,2,543,47,,57,0,0,0,205,176,17,11,273,151,25,3,82,7,6,5,3,51789,49,1.05,39
5929,r030,States total<sup>h</sup> -> Nebraska,States total<sup>h</sup>,Nebraska,2,1421,39,,34,0,0,0,795,735,49,11,572,250,76,30,167,22,27,19,0.05,131352,35,1.08,38
5929,r031,States total<sup>h</sup> -> Nevada,States total<sup>h</sup>,Nevada,2,1342,40,,13,0,0,0,1045,829,183,34,282,108,15,4,142,6,7,1,0.05,181743,32,0.74,45
5929,r032,States total<sup>h</sup> -> New Hampshire,States total<sup>h</sup>,New Hampshire,2,3063,32,,21,0,0,0,2541,1036,171,1333,492,246,6,15,193,26,7,9,0.05,87508,40,3.5,11
5929,r033,States total<sup>h</sup> -> New Jersey,States total<sup>h</sup>,New Jersey,2,23386,7,,1538,91,91,0.05,20390,16648,3547,195,1331,651,95,67,295,122,101,33,3,639437,8,3.66,9
5929,r034,States total<sup>h</sup> -> New Mexico,States total<sup>h</sup>,New Mexico,2,7614,24,,738,5850,5797,53,637,391,43,202,366,241,26,4,71,16,7,22,1,101972,38,7.47,1
5929,r035,States total<sup>h</sup> -> New York,States total<sup>h</sup>,New York,2,28717,5,,161,590,561,29,20180,17968,1453,759,7076,3661,435,488,1656,529,307,433,277,1777752,3,1.62,32
5929,r036,States total<sup>h</sup> -> North Carolina,States total<sup>h</sup>,North Carolina,2,17159,11,,317,0,0,0,13249,9188,3920,140,3388,1945,162,360,670,204,49,186,18,595655,11,2.88,14
5929,r037,States total<sup>h</sup> -> North Dakota,States total<sup>h</sup>,North Dakota,2,643,46,,30,0,0,0,349,340,7,2,263,85,60,13,98,2,6,1,0.05,59005,46,1.09,37
5929,r038,States total<sup>h</sup> -> Ohio,States total<sup>h</sup>,Ohio,2,15687,12,,2289,0,0,0,10642,7087,2789,765,2499,1478,104,229,475,157,55,256,1,693199,7,2.26,22
5929,r039,States total<sup>h</sup> -> Oklahoma,States total<sup>h</sup>,Oklahoma,2,1845,36,,215,0,0,0,1067,956,70,41,534,220,60,38,200,11,5,27,2,203700,29,0.91,44
5929,r040,States total<sup>h</sup> -> Oregon,States total<sup>h</sup>,Oregon,2,8871,19,,72,0,0,0,7890,7606,230,54,864,588,56,45,102,58,15,21,25,246647,25,3.6,10
5929,r041,States total<sup>h</sup> -> Pennsylvania,States total<sup>h</sup>,Pennsylvania,2,20788,9,,381,141,141,0.05,15245,13353,1673,219,4647,2570,102,297,1235,295,148,366,9,799686,6,2.6,15
5929,r042,States total<sup>h</sup> -> Rhode Island,States total<sup>h</sup>,Rhode Island,2,1473,38,,270,0,0,0,715,664,16,36,391,262,17,8,81,16,6,94,3,61319,45,2.4,19
5929,r043,States total<sup>h</sup> -> South Carolina,States total<sup>h</sup>,South Carolina,2,2894,33,,95,176,173,3,1784,1527,171,86,743,355,33,44,266,30,16,67,29,244662,26,1.18,35
5929,r044,States total<sup>h</sup> -> South Dakota,States total<sup>h</sup>,South Dakota,2,347,51,,16,0,0,0,194,170,20,4,118,58,19,3,23,6,11,18,0.05,53940,48,0.64,50
5929,r045,States total<sup>h</sup> -> Tennessee,States total<sup>h</sup>,Tennessee,2,5920,26,,1003,1470,1454,16,1663,1381,228,55,1337,755,36,76,393,56,21,445,2,376917,19,1.57,33
5929,r046,States total<sup>h</sup> -> Texas,States total<sup>h</sup>,Texas,2,30921,4,,889,7,6,1,23906,20916,2219,772,5967,2347,855,436,1610,446,272,148,4,1863954,2,1.66,31
