table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_male,field_worldwide_female,field_domestic_total,field_domestic_male,field_domestic_female,field_foreign_total,field_foreign_male,field_foreign_female
12319,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['3,186', '  ']","['2,232', '  ']","['954', '  ']","['2,110', '  ']","['1,501', '  ']","['609', '  ']","['1,076', '  ']","['731', '  ']","['345', '  ']"
12319,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['1,527', '  ']","['1,087', '  ']","['439', '  ']","['1,008', '  ']","['723', '  ']","['285', '  ']","['518', '  ']","['364', '  ']","['154', '  ']"
12319,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['46', '  ']","['25', '  ']","['21', '  ']","['30', '  ']","['17', '  ']","['13', '  ']","['16', '  ']","['8', 'i ']","['8', '  ']"
12319,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['7', '  ']","['4', '  ']","['3', '  ']","['5', '  ']","['3', '  ']","['2', '  ']","['2', '  ']","['1', '  ']","['1', '  ']"
12319,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['6', '  ']","['4', '  ']","['3', '  ']","['5', '  ']","['3', '  ']","['2', '  ']","['2', '  ']","['1', '  ']","['1', '  ']"
12319,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['4', '  ']","['3', '  ']","['*', '  ']","['4', '  ']","['3', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
12319,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['8', '  ']","['6', '  ']","['2', '  ']","['7', '  ']","['5', '  ']","['2', '  ']","['1', '  ']","['1', '  ']","['1', '  ']"
12319,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['2', '  ']","['1', '  ']","['*', '  ']","['2', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
12319,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['6', '  ']","['4', '  ']","['2', '  ']","['4', '  ']","['3', '  ']","['1', '  ']","['2', '  ']","['1', '  ']","['1', '  ']"
12319,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['302', '  ']","['149', '  ']","['152', '  ']","['217', '  ']","['110', '  ']","['107', '  ']","['85', '  ']","['39', '  ']","['45', '  ']"
12319,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['21', '  ']","['14', '  ']","['7', '  ']","['13', '  ']","['9', '  ']","['4', '  ']","['8', '  ']","['5', '  ']","['3', 'i ']"
12319,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['11', '  ']","['8', '  ']","['3', 'i ']","['7', '  ']","['5', '  ']","['2', 'i ']","['4', '  ']","['3', 'i ']","['1', 'i ']"
