table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_hierarchy_depth,field_all_federal_obligations,field_r_da_total,field_r_da_research,field_r_da_advanced_technology_development,field_r_da_major_systems_development,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
7307,r001,All agencies,All agencies,,,1,39122152.2,36569461.0,na,na,na,400144.6,19753.3,1621880.0,95944.0,414969.3
7307,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,,2,1047286.4,888031.9,na,na,na,0.0,150.0,52931.9,5501.9,100670.6
7307,r003,All agencies -> Department of Commerce,All agencies,Department of Commerce,,2,415665.2,323762.0,na,na,na,0.0,0.0,24975.8,0.0,66927.4
7307,r004,All agencies -> Department of Defense,All agencies,Department of Defense,,2,2751584.8,2731859.8,1231727.4,455334.0,1044798.5,0.0,12603.3,62.4,0.0,7059.3
7307,r005,All agencies -> Department of Defense -> Department of the Air Force,All agencies,Department of Defense,Department of the Air Force,3,690407.2,671105.1,502717.8,112002.1,56385.2,0.0,12242.7,0.0,0.0,7059.3
7307,r006,All agencies -> Department of Defense -> Department of the Army,All agencies,Department of Defense,Department of the Army,3,539640.1,539217.1,441368.9,59671.8,38176.4,0.0,360.6,62.4,0.0,0.0
7307,r007,All agencies -> Department of Defense -> Department of the Navy,All agencies,Department of Defense,Department of the Navy,3,1098303.7,1098303.7,125596.3,31115.0,941592.4,0.0,0.0,0.0,0.0,0.0
7307,r008,All agencies -> Department of Defense -> Other Department of Defense,All agencies,Department of Defense,Other Department of Defense,3,423233.9,423233.9,162044.3,252545.1,8644.5,0.0,0.0,0.0,0.0,0.0
7307,r009,All agencies -> Department of Education,All agencies,Department of Education,,2,208384.5,188181.0,na,na,na,0.0,0.0,7568.6,0.0,12635.0
7307,r010,All agencies -> Department of Energy,All agencies,Department of Energy,,2,1672534.7,1589898.7,na,na,na,40000.0,0.0,42636.0,0.0,0.0
7307,r011,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,,2,24883354.4,23727436.3,na,na,na,55043.1,0.0,1009651.3,89410.1,1813.6
7307,r012,All agencies -> Department of Health and Human Services -> Administration for Community Living,All agencies,Department of Health and Human Services,Administration for Community Living,3,58762.3,54643.8,na,na,na,0.0,0.0,3886.1,232.4,0.0
7307,r013,All agencies -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Department of Health and Human Services,Agency for Healthcare Research and Quality,3,97776.9,97776.9,na,na,na,0.0,0.0,0.0,0.0,0.0
