table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_dhs,field_dot,field_nasa,field_nsf,field_other
4579,r001,All FFRDCs,All FFRDCs,,,1,"['23,133,501', ' ']","['5,136,652', ' ']","['12,148,340', ' ']","['1,058,779', ' ']","['509,718', ' ']","['208,744', ' ']","['2,846,866', ' ']","['319,755', ' ']","['904,647', ' ']"
4579,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['6,867,741', ' ']","['1,146,449', ' ']","['2,507,594', ' ']","['33,981', ' ']","['102,238', ' ']","['36,470', ' ']","['2,664,578', ' ']","['312,015', ' ']","['64,416', ' ']"
4579,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['32,302', '']","['0', '']","['32,054', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['248', '']"
4579,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['840,237', '']","['28,017', '']","['757,376', '']","['5,822', '']","['25,344', '']","['4,191', '']","['269', '']","['2,797', '']","['16,421', '']"
4579,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['299,811', '']","['596', '']","['299,211', '']","['0', '']","['0', '']","['0', '']","['4', '']","['0', '']","['0', '']"
4579,r006,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,638,412', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2,638,412', '']","['0', '']","['0', '']"
4579,r007,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['862,965', '']","['11,442', '']","['819,466', '']","['22,371', '']","['988', '']","['712', '']","['4,069', '']","['0', '']","['3,917', '']"
4579,r008,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,093,081', '']","['1,013,282', '']","['2,521', '']","['0', '']","['29,798', '']","['26,271', '']","['6,769', '']","['0', '']","['14,440', '']"
4579,r009,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['175,316', '']","['5,199', '']","['4,538', '']","['0', '']","['0', '']","['5,095', '']","['11,963', '']","['130,653', '']","['17,868', '']"
4579,r010,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['98,458', '']","['792', '']","['0', '']","['0', '']","['0', '']","['0', '']","['403', '']","['97,263', '']","['0', '']"
