table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_economies_by_income_status,field_2000_fractional_count,field_2000_whole_count,field_2001_fractional_count,field_2001_whole_count,field_2002_fractional_count,field_2002_whole_count,field_2003_fractional_count,field_2003_whole_count,field_2004_fractional_count,field_2004_whole_count,field_2005_fractional_count,field_2005_whole_count,field_2006_fractional_count,field_2006_whole_count,field_2007_fractional_count,field_2007_whole_count,field_2008_fractional_count,field_2008_whole_count,field_2009_fractional_count,field_2009_whole_count,field_2010_fractional_count,field_2010_whole_count,field_2011_fractional_count,field_2011_whole_count,field_2012_fractional_count,field_2012_whole_count,field_2013_fractional_count,field_2013_whole_count,field_2014_fractional_count,field_2014_whole_count,field_2015_fractional_count,field_2015_whole_count,field_2016_fractional_count,field_2016_whole_count,field_2017_fractional_count,field_2017_whole_count,field_2018_fractional_count,field_2018_whole_count
1822,r001,World,World,,,,1,,164779.0,164779,165639.0,165639,169194.0,169194,176054.0,176054,186134.0,186134,192712.0,192712,204907.0,204907,214559.0,214559,224607.0,224607,234833.0,234833,241114.0,241114,257769.0,257769,271142.0,271142,277726.0,277726,290671.0,290671,292274.0,292274,296458.0,296458,300040.0,300040,306053.0,306053
1822,r002,World -> North America,World,North America,,,2,,59625.76,67099,59834.78,66791,60419.44,67610,62074.15,72526,65676.05,76622,65679.67,77103,67466.9,79563,68485.54,81376,68608.32,82254,70144.74,84590,69714.19,84969,73088.53,89786,75798.93,94014,75201.93,94465,76743.38,97046,74934.4,96154,72793.62,94837,71657.65,94871,70059.1,94081
1822,r003,World -> North America -> Canada,World,North America,Canada,,3,High,5660.69,7147,5683.06,7114,5828.05,7341,6065.35,8296,6104.89,8502,6517.63,9117,6925.77,9728,7156.39,10157,7146.19,10168,7394.98,10614,7432.58,10793,7714.42,11343,8170.52,12210,8088.53,12258,8269.7,12620,8119.86,12613,7730.56,12476,7714.0,12514,7449.31,12416
1822,r004,World -> North America -> Greenland,World,North America,Greenland,,3,High,3.95,7,4.78,10,3.3,7,2.64,9,8.17,18,3.13,10,5.17,19,2.73,12,5.95,19,1.1,9,3.3,17,3.2,13,3.84,29,7.3,31,2.78,19,4.72,24,2.97,20,6.02,35,4.73,26
1822,r005,World -> North America -> Mexico,World,North America,Mexico,,3,Upper-middle,840.57,1109,917.9,1143,958.32,1228,1110.96,1517,1236.91,1649,1333.42,1779,1479.05,2001,1564.77,2114,1796.27,2443,1849.17,2493,1911.02,2587,2041.59,2808,2351.56,3158,2446.41,3281,2733.5,3675,2863.94,3851,3022.74,4048,3147.22,4279,3280.35,4447
1822,r006,World -> North America -> United States,World,North America,United States,,3,High,53120.55,60664,53229.04,60129,53629.77,60823,54895.2,65308,58326.08,69264,57825.48,69133,59056.91,71012,59761.66,72476,59659.92,73009,60899.49,74983,60367.28,75226,63329.32,79578,65273.01,82777,64659.69,83147,65737.4,85207,63945.88,84239,62037.36,82997,60790.41,82946,59324.72,82046
1822,r007,World -> Central America and Caribbean,World,Central America and Caribbean,,,2,,383.59,611,416.66,639,403.97,646,463.64,776,479.44,831,523.43,933,576.32,1016,596.12,1128,561.05,1080,610.75,1177,628.05,1188,655.65,1275,665.46,1363,631.57,1335,737.5,1543,616.95,1443,589.21,1430,642.73,1549,566.72,1419
1822,r008,World -> Central America and Caribbean -> Antigua and Barbuda,World,Central America and Caribbean,Antigua and Barbuda,,3,High,0.0,0,0.0,0,0.08,1,0.0,0,0.0,0,0.47,3,0.11,1,0.25,1,1.56,3,0.0,0,0.18,1,0.18,2,0.75,4,0.0,0,0.25,2,0.72,2,0.27,2,0.5,1,0.7,2
1822,r009,"World -> Central America and Caribbean -> Bahamas, The",World,Central America and Caribbean,"Bahamas, The",,3,High,0.0,0,0.08,2,0.0,0,0.0,0,0.53,2,0.8,2,0.0,0,0.65,2,1.15,5,0.69,3,0.17,1,1.37,3,1.61,7,2.02,10,3.42,12,1.6,7,1.96,7,3.85,21,4.19,16
1822,r010,World -> Central America and Caribbean -> Barbados,World,Central America and Caribbean,Barbados,,3,High,4.75,7,2.8,7,4.86,11,3.75,11,2.38,8,3.45,9,6.48,10,6.57,9,11.11,17,1.64,10,2.67,8,4.23,13,1.09,5,2.24,9,4.08,14,5.83,13,5.13,17,2.78,9,5.47,10
