table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015
788,r001,All business activities,All business activities,,1,21100–81000,"['328,040', '&nbsp;']","['311,170', '&nbsp;']","['316,262', '&nbsp;']","['336,629', '&nbsp;']","['352,951', '&nbsp;']","['376,974', '&nbsp;']","['399,656', '&nbsp;']","['412,345', '&nbsp;']"
788,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['1,215', '&nbsp;']","['1,223', '&nbsp;']","['1,268', '&nbsp;']","['1,379', '&nbsp;']","['D', '&nbsp;']","['1,487', '&nbsp;']","['1,308', '&nbsp;']","['1,486', '&nbsp;']"
788,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['NA', '&nbsp;']","['D', '&nbsp;']","['75', '&nbsp;']","['128', '&nbsp;']","['92', '&nbsp;']","['114', '&nbsp;']","['56', '&nbsp;']","['71', '&nbsp;']"
788,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['NA', '&nbsp;']","['993', '&nbsp;']","['1,638', '&nbsp;']","['1,386', '&nbsp;']","['1,814', '&nbsp;']","['1,749', '&nbsp;']","['1,995', '&nbsp;']","['1,833', '&nbsp;']"
788,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['NA', '&nbsp;']","['1,607', '&nbsp;']","['903', '&nbsp;']","['639', '&nbsp;']","['686', '&nbsp;']","['615', '&nbsp;']","['549', '&nbsp;']","['725', '&nbsp;']"
788,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['NA', '&nbsp;']","['198', '&nbsp;']","['918', '&nbsp;']","['269', '&nbsp;']","['393', 'i']","['307', '&nbsp;']","['297', '&nbsp;']","['699', '&nbsp;']"
788,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['2,983', '&nbsp;']","['4,039', '&nbsp;']","['4,478', '&nbsp;']","['4,970', '&nbsp;']","['4,635', '&nbsp;']","['7,028', '&nbsp;']","['6,842', '&nbsp;']","['6,407', '&nbsp;']"
788,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['605', '&nbsp;']","['564', '&nbsp;']","['926', '&nbsp;']","['668', '&nbsp;']","['641', '&nbsp;']","['772', '&nbsp;']","['753', '&nbsp;']","['724', '&nbsp;']"
788,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['D', '&nbsp;']","['792', '&nbsp;']","['800', '&nbsp;']","['717', '&nbsp;']","['662', '&nbsp;']","['668', '&nbsp;']","['672', '&nbsp;']","['681', '&nbsp;']"
788,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['NA', '&nbsp;']","['673', '&nbsp;']","['658', '&nbsp;']","['712', '&nbsp;']","['759', '&nbsp;']","['787', '&nbsp;']","['780', '&nbsp;']","['840', '&nbsp;']"
788,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['264', '&nbsp;']","['304', '&nbsp;']","['239', '&nbsp;']","['208', '&nbsp;']","['D', '&nbsp;']","['244', '&nbsp;']","['336', 'i']","['251', '&nbsp;']"
788,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,130', '&nbsp;']","['1,144', '&nbsp;']","['1,231', '&nbsp;']","['1,156', '&nbsp;']","['1,362', '&nbsp;']","['1,588', '&nbsp;']","['1,614', '&nbsp;']","['1,429', '&nbsp;']"
788,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['297', '&nbsp;']","['241', '&nbsp;']","['244', '&nbsp;']","['265', '&nbsp;']","['356', 'i']","['391', '&nbsp;']","['390', '&nbsp;']","['321', '&nbsp;']"
788,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['NA', '&nbsp;']","['NA', '&nbsp;']","['708', '&nbsp;']","['591', '&nbsp;']","['807', '&nbsp;']","['558', '&nbsp;']","['617', '&nbsp;']","['526', '&nbsp;']"
788,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['NA', '&nbsp;']","['NA', '&nbsp;']","['35', '&nbsp;']","['39', '&nbsp;']","['45', '&nbsp;']","['123', '&nbsp;']","['78', '&nbsp;']","['75', '&nbsp;']"
788,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['NA', '&nbsp;']","['NA', '&nbsp;']","['403', '&nbsp;']","['415', '&nbsp;']","['382', '&nbsp;']","['488', '&nbsp;']","['460', 'i']","['416', '&nbsp;']"
788,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['3,806', '&nbsp;']","['2,978', '&nbsp;']","['3,133', '&nbsp;']","['3,614', '&nbsp;']","['4,271', '&nbsp;']","['4,136', '&nbsp;']","['4,036', '&nbsp;']","['3,506', '&nbsp;']"
