table_id,row_id,supervisory_status_sex_ethnicity_race_and_disability_status_full_path,supervisory_status_sex_ethnicity_race_and_disability_status_level_1,supervisory_status_sex_ethnicity_race_and_disability_status_level_2,supervisory_status_sex_ethnicity_race_and_disability_status_level_3,supervisory_status_sex_ethnicity_race_and_disability_status_level_4,supervisory_status_sex_ethnicity_race_and_disability_status_hierarchy_depth,field_age_years_75_and_younger,field_age_years_younger_than_35,field_age_years_35_44,field_age_years_45_54,field_age_years_55_75
3306,r001,Total,Total,,,,1,2902000,700000,782000,701000,720000
3306,r002,Total -> Supervisors,Total,Supervisors,,,2,1129000,219000,314000,296000,300000
3306,r003,Total -> Nonsupervisors,Total,Nonsupervisors,,,2,1773000,481000,468000,405000,420000
3306,r004,Total -> Supervisors (%),Total,Supervisors (%),,,2,38.9,31.3,40.1,42.3,41.7
3306,r005,Total -> Female,Total,Female,,,2,1342000,336000,423000,297000,286000
3306,r006,Total -> Female -> Supervisors,Total,Female,Supervisors,,3,450000,99000,142000,113000,96000
3306,r007,Total -> Female -> Nonsupervisors,Total,Female,Nonsupervisors,,3,892000,237000,281000,184000,190000
3306,r008,Total -> Female -> Supervisors (%),Total,Female,Supervisors (%),,3,33.5,29.5,33.5,38.0,33.6
3306,r009,Total -> Male,Total,Male,,,2,1560000,364000,359000,404000,434000
3306,r010,Total -> Male -> Supervisors,Total,Male,Supervisors,,3,679000,120000,172000,183000,204000
3306,r011,Total -> Male -> Nonsupervisors,Total,Male,Nonsupervisors,,3,881000,244000,187000,220000,230000
3306,r012,Total -> Male -> Supervisors (%),Total,Male,Supervisors (%),,3,43.5,33.0,47.9,45.4,47.0
3306,r013,Total -> Hispanic or Latino<sup>a</sup>,Total,Hispanic or Latino<sup>a</sup>,,,2,352000,125000,89000,85000,53000
3306,r014,Total -> Hispanic or Latino<sup>a</sup> -> Supervisors,Total,Hispanic or Latino<sup>a</sup>,Supervisors,,3,138000,41000,33000,41000,23000
3306,r015,Total -> Hispanic or Latino<sup>a</sup> -> Nonsupervisors,Total,Hispanic or Latino<sup>a</sup>,Nonsupervisors,,3,214000,83000,56000,45000,30000
3306,r016,Total -> Hispanic or Latino<sup>a</sup> -> Supervisors (%),Total,Hispanic or Latino<sup>a</sup>,Supervisors (%),,3,39.3,33.1,37.6,47.5,43.5
