table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10411,r096,All HHE institutions -> Texas A&M International U.,All HHE institutions,Texas A&M International U.,2,95,1034,0,0,0,0,0,0,0,0,541,0,493,0,0
10411,r097,All HHE institutions -> U. Texas of the Permian Basin,All HHE institutions,U. Texas of the Permian Basin,2,96,1026,0,0,292,0,0,0,250,0,484,0,0,0,0
10411,r098,"All HHE institutions -> California State U., Stanislaus",All HHE institutions,"California State U., Stanislaus",2,97,1015,0,0,0,0,186,0,0,0,100,0,454,275,0
10411,r099,All HHE institutions -> Universidad Central del Caribe,All HHE institutions,Universidad Central del Caribe,2,98,1014,0,0,0,0,0,0,0,0,1014,0,0,0,0
10411,r100,"All HHE institutions -> Los Angeles Community C. District, Los Angeles Valley C.",All HHE institutions,"Los Angeles Community C. District, Los Angeles Valley C.",2,99,1000,0,0,0,0,0,0,0,0,0,0,1000,0,0
10411,r101,All HHE institutions -> Fairleigh Dickinson U.<sup>b</sup>,All HHE institutions,Fairleigh Dickinson U.<sup>b</sup>,2,100,1000,0,0,0,0,0,0,0,0,0,0,1000,0,0
10411,r102,"All HHE institutions -> CUNY, Queensborough Community C.",All HHE institutions,"CUNY, Queensborough Community C.",2,101,977,0,0,0,0,0,0,0,0,319,0,658,0,0
10411,r103,All HHE institutions -> Holyoke Community C.,All HHE institutions,Holyoke Community C.,2,102,956,0,0,0,0,0,0,0,0,0,0,956,0,0
10411,r104,"All HHE institutions -> U. St. Thomas, Houston",All HHE institutions,"U. St. Thomas, Houston",2,103,952,0,0,0,0,0,0,250,0,0,0,702,0,0
10411,r105,"All HHE institutions -> York C., City U. New York",All HHE institutions,"York C., City U. New York",2,104,870,0,0,0,0,0,0,0,0,123,0,747,0,0
10411,r106,All HHE institutions -> Rush U.<sup>b</sup>,All HHE institutions,Rush U.<sup>b</sup>,2,105,800,0,0,0,0,0,0,0,0,800,0,0,0,0
10411,r107,All HHE institutions -> Sonoma State U.,All HHE institutions,Sonoma State U.,2,106,793,0,0,0,0,0,0,0,0,0,431,362,0,0
10411,r108,All HHE institutions -> National Louis U.,All HHE institutions,National Louis U.,2,107,789,0,0,0,0,0,0,0,0,0,0,789,0,0
10411,r109,All HHE institutions -> Alamo Colleges District<sup>b</sup>,All HHE institutions,Alamo Colleges District<sup>b</sup>,2,108,775,0,0,0,0,0,0,0,0,0,0,775,0,0
10411,r110,"All HHE institutions -> CUNY, Graduate Center",All HHE institutions,"CUNY, Graduate Center",2,109,769,0,0,0,0,0,0,0,0,32,0,737,0,0
10411,r111,All HHE institutions -> Saint Peter's U.,All HHE institutions,Saint Peter's U.,2,110,750,0,0,0,0,0,0,0,0,0,0,750,0,0
10411,r112,All HHE institutions -> City C. San Francisco<sup>b</sup>,All HHE institutions,City C. San Francisco<sup>b</sup>,2,111,709,0,0,0,0,0,0,0,0,0,0,709,0,0
10411,r113,All HHE institutions -> Dominican U.,All HHE institutions,Dominican U.,2,112,704,0,0,0,0,0,0,0,0,480,0,224,0,0
10411,r114,All HHE institutions -> Pontifical Catholic U. Puerto Rico,All HHE institutions,Pontifical Catholic U. Puerto Rico,2,113,700,500,0,0,0,0,0,0,0,0,0,200,0,0
10411,r115,All HHE institutions -> Indian River State C.,All HHE institutions,Indian River State C.,2,114,685,0,0,0,0,0,0,0,0,0,0,685,0,0
10411,r116,All HHE institutions -> Dalton State C.,All HHE institutions,Dalton State C.,2,115,655,0,0,0,0,0,0,0,0,0,0,655,0,0
10411,r117,All HHE institutions -> Our Lady of the Lake U.,All HHE institutions,Our Lady of the Lake U.,2,116,650,0,0,0,0,0,0,0,0,0,0,650,0,0
10411,r118,All HHE institutions -> Community C. Denver<sup>b</sup>,All HHE institutions,Community C. Denver<sup>b</sup>,2,117,650,0,0,0,0,0,0,0,0,0,0,650,0,0
10411,r119,"All HHE institutions -> Universidad Ana G. Mendez, Gurabo Campus",All HHE institutions,"Universidad Ana G. Mendez, Gurabo Campus",2,118,532,0,0,0,0,0,0,250,0,203,0,79,0,0
10411,r120,All HHE institutions -> Inter American U. Puerto Rico<sup>b</sup>,All HHE institutions,Inter American U. Puerto Rico<sup>b</sup>,2,119,531,0,0,0,0,0,0,181,0,350,0,0,0,0
10411,r121,"All HHE institutions -> Los Angeles Community C. District, Pierce C.",All HHE institutions,"Los Angeles Community C. District, Pierce C.",2,120,520,0,0,0,0,0,0,0,0,0,0,520,0,0
10411,r122,"All HHE institutions -> Los Angeles Community C. District, Los Angeles Mission C.",All HHE institutions,"Los Angeles Community C. District, Los Angeles Mission C.",2,121,509,0,0,0,0,0,0,0,0,0,0,509,0,0
10411,r123,All HHE institutions -> Alverno C.,All HHE institutions,Alverno C.,2,122,500,0,0,0,0,0,0,0,0,0,0,500,0,0
10411,r124,"All HHE institutions -> West Hills Community C. District, Coalinga",All HHE institutions,"West Hills Community C. District, Coalinga",2,123,497,0,0,0,0,0,0,0,0,0,0,497,0,0
10411,r125,All HHE institutions -> Yakima Valley C.,All HHE institutions,Yakima Valley C.,2,124,497,0,0,0,0,0,0,0,0,0,0,497,0,0
10411,r126,All HHE institutions -> U. La Verne,All HHE institutions,U. La Verne,2,125,466,0,0,0,0,0,0,0,0,0,78,388,0,0
10411,r127,"All HHE institutions -> California State U., Sacramento<sup>b</sup>",All HHE institutions,"California State U., Sacramento<sup>b</sup>",2,126,465,0,0,0,0,0,0,0,0,465,0,0,0,0
10411,r128,All HHE institutions -> Saint Mary's C. California,All HHE institutions,Saint Mary's C. California,2,127,436,0,0,0,0,0,0,0,0,0,0,436,0,0
10411,r129,All HHE institutions -> New Jersey City U.,All HHE institutions,New Jersey City U.,2,128,434,0,0,0,0,0,0,0,0,0,0,434,0,0
10411,r130,All HHE institutions -> North Park U.,All HHE institutions,North Park U.,2,129,413,0,0,0,0,0,0,0,0,0,0,413,0,0
10411,r131,"All HHE institutions -> Peralta Community C., C. Alameda",All HHE institutions,"Peralta Community C., C. Alameda",2,130,399,0,0,0,0,0,0,0,0,0,0,399,0,0
10411,r132,All HHE institutions -> Austin Community C. District,All HHE institutions,Austin Community C. District,2,131,386,0,0,0,0,0,0,0,0,0,0,386,0,0
10411,r133,All HHE institutions -> State U. New York at Old Westbury,All HHE institutions,State U. New York at Old Westbury,2,132,370,0,0,0,0,0,0,0,0,0,0,370,0,0
