table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_by_others_and_performed_by_the_company,field_depreciation,field_capital_expenditures_related_to_r_da,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
8788,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['61,065', '  ']","['1,578', '  ']","['0', '&nbsp;']","['59,487', '&nbsp;']","['-1,578', '&nbsp;']","['-2.6', '&nbsp;']"
8788,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['41,072', '  ']","['1,055', '  ']","['0', '&nbsp;']","['40,017', 'i']","['-1,055', '&nbsp;']","['-2.6', '&nbsp;']"
8788,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['244', '  ']","['10', '  ']","['0', '&nbsp;']","['235', '&nbsp;']","['-10', '&nbsp;']","['-3.9', '&nbsp;']"
8788,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['107', '  ']","['9', '  ']","['0', '&nbsp;']","['98', '&nbsp;']","['-9', '&nbsp;']","['-8.5', '&nbsp;']"
8788,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['1', '  ']","['*', 'i ']","['0', '&nbsp;']","['1', 'i']","['*', 'i']","['-3.1', '&nbsp;']"
8788,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['5', '  ']","['*', '  ']","['0', '&nbsp;']","['5', '&nbsp;']","['*', '&nbsp;']","['-2.0', '&nbsp;']"
8788,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['29', '  ']","['1', '  ']","['0', '&nbsp;']","['29', '&nbsp;']","['-1', '&nbsp;']","['-2.3', '&nbsp;']"
8788,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['11', '  ']","['*', 'i ']","['0', '&nbsp;']","['11', '&nbsp;']","['*', 'i']","['-1.1', '&nbsp;']"
8788,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['15', '  ']","['0 - 5', '  ']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
8788,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['11,692', '  ']","['551', '  ']","['0', '&nbsp;']","['11,141', '&nbsp;']","['-551', 'i']","['-4.7', '&nbsp;']"
8788,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['181', '  ']","['10', '  ']","['0', '&nbsp;']","['170', 'i']","['-10', 'i']","['-5.6', '&nbsp;']"
8788,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['16', '  ']","['1', '  ']","['0', '&nbsp;']","['15', '&nbsp;']","['-1', '&nbsp;']","['-5.1', '&nbsp;']"
8788,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['284 - 383', '  ']","['0 - 25', '  ']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
8788,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['10,973', '  ']","['510', '  ']","['0', '&nbsp;']","['10,463', '&nbsp;']","['-510', 'i']","['-4.6', '&nbsp;']"
8788,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['118 - 213', '  ']","['8', '  ']","['0', '&nbsp;']","['D', '&nbsp;']","['-8', '&nbsp;']","['D', '&nbsp;']"
8788,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['23', '  ']","['0 - 23', '  ']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
8788,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['117', '  ']","['1', '  ']","['0', '&nbsp;']","['116', '&nbsp;']","['-1', '&nbsp;']","['-0.7', '&nbsp;']"
8788,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['30', 'i ']","['*', '  ']","['0', '&nbsp;']","['30', 'i']","['*', '&nbsp;']","['-1.3', '&nbsp;']"
8788,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['8', '  ']","['*', 'i ']","['0', '&nbsp;']","['8', '&nbsp;']","['*', 'i']","['-0.3', '&nbsp;']"
8788,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['107', '  ']","['*', 'i ']","['0', '&nbsp;']","['107', '&nbsp;']","['*', 'i']","['-0.1', '&nbsp;']"
8788,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['940', '  ']","['44', '  ']","['0', '&nbsp;']","['896', '&nbsp;']","['-44', '&nbsp;']","['-4.7', '&nbsp;']"
8788,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['59', 'i ']","['4', 'i ']","['0', '&nbsp;']","['55', 'i']","['-4', 'i']","['-6.3', '&nbsp;']"
8788,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['465', '  ']","['35', '  ']","['0', '&nbsp;']","['430', '&nbsp;']","['-35', '&nbsp;']","['-7.6', '&nbsp;']"
8788,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['159', '  ']","['*', '  ']","['0', '&nbsp;']","['159', '&nbsp;']","['*', '&nbsp;']","['-0.1', '&nbsp;']"
8788,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['257', '  ']","['5', '  ']","['0', '&nbsp;']","['252', '&nbsp;']","['-5', '&nbsp;']","['-1.9', '&nbsp;']"
8788,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,633', '  ']","['222', '  ']","['0', '&nbsp;']","['8,410', '&nbsp;']","['-222', '&nbsp;']","['-2.6', '&nbsp;']"
8788,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['1,715', 'i ']","['31', 'i ']","['0', '&nbsp;']","['1,683', 'i']","['-31', 'i']","['-1.8', '&nbsp;']"
8788,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['2,289', '  ']","['117', '  ']","['0', '&nbsp;']","['2,172', '&nbsp;']","['-117', '&nbsp;']","['-5.1', '&nbsp;']"
8788,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['4,420', '  ']","['65', '  ']","['0', '&nbsp;']","['4,354', '&nbsp;']","['-65', '&nbsp;']","['-1.5', '&nbsp;']"
8788,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['150', '  ']","['2', '  ']","['0', '&nbsp;']","['148', '&nbsp;']","['-2', '&nbsp;']","['-1.1', '&nbsp;']"
8788,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['4,083', '  ']","['58', '  ']","['0', '&nbsp;']","['4,024', '&nbsp;']","['-58', '&nbsp;']","['-1.4', '&nbsp;']"
