table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3359,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,10133,13482,12704,33.1,-5.8
3359,r002,R&D and R&D plant -> National Aeronautics and Space Administration,R&D and R&D plant,National Aeronautics and Space Administration,,,,2,10133,13482,12704,33.1,-5.8
3359,r003,"R&D and R&D plant -> National Aeronautics and Space Administration -> Safety, security, and mission services",R&D and R&D plant,National Aeronautics and Space Administration,"Safety, security, and mission services",,,3,272,237,245,-12.9,3.4
3359,r004,R&D and R&D plant -> National Aeronautics and Space Administration -> Deep Space Exploration Systems,R&D and R&D plant,National Aeronautics and Space Administration,Deep Space Exploration Systems,,,3,1288,3576,3139,177.6,-12.2
3359,r005,R&D and R&D plant -> National Aeronautics and Space Administration -> Deep Space Exploration Systems -> Exploration R&D,R&D and R&D plant,National Aeronautics and Space Administration,Deep Space Exploration Systems,Exploration R&D,,4,NA,NA,NA,--,--
3359,r006,R&D and R&D plant -> National Aeronautics and Space Administration -> Deep Space Exploration Systems -> Exploration systems development,R&D and R&D plant,National Aeronautics and Space Administration,Deep Space Exploration Systems,Exploration systems development,,4,NA,NA,NA,--,--
3359,r007,R&D and R&D plant -> National Aeronautics and Space Administration -> Science,R&D and R&D plant,National Aeronautics and Space Administration,Science,,,3,6154,7019,6261,14.1,-10.8
3359,r008,R&D and R&D plant -> National Aeronautics and Space Administration -> Science -> Astrophysics,R&D and R&D plant,National Aeronautics and Space Administration,Science,Astrophysics,,4,NA,NA,NA,--,--
3359,r009,R&D and R&D plant -> National Aeronautics and Space Administration -> Science -> Earth science,R&D and R&D plant,National Aeronautics and Space Administration,Science,Earth science,,4,NA,NA,NA,--,--
3359,r010,R&D and R&D plant -> National Aeronautics and Space Administration -> Science -> Heliophysics,R&D and R&D plant,National Aeronautics and Space Administration,Science,Heliophysics,,4,NA,NA,NA,--,--
3359,r011,R&D and R&D plant -> National Aeronautics and Space Administration -> Science -> James Webb Space Telescope,R&D and R&D plant,National Aeronautics and Space Administration,Science,James Webb Space Telescope,,4,NA,NA,NA,--,--
