table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_federal_number,field_federal_percent,field_institutional_number,field_institutional_percent,field_nonfederal_domestic_number,field_nonfederal_domestic_percent,field_foreign_number,field_foreign_percent,field_self_support_number,field_self_support_percent
10684,r001,All graduate students,All graduate students,,,,1,579301,81773,14.1,229892,39.7,20206,3.5,3131,0.5,244299,42.2
10684,r002,All graduate students -> Science,All graduate students,Science,,,2,392192,52774,13.5,164710,42.0,11590,3.0,1701,0.4,161417,41.2
10684,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,8035,1907,23.7,3941,49.0,813,10.1,50,0.6,1324,16.5
10684,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,83617,21244,25.4,37901,45.3,3736,4.5,360,0.4,20376,24.4
10684,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,101252,6323,6.2,25106,24.8,1800,1.8,350,0.3,67673,66.8
10684,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,9747,2726,28.0,5203,53.4,475,4.9,90,0.9,1253,12.9
10684,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,26598,1572,5.9,13517,50.8,381,1.4,133,0.5,10995,41.3
10684,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary sciences,All graduate students,Science,Multidisciplinary and interdisciplinary sciences,,3,13048,944,7.2,4097,31.4,316,2.4,50,0.4,7641,58.6
10684,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,9161,1635,17.8,4027,44.0,456,5.0,35,0.4,3008,32.8
10684,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,39012,10516,27.0,23810,61.0,1566,4.0,223,0.6,2897,7.4
