table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
5605,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    12,975 ', '&nbsp;']","['    6,467,338 ', '&nbsp;']","['    7,843 ', '&nbsp;']","['    2,644,204 ', '&nbsp;']","['    5,133 ', '&nbsp;']","['    3,823,134 ', '&nbsp;']"
5605,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    1,889 ', '&nbsp;']","['    702,414 ', '&nbsp;']","['    1,006 ', '&nbsp;']","['    283,315 ', '&nbsp;']","['    884 ', '&nbsp;']","['    419,098 ', '&nbsp;']"
5605,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5605,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    10 ', '&nbsp;']","['    1,147 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5605,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5605,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5605,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5605,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5605,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['    274 ', '&nbsp;']","['    149,323 ', '&nbsp;']","['    136 ', '&nbsp;']","['    59,785 ', '&nbsp;']","['    139 ', '&nbsp;']","['    89,538 ', '&nbsp;']"
5605,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['    165 ', '&nbsp;']","['    116,392 ', '&nbsp;']","['    83 ', '&nbsp;']","['    34,982 ', '&nbsp;']","['    83 ', '&nbsp;']","['    81,410 ', '&nbsp;']"
5605,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['    110 ', '&nbsp;']","['    32,931 ', '&nbsp;']","['    54 ', '&nbsp;']","['    24,803 ', 'r']","['    55 ', '&nbsp;']","['    8,128 ', '&nbsp;']"
5605,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5605,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    15 ', 'r']","['    5,500 ', 'r']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5605,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5605,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    18 ', 'r']","['    2,929 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5605,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    135 ', '&nbsp;']","['    51,732 ', '&nbsp;']","['    103 ', 'r']","['    21,535 ', 'r']","['    32 ', '&nbsp;']","['    30,197 ', 'r']"
5605,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    998 ', '&nbsp;']","['    349,148 ', '&nbsp;']","['    436 ', '&nbsp;']","['    101,257 ', '&nbsp;']","['    564 ', '&nbsp;']","['    247,891 ', '&nbsp;']"
5605,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['    201 ', '&nbsp;']","['    71,181 ', '&nbsp;']","['    81 ', '&nbsp;']","['    19,253 ', '&nbsp;']","['    121 ', '&nbsp;']","['    51,928 ', '&nbsp;']"
5605,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['    533 ', '&nbsp;']","['    226,247 ', '&nbsp;']","['    245 ', '&nbsp;']","['    63,345 ', '&nbsp;']","['    286 ', '&nbsp;']","['    162,902 ', '&nbsp;']"
5605,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['    266 ', '&nbsp;']","['    51,720 ', '&nbsp;']","['    111 ', '&nbsp;']","['    18,660 ', '&nbsp;']","['    157 ', '&nbsp;']","['    33,060 ', '&nbsp;']"
5605,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    173 ', '&nbsp;']","['    32,218 ', '&nbsp;']","['    112 ', '&nbsp;']","['    13,087 ', '&nbsp;']","['    62 ', '&nbsp;']","['    19,131 ', 'r']"
5605,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    41 ', '&nbsp;']","['    14,537 ', '&nbsp;']","['    26 ', '&nbsp;']","['    6,596 ', '&nbsp;']","['    14 ', '&nbsp;']","['    7,940 ', '&nbsp;']"
5605,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['    33 ', '&nbsp;']","['    11,210 ', '&nbsp;']","['    20 ', '&nbsp;']","['    4,183 ', '&nbsp;']","['    12 ', '&nbsp;']","['    7,027 ', '&nbsp;']"
5605,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5605,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5605,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    212 ', '&nbsp;']","['    91,811 ', '&nbsp;']","['    162 ', '&nbsp;']","['    74,866 ', '&nbsp;']","['    51 ', '&nbsp;']","['    16,944 ', '&nbsp;']"
5605,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    11,085 ', '&nbsp;']","['    5,764,924 ', '&nbsp;']","['    6,836 ', '&nbsp;']","['    2,360,889 ', '&nbsp;']","['    4,248 ', '&nbsp;']","['    3,404,035 ', '&nbsp;']"
5605,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    505 ', '&nbsp;']","['    232,405 ', '&nbsp;']","['    185 ', '&nbsp;']","['    91,329 ', '&nbsp;']","['    320 ', '&nbsp;']","['    141,077 ', '&nbsp;']"
5605,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    1,801 ', '&nbsp;']","['    660,724 ', '&nbsp;']","['    908 ', '&nbsp;']","['    249,646 ', '&nbsp;']","['    894 ', '&nbsp;']","['    411,078 ', '&nbsp;']"
5605,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    1,268 ', '&nbsp;']","['    497,414 ', '&nbsp;']","['    612 ', '&nbsp;']","['    193,662 ', '&nbsp;']","['    656 ', '&nbsp;']","['    303,751 ', '&nbsp;']"
5605,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,"51, excluding 5112","['    534 ', '&nbsp;']","['    163,311 ', '&nbsp;']","['    296 ', '&nbsp;']","['    55,983 ', '&nbsp;']","['    237 ', '&nbsp;']","['    107,327 ', '&nbsp;']"
5605,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    1,256 ', '&nbsp;']","['    488,940 ', '&nbsp;']","['    888 ', '&nbsp;']","['    270,447 ', '&nbsp;']","['    369 ', '&nbsp;']","['    218,493 ', '&nbsp;']"
5605,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    4,639 ', '&nbsp;']","['    1,311,905 ', '&nbsp;']","['    3,013 ', '&nbsp;']","['    566,128 ', '&nbsp;']","['    1,625 ', '&nbsp;']","['    745,776 ', '&nbsp;']"
