table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_level_5,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_design,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
7772,r001,All degree levels,All degree levels,,,,,1,51764000,2911000,1468000,22217000,3893000,6634000,14640000
7772,r002,All degree levels -> S&E occupations,All degree levels,S&E occupations,,,,2,7894000,2224000,769000,1629000,1834000,428000,1009000
7772,r003,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",,,3,794000,10000,7000,125000,490000,67000,94000
7772,r004,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,,4,74000,,,13000,48000,,12000
7772,r005,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,,4,572000,10000,6000,86000,390000,8000,72000
7772,r006,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,,4,45000,,0.05,19000,17000,,8000
7772,r007,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,,4,103000,,,6000,36000,59000,S
7772,r008,All degree levels -> S&E occupations -> Computer and mathematical scientists,All degree levels,S&E occupations,Computer and mathematical scientists,,,3,4031000,2077000,244000,722000,507000,125000,357000
7772,r009,All degree levels -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All degree levels,S&E occupations,Computer and mathematical scientists,Computer and information scientists,,4,3627000,2024000,212000,651000,385000,33000,323000
7772,r010,All degree levels -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All degree levels,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,4,293000,51000,32000,65000,104000,S,34000
7772,r011,All degree levels -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All degree levels,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,,4,111000,2000,,5000,17000,86000,
7772,r012,All degree levels -> S&E occupations -> Physical and related scientists,All degree levels,S&E occupations,Physical and related scientists,,,3,408000,9000,6000,65000,199000,59000,70000
7772,r013,"All degree levels -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All degree levels,S&E occupations,Physical and related scientists,"Chemists, except biochemists",,4,114000,S,1000,18000,60000,1000,32000
7772,r014,"All degree levels -> S&E occupations -> Physical and related scientists -> Earth, atmospheric, and ocean scientists",All degree levels,S&E occupations,Physical and related scientists,"Earth, atmospheric, and ocean scientists",,4,91000,3000,S,19000,49000,,18000
7772,r015,All degree levels -> S&E occupations -> Physical and related scientists -> Physicists,All degree levels,S&E occupations,Physical and related scientists,Physicists,,4,41000,2000,1000,S,33000,,3000
7772,r016,"All degree levels -> S&E occupations -> Physical and related scientists -> Other physical and related scientists, including astronomers",All degree levels,S&E occupations,Physical and related scientists,"Other physical and related scientists, including astronomers",,4,82000,S,2000,22000,39000,,17000
7772,r017,All degree levels -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All degree levels,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,,4,80000,,,4000,18000,57000,S
7772,r018,All degree levels -> S&E occupations -> Social and related scientists,All degree levels,S&E occupations,Social and related scientists,,,3,712000,13000,9000,110000,197000,138000,245000
7772,r019,All degree levels -> S&E occupations -> Social and related scientists -> Economists,All degree levels,S&E occupations,Social and related scientists,Economists,,4,47000,S,1000,8000,23000,,8000
7772,r020,All degree levels -> S&E occupations -> Social and related scientists -> Political scientists,All degree levels,S&E occupations,Social and related scientists,Political scientists,,4,39000,,,15000,11000,,12000
7772,r021,All degree levels -> S&E occupations -> Social and related scientists -> Psychologists,All degree levels,S&E occupations,Social and related scientists,Psychologists,,4,233000,,,21000,24000,2000,183000
7772,r022,All degree levels -> S&E occupations -> Social and related scientists -> Anthropologists,All degree levels,S&E occupations,Social and related scientists,Anthropologists,,4,13000,,,4000,8000,,1000
7772,r023,All degree levels -> S&E occupations -> Social and related scientists -> Other social and related scientists,All degree levels,S&E occupations,Social and related scientists,Other social and related scientists,,4,191000,4000,6000,55000,88000,S,37000
7772,r024,All degree levels -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All degree levels,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,,4,188000,,,7000,43000,134000,4000
7772,r025,All degree levels -> S&E occupations -> Engineers,All degree levels,S&E occupations,Engineers,,,3,1949000,115000,503000,608000,442000,38000,242000
7772,r026,"All degree levels -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All degree levels,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",,4,127000,8000,32000,32000,45000,,10000
7772,r027,All degree levels -> S&E occupations -> Engineers -> Chemical engineers,All degree levels,S&E occupations,Engineers,Chemical engineers,,4,80000,5000,19000,20000,20000,0.05,15000
7772,r028,"All degree levels -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All degree levels,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",,4,303000,3000,94000,116000,39000,,48000
7772,r029,All degree levels -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All degree levels,S&E occupations,Engineers,Electrical and computer hardware engineers,,4,399000,62000,109000,80000,108000,S,39000
7772,r030,All degree levels -> S&E occupations -> Engineers -> Industrial engineers,All degree levels,S&E occupations,Engineers,Industrial engineers,,4,96000,6000,18000,45000,6000,,20000
7772,r031,All degree levels -> S&E occupations -> Engineers -> Mechanical engineers,All degree levels,S&E occupations,Engineers,Mechanical engineers,,4,388000,7000,155000,94000,87000,1000,44000
7772,r032,All degree levels -> S&E occupations -> Engineers -> Other engineers,All degree levels,S&E occupations,Engineers,Other engineers,,4,501000,23000,74000,212000,123000,1000,67000
7772,r033,All degree levels -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All degree levels,S&E occupations,Engineers,Postsecondary teachers - engineering,,4,55000,,,8000,12000,33000,0.05
7772,r034,All degree levels -> S&E-related occupations,All degree levels,S&E-related occupations,,,,2,9522000,330000,248000,1665000,568000,1138000,5573000
