table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_all_full_time_employed_10_median_salary,field_all_full_time_employed_10_se,field_tenured_median_salary,field_tenured_se,field_tenured_10_median_salary,field_tenured_10_se,field_not_tenured_on_tenure_track_median_salary,field_not_tenured_on_tenure_track_se,field_not_tenured_on_tenure_track_10_median_salary,field_not_tenured_on_tenure_track_10_se,field_not_tenured_not_on_tenure_track_median_salary,field_not_tenured_not_on_tenure_track_se,field_not_tenured_not_on_tenure_track_10_median_salary,field_not_tenured_not_on_tenure_track_10_se,field_tenure_not_applicable_median_salary,field_tenure_not_applicable_se,field_tenure_not_applicable_10_median_salary,field_tenure_not_applicable_10_se
3734,r001,All fields,All fields,,,,1,72000,500,108000,1000,83000,2000,115000,1000,82000,1000,93000,2500,65000,500,90000,1000,60000,500,96000,2000
3734,r002,All fields -> Male,All fields,Male,,,2,75000,500,113000,2500,88000,4500,120000,500,86000,2000,94000,3000,65000,500,95000,4000,60000,500,105000,3500
3734,r003,All fields -> Female,All fields,Female,,,2,70000,500,99000,1500,80000,2000,105000,1500,79000,2000,91000,4000,65000,1500,86000,2500,60000,500,87000,2500
3734,r004,All fields -> Science,All fields,Science,,,2,70000,1500,105000,1500,79000,1500,110000,500,80000,1000,90000,2500,62000,1500,90000,3000,60000,1000,93000,2500
3734,r005,All fields -> Science -> Male,All fields,Science,Male,,3,71000,2000,110000,500,81000,2000,116000,2000,84000,2000,92000,3000,62000,2500,95000,5500,60000,1000,100000,2500
3734,r006,All fields -> Science -> Female,All fields,Science,Female,,3,67000,1500,95000,1500,74000,4000,101000,1500,76000,2500,87000,3000,62000,1500,84000,1500,59000,1000,85000,2500
3734,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,61000,1500,106000,3000,70000,5500,120000,500,85000,2000,99000,2000,60000,2000,90000,3500,55000,1000,88000,4000
3734,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,4,63000,2000,115000,2000,68000,4500,125000,3500,87000,2500,100000,4500,63000,3000,96000,6000,55000,1500,100000,3500
3734,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,4,60000,500,95000,2000,79000,9000,108000,3500,82000,4000,95000,4500,60000,500,83000,2500,55000,1000,79000,3500
3734,r010,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,96000,4000,120000,4500,95000,6000,124000,5000,99000,2500,99000,7000,85000,7000,112000,12000,88000,10500,115000,20500
3734,r011,All fields -> Science -> Computer and information sciences -> Male,All fields,Science,Computer and information sciences,Male,4,99000,3000,122000,5000,93000,8500,129000,7000,100000,3500,100000,9500,86000,11500,112000,12000,85000,11000,103000,11000
3734,r012,All fields -> Science -> Computer and information sciences -> Female,All fields,Science,Computer and information sciences,Female,4,91000,3000,119000,6500,98000,9000,115000,6000,91000,3500,,,85000,7000,S,S,91000,21000,166000,41000
3734,r013,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,68000,2000,100000,1000,71000,9500,102000,2500,78000,4000,72000,4500,60000,3500,80000,8500,64000,2500,80000,6500
3734,r014,All fields -> Science -> Mathematics and statistics -> Male,All fields,Science,Mathematics and statistics,Male,4,69000,3500,102000,2500,82000,11000,105000,3000,80000,4000,70000,5000,59000,3000,80000,19000,63000,5000,83000,7000
3734,r015,All fields -> Science -> Mathematics and statistics -> Female,All fields,Science,Mathematics and statistics,Female,4,67000,2000,90000,2000,65000,3500,95000,3500,71000,8000,73000,4500,61000,5500,76000,18500,66000,5000,74000,6000
3734,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,65000,1000,101000,3000,77000,7000,110000,2000,78000,3000,84000,3500,58000,2500,89000,4500,58000,1500,90000,2500
3734,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Male,4,66000,2000,105000,4500,79000,7500,110000,3000,80000,2500,85000,4000,59000,2500,90000,7000,58000,1500,96000,5500
3734,r018,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Female,4,63000,2000,96000,4500,70000,10500,107000,4000,72000,3000,75000,3000,57000,2500,82000,13000,58000,3000,78000,7500
3734,r019,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,73000,1500,102000,2000,74000,4500,106000,3500,74000,1500,80000,4000,74000,3000,95000,6500,70000,3000,96000,3500
3734,r020,All fields -> Science -> Psychology -> Male,All fields,Science,Psychology,Male,4,75000,2500,111000,4500,82000,5500,115000,6000,75000,3000,78000,6000,64000,9000,123000,22500,70000,5500,110000,10000
3734,r021,All fields -> Science -> Psychology -> Female,All fields,Science,Psychology,Female,4,72000,1500,96000,2500,68000,4000,100000,1500,73000,1500,84000,7500,78000,6000,88000,5500,70000,3000,92000,3000
3734,r022,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,75000,1000,104000,2000,80000,2000,105000,1500,80000,1500,81000,2000,60000,1500,83000,5500,67000,2500,103000,4500
3734,r023,All fields -> Science -> Social sciences -> Male,All fields,Science,Social sciences,Male,4,79000,1500,108000,2000,81000,4500,110000,3500,84000,4500,76000,7500,60000,4000,84000,7500,74000,4000,110000,4000
3734,r024,All fields -> Science -> Social sciences -> Female,All fields,Science,Social sciences,Female,4,72000,1000,96000,2500,79000,5000,100000,1500,77000,2500,81000,1500,60000,1500,80000,4500,64000,2500,94000,5000
3734,r025,All fields -> Engineering,All fields,Engineering,,,2,84000,1500,125000,3000,108000,2000,130000,2000,90000,500,101000,2500,72000,3000,92000,7000,64000,1500,117000,4500
3734,r026,All fields -> Engineering -> Male,All fields,Engineering,Male,,3,85000,2000,125000,3000,108000,2000,129000,1500,90000,2000,100000,4000,74000,3000,93000,7500,65000,4000,121000,10500
3734,r027,All fields -> Engineering -> Female,All fields,Engineering,Female,,3,76000,4500,120000,6500,105000,6000,135000,7500,85000,2000,102000,19500,62000,6500,91000,9000,63000,2500,95000,5500
3734,r028,All fields -> Health,All fields,Health,,,2,80000,1500,114000,3000,87000,3500,119000,2000,80000,2500,96000,6000,78000,3500,115000,11000,74000,6000,108000,5000
3734,r029,All fields -> Health -> Male,All fields,Health,Male,,3,79000,3500,121000,10500,90000,10000,135000,8000,81000,4500,100000,7500,67000,10000,117000,16000,74000,9000,107000,12000
3734,r030,All fields -> Health -> Female,All fields,Health,Female,,3,80000,2000,109000,2000,87000,4500,115000,4000,80000,2500,96000,6500,80000,4000,109000,12000,74000,7000,108000,5500
