table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total_number_,field_yes_filed_form_6765_in_2021_,field_no_did_not_file_form_6765_in_2021_
12447,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['2,134', '&nbsp;']","['32.8', '&nbsp;']","['67.2', '&nbsp;']"
12447,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['1,525', '&nbsp;']","['39.4', '&nbsp;']","['60.6', '&nbsp;']"
12447,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['609', '&nbsp;']","['16.4', '&nbsp;']","['83.6', '&nbsp;']"
12447,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['1,192', '&nbsp;']","['21.5', '&nbsp;']","['78.5', '&nbsp;']"
12447,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['5,194', '&nbsp;']","['17.0', '&nbsp;']","['83.0', '&nbsp;']"
12447,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['3,433', '&nbsp;']","['24.4', '&nbsp;']","['75.6', '&nbsp;']"
12447,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['308', '&nbsp;']","['25.6', '&nbsp;']","['74.4', '&nbsp;']"
12447,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['1,155', '&nbsp;']","['30.4', '&nbsp;']","['69.6', '&nbsp;']"
12447,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['1,892', '&nbsp;']","['21.2', '&nbsp;']","['78.8', '&nbsp;']"
12447,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['78', '&nbsp;']","['6.4', 'r']","['93.6', '&nbsp;']"
