table_id,row_id,field_of_highest_degree_father_s_education_and_mother_s_education_full_path,field_of_highest_degree_father_s_education_and_mother_s_education_level_1,field_of_highest_degree_father_s_education_and_mother_s_education_level_2,field_of_highest_degree_father_s_education_and_mother_s_education_level_3,field_of_highest_degree_father_s_education_and_mother_s_education_level_4,field_of_highest_degree_father_s_education_and_mother_s_education_hierarchy_depth,field_bachelor_s_total,field_bachelor_s_0,field_bachelor_s_1_10_000,field_bachelor_s_10_001_20_000,field_bachelor_s_20_001_30_000,field_bachelor_s_30_001_and_over,field_master_s_total,field_master_s_0,field_master_s_1_10_000,field_master_s_10_001_20_000,field_master_s_20_001_30_000,field_master_s_30_001_and_over,field_doctorate_total,field_doctorate_0,field_doctorate_1_10_000,field_doctorate_10_001_20_000,field_doctorate_20_001_30_000,field_doctorate_30_001_and_over,field_professional_total,field_professional_0,field_professional_1_10_000,field_professional_10_001_20_000,field_professional_20_001_30_000,field_professional_30_001_and_over
7781,r001,All fields,All fields,,,,1,42870000,18658000,5660000,5002000,4392000,9157000,19296000,7330000,2360000,1783000,1350000,3222000,2643000,1235000,333000,169000,121000,236000,3784000,1554000,393000,336000,223000,539000
7781,r002,All fields -> Father's education,All fields,Father's education,,,2,,,,,,,,,,,,,,,,,,,,,,,,
7781,r003,All fields -> Father's education -> Less than high school completed,All fields,Father's education,Less than high school completed,,3,5676000,2505000,977000,730000,538000,927000,2593000,933000,402000,258000,156000,332000,341000,138000,54000,21000,15000,27000,307000,100000,42000,21000,17000,52000
7781,r004,All fields -> Father's education -> High school diploma or equivalent,All fields,Father's education,High school diploma or equivalent,,3,11006000,4247000,1638000,1268000,1221000,2632000,4406000,1359000,570000,418000,343000,899000,504000,200000,68000,42000,34000,48000,634000,170000,83000,66000,58000,113000
7781,r005,"All fields -> Father's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,Father's education,"Some college, vocational, or trade school (including 2-year degrees)",,3,8194000,3016000,1145000,1065000,965000,2002000,3459000,1131000,404000,387000,361000,694000,396000,162000,54000,41000,10000,44000,573000,196000,97000,88000,26000,84000
7781,r006,"All fields -> Father's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,Father's education,"Bachelor's degree (e.g., BS, BA, AB)",,3,9354000,4562000,1019000,1071000,908000,1794000,4028000,1763000,480000,322000,224000,562000,596000,307000,73000,27000,28000,49000,822000,335000,78000,70000,66000,143000
7781,r007,"All fields -> Father's education -> Master's degree (e.g., MS, MA, MBA)",All fields,Father's education,"Master's degree (e.g., MS, MA, MBA)",,3,4477000,2117000,490000,492000,456000,922000,2499000,1053000,253000,233000,140000,410000,343000,171000,36000,16000,22000,33000,488000,211000,50000,27000,23000,74000
7781,r008,"All fields -> Father's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,Father's education,"Professional degree (e.g., JD, LLB, MD, DDS)",,3,1644000,1068000,103000,109000,87000,277000,954000,534000,79000,50000,57000,87000,200000,118000,17000,8000,6000,15000,592000,365000,22000,29000,18000,36000
7781,r009,"All fields -> Father's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,Father's education,"Doctorate (e.g., PhD, DSc, EdD)",,3,1283000,703000,151000,131000,98000,201000,907000,454000,126000,71000,34000,115000,225000,128000,28000,10000,6000,17000,293000,149000,20000,34000,14000,28000
7781,r010,All fields -> Father's education -> Not applicable,All fields,Father's education,Not applicable,,3,1235000,440000,136000,136000,120000,403000,450000,103000,46000,45000,34000,123000,37000,12000,2000,4000,,S,75000,28000,S,,,10000
7781,r011,All fields -> Mother's education,All fields,Mother's education,,,2,,,,,,,,,,,,,,,,,,,,,,,,
7781,r012,All fields -> Mother's education -> Less than high school completed,All fields,Mother's education,Less than high school completed,,3,5447000,2473000,933000,679000,434000,929000,2422000,911000,359000,203000,148000,275000,380000,164000,43000,22000,13000,24000,342000,110000,28000,16000,27000,54000
7781,r013,All fields -> Mother's education -> High school diploma or equivalent,All fields,Mother's education,High school diploma or equivalent,,3,12915000,5387000,2037000,1525000,1381000,2585000,5413000,1898000,711000,544000,383000,932000,622000,256000,93000,49000,29000,46000,792000,223000,138000,94000,71000,130000
7781,r014,"All fields -> Mother's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,Mother's education,"Some college, vocational, or trade school (including 2-year degrees)",,3,9601000,3646000,1283000,1205000,1105000,2362000,4159000,1488000,546000,441000,362000,790000,489000,220000,69000,36000,30000,56000,789000,309000,89000,86000,49000,115000
7781,r015,"All fields -> Mother's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,Mother's education,"Bachelor's degree (e.g., BS, BA, AB)",,3,9588000,4655000,933000,1064000,922000,2014000,3999000,1699000,426000,327000,232000,661000,572000,298000,61000,29000,27000,53000,1020000,499000,69000,101000,47000,122000
7781,r016,"All fields -> Mother's education -> Master's degree (e.g., MS, MA, MBA)",All fields,Mother's education,"Master's degree (e.g., MS, MA, MBA)",,3,3723000,1711000,350000,383000,402000,876000,2462000,984000,257000,205000,187000,432000,393000,199000,51000,25000,17000,39000,521000,254000,59000,29000,18000,93000
7781,r017,"All fields -> Mother's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,Mother's education,"Professional degree (e.g., JD, LLB, MD, DDS)",,3,511000,283000,35000,31000,49000,112000,273000,145000,27000,17000,12000,39000,80000,40000,6000,3000,3000,8000,172000,77000,10000,7000,S,10000
7781,r018,"All fields -> Mother's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,Mother's education,"Doctorate (e.g., PhD, DSc, EdD)",,3,389000,198000,26000,36000,41000,88000,308000,130000,25000,24000,20000,37000,81000,46000,S,3000,2000,8000,103000,65000,,S,S,9000
