table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
12276,r001,All business activities,All business activities,,1,21100–81000,"['691,547', '  ']","['608,058', '  ']","['83,489', '  ']"
12276,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['D', '  ']","['342', '  ']","['D', '&nbsp;']"
12276,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['138', 'i ']","['138', 'i ']","['0', '  ']"
12276,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['786', 'i ']","['729', 'i ']","['57', '  ']"
12276,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['D', '  ']","['D', '  ']","['D', '  ']"
12276,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['790', '  ']","['729', '  ']","['61', 'i ']"
12276,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['6,525', 'i ']","['6,168', 'i ']","['357', '  ']"
12276,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['794', '  ']","['749', '  ']","['45', 'i ']"
12276,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['213', '  ']","['195', '  ']","['18', '  ']"
12276,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['D', '  ']","['573', '  ']","['D', '  ']"
12276,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['301', '  ']","['297', '  ']","['5', '  ']"
12276,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,337', '  ']","['1,336', '  ']","['*', 'i ']"
12276,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['337', '  ']","['336', '  ']","['1', '  ']"
12276,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['432', '  ']","['429', '  ']","['3', '  ']"
12276,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['92', '  ']","['92', '  ']","['0', '  ']"
12276,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['129', '  ']","['128', '  ']","['1', '  ']"
12276,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['3,136', '  ']","['2,970', '  ']","['166', '  ']"
12276,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,370', '  ']","['1,290', '  ']","['80', 'i ']"
12276,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['D', '  ']","['1,257', '  ']","['D', '  ']"
12276,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['61,071', '  ']","['54,026', '  ']","['7,045', '  ']"
12276,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['1,777', '  ']","['1,750', '  ']","['28', '  ']"
12276,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['51,697', '  ']","['47,881', '  ']","['3,816', '  ']"
12276,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['2,586', '  ']","['2,325', '  ']","['261', '  ']"
12276,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['1,384', '  ']","['1,342', '  ']","['42', '  ']"
12276,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['3,515', '  ']","['3,354', '  ']","['161', '  ']"
12276,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['1,382', '  ']","['1,373', '  ']","['8', '  ']"
12276,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['446', '  ']","['374', '  ']","['71', 'i ']"
12276,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['1,231', '  ']","['1,191', '  ']","['40', '  ']"
12276,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['4,020', '  ']","['3,570', '  ']","['449', '  ']"
12276,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['D', '  ']","['2,013', '  ']","['D', '  ']"
12276,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['1,249', '  ']","['1,230', '  ']","['19', '  ']"
12276,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['1,262', '  ']","['1,127', '  ']","['135', '  ']"
12276,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['5,466', '  ']","['5,418', '  ']","['48', '  ']"
12276,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['1,503', '  ']","['1,237', '  ']","['266', '  ']"
12276,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['D', '  ']","['D', '  ']","['2', '  ']"
12276,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['2,300', '  ']","['2,251', '  ']","['49', '  ']"
12276,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['194', '  ']","['194', '  ']","['0', '  ']"
12276,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['2,568', '  ']","['2,227', '  ']","['341', '  ']"
12276,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['2,767', '  ']","['2,637', '  ']","['129', '  ']"
12276,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['27,905', '  ']","['27,878', '  ']","['27', '  ']"
12276,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['D', '  ']","['7,802', '  ']","['D', '  ']"
12276,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['3,453', '  ']","['2,560', '  ']","['893', 'i ']"
12276,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['595', '  ']","['572', '  ']","['23', '  ']"
12276,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['1,713', '  ']","['1,705', '  ']","['8', '  ']"
12276,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['50,441', '  ']","['48,501', '  ']","['1,940', '  ']"
12276,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['5,106', '  ']","['4,714', '  ']","['392', '  ']"
12276,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",2,33452,"['5,584', '  ']","['2,854', '  ']","['2,730', '  ']"
12276,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['4,182', '  ']","['4,102', '  ']","['80', '  ']"
12276,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['6,700', '  ']","['6,290', '  ']","['411', 'i ']"
12276,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['24,738', '  ']","['23,852', '  ']","['886', '  ']"
12276,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['162', '  ']","['162', '  ']","['0', '  ']"
12276,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['7,687', '  ']","['6,565', '  ']","['1,122', '  ']"
12276,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['17,879', 'i ']","['5,389', '  ']","['12,490', 'i ']"
12276,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['4,396', '  ']","['2,231', '  ']","['2,165', '  ']"
12276,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['2,873', '  ']","['1,767', '  ']","['1,106', '  ']"
12276,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['6,684', '  ']","['2,620', '  ']","['4,064', '  ']"
12276,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['289', '  ']","['289', '  ']","['0', '  ']"
12276,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['960', '  ']","['279', '  ']","['681', '  ']"
12276,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['454', '  ']","['431', '  ']","['24', '  ']"
12276,r060,"All business activities -> Military armored vehicle, tank, and tank components manufacturing",All business activities,"Military armored vehicle, tank, and tank components manufacturing",2,33692,"['660', '  ']","['367', 'i ']","['293', '  ']"
