table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10280,r001,All agencies,All agencies,,,,,1,15586008,405887,547854,9587056,101455,191773,1176210,383334,1837098,1355341
10280,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10280,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,557830,8044,21395,332159,7038,14163,11657,60370,36590,66415
10280,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,2509,0,0,2509,0,0,0,0,0,0
10280,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,76024,99,335,69844,0,4881,0,182,684,0
10280,r006,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,8247,0,0,0,0,0,0,8247,0,0
10280,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,10745,470,3008,4788,0,0.05,0,2292,165,0
10280,r008,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,223,223,0,0,0,0,0,0,0,0
10280,r009,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,459077,7252,18053,254014,7038,9260,11657,49648,35741,66415
10280,r010,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,1004,0,0,1004,0,0,0,0,0,0
10280,r011,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,243621,3308,184515,14126,724,9569,0,5357,25596,425
10280,r012,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,30060,1859,2292,3783,0,151,0,0,21974,0
10280,r013,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,213561,1449,182223,10343,724,9418,0,5357,3622,425
10280,r014,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,1026346,212987,109728,157394,0,39019,8435,6179,293979,198625
