table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminary,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3355,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,72027,80923,76480,12.4,-5.5
3355,r002,"R&D and R&D plant -> Department of Defense, military (051)",R&D and R&D plant,"Department of Defense, military (051)",,,,,2,64685,73154,67844,13.1,-7.3
3355,r003,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup>",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,,,,3,61292,67264,66052,9.7,-1.8
3355,r004,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,,,4,19021,19863,17690,4.4,-10.9
3355,r005,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Defense Advanced Research Projects Agency,,5,3426,3458,3566,1.0,3.1
3355,r006,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Missile Defense Agency,,5,7246,8138,7170,12.3,-11.9
3355,r007,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Other defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Other defense agencies,,5,8350,8266,6954,-1.0,-15.9
3355,r008,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Air Force",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Air Force,,,4,18436,21130,15925,14.6,-24.6
3355,r009,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Space Force",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Space Force,,,4,na,na,5445,--,--
3355,r010,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Army",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Army,,,4,9650,10812,10650,12.0,-1.5
