table_id,row_id,_b_2018_carnegie_classification_by_area_of_study_b_full_path,_b_2018_carnegie_classification_by_area_of_study_b_level_1,_b_2018_carnegie_classification_by_area_of_study_b_level_2,_b_2018_carnegie_classification_by_area_of_study_b_level_3,_b_2018_carnegie_classification_by_area_of_study_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
6045,r001,All broad fields,All broad fields,,,1,697813,100.0,414478,100.0,283335,100.0,65681,100.0,29661,100.0
6045,r002,All broad fields -> Doctoral: highest research,All broad fields,Doctoral: highest research,,2,455214,65.2,224652,54.2,230562,81.4,54592,83.1,25102,84.6
6045,r003,All broad fields -> Doctoral: higher research,All broad fields,Doctoral: higher research,,2,108922,15.6,73200,17.7,35722,12.6,3023,4.6,2588,8.7
6045,r004,All broad fields -> Doctoral: moderate research,All broad fields,Doctoral: moderate research,,2,43287,6.2,38134,9.2,5153,1.8,164,0.2,1,0.05
6045,r005,All broad fields -> Master's: larger programs,All broad fields,Master's: larger programs,,2,62628,9.0,61133,14.7,1495,0.5,92,0.1,59,0.2
6045,r006,All broad fields -> Master's: medium programs,All broad fields,Master's: medium programs,,2,4629,0.7,4301,1.0,328,0.1,34,0.1,89,0.3
6045,r007,All broad fields -> Master's: small programs and baccalaureate,All broad fields,Master's: small programs and baccalaureate,,2,4034,0.6,3413,0.8,621,0.2,68,0.1,19,0.1
6045,r008,All broad fields -> Medical schools and centers,All broad fields,Medical schools and centers,,2,17005,2.4,8807,2.1,8198,2.9,6350,9.7,1472,5.0
6045,r009,All broad fields -> Other 4-year special focus,All broad fields,Other 4-year special focus,,2,860,0.1,551,0.1,309,0.1,8,0.05,17,0.1
6045,r010,All broad fields -> Not classified,All broad fields,Not classified,,2,1234,0.2,287,0.1,947,0.3,1350,2.1,314,1.1
