table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_in_target_populationa,field_all_companies,field_noncertainties,field_certainties
9848,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81, 00",5410000,300000,254000,46500
9848,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,227000,49000,36500,12500
9848,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,21500,4600,3400,1200
9848,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,9800,2700,2100,500
9848,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,11500,2600,2000,600
9848,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,11000,2400,1900,500
9848,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,2100,550,200,300
9848,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,20500,3800,3100,700
9848,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,650,150,60,100
9848,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,9100,3300,2100,1100
9848,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemical",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemical",,4,3253,650,200,150,60
9848,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,2000,1000,650,350
9848,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,1900,650,450,200
9848,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,4500,1400,850,550
9848,r015,All industries -> Manufacturing industries -> Plastic and rubber products,All industries,Manufacturing industries,Plastic and rubber products,,,3,326,8000,2200,1500,650
