table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2018_actual,field_2019_preliminary,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1697,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,4233,4458,1895,5.3,-57.5
1697,r002,R&D and R&D plant -> Department of Energy (271),R&D and R&D plant,Department of Energy (271),,,,2,4151,4370,1807,5.3,-58.6
1697,r003,R&D and R&D plant -> Department of Energy (271) -> Energy programs,R&D and R&D plant,Department of Energy (271),Energy programs,,,3,3790,4002,2092,5.6,-47.7
1697,r004,R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Energy efficiency and renewable energy,R&D and R&D plant,Department of Energy (271),Energy programs,Energy efficiency and renewable energy,,4,1757,1842,636,4.8,-65.5
1697,r005,R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Electricity delivery and energy reliability<sup>a</sup>,R&D and R&D plant,Department of Energy (271),Energy programs,Electricity delivery and energy reliability<sup>a</sup>,,4,178,na,na,--,--
1697,r006,R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Fossil energy,R&D and R&D plant,Department of Energy (271),Energy programs,Fossil energy,,4,683,681,551,-0.3,-19.1
1697,r007,R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Nuclear energy,R&D and R&D plant,Department of Energy (271),Energy programs,Nuclear energy,,4,1172,1294,712,10.3,-45.0
1697,r008,R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Electricity delivery<sup>a</sup>,R&D and R&D plant,Department of Energy (271),Energy programs,Electricity delivery<sup>a</sup>,,4,na,136,158,--,16.3
1697,r009,"R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Cybersecurity, Energy Security, and Emergency Response<sup>a</sup>",R&D and R&D plant,Department of Energy (271),Energy programs,"Cybersecurity, Energy Security, and Emergency Response<sup>a</sup>",,4,na,49,35,--,-27.9
1697,r010,R&D and R&D plant -> Department of Energy (271) -> Advanced Research Projects Agency-Energy (ARPA-E)<sup>b</sup>,R&D and R&D plant,Department of Energy (271),Advanced Research Projects Agency-Energy (ARPA-E)<sup>b</sup>,,,3,354,366,-287,3.4,-178.4
1697,r011,R&D and R&D plant -> Department of Energy (271) -> Bonneville Power Administration Fund,R&D and R&D plant,Department of Energy (271),Bonneville Power Administration Fund,,,3,7,2,2,-71.4,0.0
1697,r012,R&D and R&D plant -> Nuclear Regulatory Commission (276),R&D and R&D plant,Nuclear Regulatory Commission (276),,,,2,69,74,75,7.2,1.4
1697,r013,R&D and R&D plant -> Tennessee Valley Authority (271),R&D and R&D plant,Tennessee Valley Authority (271),,,,2,13,14,13,7.7,-7.1
1697,r014,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,4212,4435,1872,5.3,-57.8
1697,r015,R&D and R&D plant -> R&D -> Department of Energy (271),R&D and R&D plant,R&D,Department of Energy (271),,,3,4130,4347,1784,5.3,-59.0
1697,r016,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,,4,3769,3979,2069,5.6,-48.0
1697,r017,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Energy efficiency and renewable energy,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,Energy efficiency and renewable energy,5,1757,1842,636,4.8,-65.5
1697,r018,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Electricity delivery and energy reliability<sup>a</sup>,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,Electricity delivery and energy reliability<sup>a</sup>,5,178,na,na,--,--
1697,r019,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Fossil energy,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,Fossil energy,5,662,659,528,-0.4,-19.8
1697,r020,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Nuclear energy,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,Nuclear energy,5,1172,1294,712,10.3,-45.0
1697,r021,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Electricity delivery<sup>a</sup>,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,Electricity delivery<sup>a</sup>,5,na,136,158,--,16.3
1697,r022,"R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Cybersecurity, Energy Security, and Emergency Response<sup>a</sup>",R&D and R&D plant,R&D,Department of Energy (271),Energy programs,"Cybersecurity, Energy Security, and Emergency Response<sup>a</sup>",5,na,49,35,--,-27.9
1697,r023,R&D and R&D plant -> R&D -> Department of Energy (271) -> Advanced Research Projects Agency-Energy (ARPA-E)<sup>b</sup>,R&D and R&D plant,R&D,Department of Energy (271),Advanced Research Projects Agency-Energy (ARPA-E)<sup>b</sup>,,4,354,366,-287,3.4,-178.4
1697,r024,R&D and R&D plant -> R&D -> Department of Energy (271) -> Bonneville Power Administration Fund,R&D and R&D plant,R&D,Department of Energy (271),Bonneville Power Administration Fund,,4,7,2,2,-71.4,0.0
1697,r025,R&D and R&D plant -> R&D -> Nuclear Regulatory Commission (276),R&D and R&D plant,R&D,Nuclear Regulatory Commission (276),,,3,69,74,75,7.2,1.4
1697,r026,R&D and R&D plant -> R&D -> Tennessee Valley Authority (271),R&D and R&D plant,R&D,Tennessee Valley Authority (271),,,3,13,14,13,7.7,-7.1
