table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_u_s_residing_all_number,field_u_s_residing_all_se,field_u_s_residing_male_number,field_u_s_residing_male_se,field_u_s_residing_female_number,field_u_s_residing_female_se,field_non_u_s_residing_all_number,field_non_u_s_residing_all_se,field_non_u_s_residing_male_number,field_non_u_s_residing_male_se,field_non_u_s_residing_female_number,field_non_u_s_residing_female_se
9256,r001,All fields,All fields,,,,,1,1023650,1925,640350,1950,383250,1050,162100,1650,118000,1825,44100,1000
9256,r002,All fields -> Science,All fields,Science,,,,2,767500,1675,452800,1825,314650,1250,114550,1450,79050,1475,35450,925
9256,r003,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,265700,1050,148000,1275,117700,825,32600,850,21150,750,11450,500
9256,r004,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,21050,350,14600,350,6450,225,6350,300,4800,325,1550,150
9256,r005,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Agricultural sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Agricultural sciences,5,1300,75,1000,75,300,25,300,50,250,75,100,25
9256,r006,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Animal sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Animal sciences,5,5500,175,4050,175,1500,100,1300,150,1000,150,300,75
9256,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Food sciences and technology",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Food sciences and technology,5,4100,175,2150,175,2000,150,1750,175,1200,175,500,100
9256,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Plant sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Plant sciences,5,7450,225,5500,225,1950,125,2400,200,1850,200,550,75
9256,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Soil sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Soil sciences,5,2700,125,1950,125,750,100,600,100,500,75,100,50
9256,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,,4,35250,450,21350,550,13950,425,3350,350,2450,350,900,175
9256,r011,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Biochemistry",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Biochemistry,5,29250,425,17200,525,12050,400,2700,350,2050,325,650,150
9256,r012,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Biophysics,5,6000,150,4150,175,1850,150,650,150,400,125,200,100
9256,r013,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",,4,36000,350,18050,475,17900,450,2750,300,1750,300,1000,125
9256,r014,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,,4,28750,300,14650,400,14100,375,2500,275,1300,200,1200,200
9256,r015,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Immunology,5,10400,200,5450,250,4950,225,750,175,250,125,500,150
9256,r016,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Microbiological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Microbiological sciences,5,18350,250,9200,350,9150,325,1700,225,1050,175,650,125
9256,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,,4,11150,225,7500,225,3650,150,2550,225,1900,175,650,125
9256,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Fish, fisheries, wildlife, and wildlands science and management",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,"Fish, fisheries, wildlife, and wildlands science and management",5,2700,100,2050,100,650,50,650,100,550,100,150,50
9256,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Forestry",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,Forestry,5,3300,125,2500,125,800,75,800,100,700,100,100,25
9256,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Natural resource conservation, research, management, and policy",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,"Natural resource conservation, research, management, and policy",5,5150,150,2950,175,2200,150,1100,150,650,125,450,100
