table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expendituresa,field_intramural_performersb,field_extramural_performersc_total,field_extramural_performersc_academic_institutions,field_extramural_performersc_companies_and_individualsd,field_extramural_performersc_othere,field_r_d_plantf
7683,r001,United States<sup>g</sup>,United States<sup>g</sup>,,1,2471471226,673691209,1797780017,960494009,508757034,328528974,29269916
7683,r002,United States<sup>g</sup> -> Alabama,United States<sup>g</sup>,Alabama,2,29812345,17295499,12516846,6296012,120834,6100000,0
7683,r003,United States<sup>g</sup> -> Alaska,United States<sup>g</sup>,Alaska,2,19671388,13677498,5993890,1284854,4013636,695400,0
7683,r004,United States<sup>g</sup> -> Arizona,United States<sup>g</sup>,Arizona,2,15011508,3522494,11489014,6118524,1195026,4175464,0
7683,r005,United States<sup>g</sup> -> Arkansas,United States<sup>g</sup>,Arkansas,2,9908767,170429,9738338,7506063,603235,1629040,0
7683,r006,United States<sup>g</sup> -> California,United States<sup>g</sup>,California,2,523819635,81309690,442509945,145143314,197745251,99621380,0
7683,r007,United States<sup>g</sup> -> Colorado,United States<sup>g</sup>,Colorado,2,38436248,11957421,26478827,7509337,16891409,2078081,0
7683,r008,United States<sup>g</sup> -> Connecticut,United States<sup>g</sup>,Connecticut,2,55050702,27217883,27832819,4179932,22529787,1123100,0
7683,r009,United States<sup>g</sup> -> Delaware,United States<sup>g</sup>,Delaware,2,3338773,1894419,1444354,700491,693063,50800,0
7683,r010,United States<sup>g</sup> -> District of Columbia,United States<sup>g</sup>,District of Columbia,2,8128666,3705656,4423010,746489,3481521,195000,0
7683,r011,United States<sup>g</sup> -> Florida,United States<sup>g</sup>,Florida,2,178360429,50793339,127567090,73276602,3326524,50963964,2646068
7683,r012,United States<sup>g</sup> -> Georgia,United States<sup>g</sup>,Georgia,2,18798826,2016590,16782236,6416100,8661580,1704556,0
7683,r013,United States<sup>g</sup> -> Hawaii,United States<sup>g</sup>,Hawaii,2,10315823,2311413,8004410,5526606,2398104,79700,4100000
7683,r014,United States<sup>g</sup> -> Idaho,United States<sup>g</sup>,Idaho,2,18210054,7124769,11085285,7147867,220624,3716794,5000
7683,r015,United States<sup>g</sup> -> Illinois,United States<sup>g</sup>,Illinois,2,16213542,554067,15659475,11875208,121074,3663193,0
7683,r016,United States<sup>g</sup> -> Indiana,United States<sup>g</sup>,Indiana,2,10485205,470344,10014861,8525017,1200287,289557,0
7683,r017,United States<sup>g</sup> -> Iowa,United States<sup>g</sup>,Iowa,2,10579028,3091936,7487092,5794456,1692636,0,0
7683,r018,United States<sup>g</sup> -> Kansas,United States<sup>g</sup>,Kansas,2,15002554,1294643,13707911,11810839,120579,1776493,0
7683,r019,United States<sup>g</sup> -> Kentucky,United States<sup>g</sup>,Kentucky,2,29737068,1946017,27791051,24466657,1620813,1703581,0
7683,r020,United States<sup>g</sup> -> Louisiana,United States<sup>g</sup>,Louisiana,2,32115461,9555840,22559621,19669638,2739815,150168,0
7683,r021,United States<sup>g</sup> -> Maine,United States<sup>g</sup>,Maine,2,32392463,10370488,22021975,4227168,12753922,5040885,487798
7683,r022,United States<sup>g</sup> -> Maryland,United States<sup>g</sup>,Maryland,2,28212493,878718,27333775,20033775,7300000,0,0
7683,r023,United States<sup>g</sup> -> Massachusetts,United States<sup>g</sup>,Massachusetts,2,23307621,1208652,22098969,9104127,10426055,2568787,6292368
7683,r024,United States<sup>g</sup> -> Michigan,United States<sup>g</sup>,Michigan,2,29718391,237018,29481373,11424715,1648966,16407692,0
7683,r025,United States<sup>g</sup> -> Minnesota,United States<sup>g</sup>,Minnesota,2,22483420,2458490,20024930,13942965,3148933,2933032,0
7683,r026,United States<sup>g</sup> -> Mississippi,United States<sup>g</sup>,Mississippi,2,11143362,2005582,9137780,4863478,1937313,2336989,0
7683,r027,United States<sup>g</sup> -> Missouri,United States<sup>g</sup>,Missouri,2,14009154,6455476,7553678,5045066,1522155,986457,0
7683,r028,United States<sup>g</sup> -> Montana,United States<sup>g</sup>,Montana,2,8447295,2846129,5601166,3567797,73279,1960090,0
7683,r029,United States<sup>g</sup> -> Nebraska,United States<sup>g</sup>,Nebraska,2,31337947,2128727,29209220,27130891,1782200,296129,0
7683,r030,United States<sup>g</sup> -> Nevada,United States<sup>g</sup>,Nevada,2,4222929,237064,3985865,2739972,245979,999914,0
7683,r031,United States<sup>g</sup> -> New Hampshire,United States<sup>g</sup>,New Hampshire,2,8675207,27186,8648021,660646,7019291,968084,0
7683,r032,United States<sup>g</sup> -> New Jersey,United States<sup>g</sup>,New Jersey,2,12864404,3006539,9857865,7921273,667386,1269206,0
7683,r033,United States<sup>g</sup> -> New Mexico,United States<sup>g</sup>,New Mexico,2,3054817,1535533,1519284,1158986,360298,0,0
7683,r034,United States<sup>g</sup> -> New York,United States<sup>g</sup>,New York,2,417246309,259432614,157813695,90758427,35387607,31667661,2523050
7683,r035,United States<sup>g</sup> -> North Carolina,United States<sup>g</sup>,North Carolina,2,36870713,17422714,19447999,16999276,2213000,235723,1076500
7683,r036,United States<sup>g</sup> -> North Dakota,United States<sup>g</sup>,North Dakota,2,35139613,294748,34844865,9364150,24151033,1329682,0
7683,r037,United States<sup>g</sup> -> Ohio,United States<sup>g</sup>,Ohio,2,55336431,1808996,53527435,11159815,41045337,1322283,9847
7683,r038,United States<sup>g</sup> -> Oklahoma,United States<sup>g</sup>,Oklahoma,2,55989692,2575950,53413742,19467169,1341409,32605164,0
7683,r039,United States<sup>g</sup> -> Oregon,United States<sup>g</sup>,Oregon,2,37419218,16083800,21335418,10698041,9330937,1306440,2700000
7683,r040,United States<sup>g</sup> -> Pennsylvania,United States<sup>g</sup>,Pennsylvania,2,93621093,8172000,85449093,46056993,21579000,17813100,0
7683,r041,United States<sup>g</sup> -> Rhode Island,United States<sup>g</sup>,Rhode Island,2,10226630,8118721,2107909,529672,1190412,387825,1420067
7683,r042,United States<sup>g</sup> -> South Carolina,United States<sup>g</sup>,South Carolina,2,44557581,27709617,16847964,5856144,395148,10596672,400000
7683,r043,United States<sup>g</sup> -> South Dakota,United States<sup>g</sup>,South Dakota,2,3193289,359853,2833436,2051503,361252,420681,500000
7683,r044,United States<sup>g</sup> -> Tennessee,United States<sup>g</sup>,Tennessee,2,10287206,1289255,8997951,8495132,0,502819,0
7683,r045,United States<sup>g</sup> -> Texas,United States<sup>g</sup>,Texas,2,255731862,2686856,253045006,225812226,26198074,1034706,0
7683,r046,United States<sup>g</sup> -> Utah,United States<sup>g</sup>,Utah,2,8316189,5326711,2989478,2121462,868016,0,1000
7683,r047,United States<sup>g</sup> -> Vermont,United States<sup>g</sup>,Vermont,2,1535157,596129,939028,699418,225598,14012,0
7683,r048,United States<sup>g</sup> -> Virginia,United States<sup>g</sup>,Virginia,2,44913546,16624998,28288548,19365935,7888755,1033858,788372
7683,r049,United States<sup>g</sup> -> Washington,United States<sup>g</sup>,Washington,2,56690210,21349303,35340907,14258527,8756002,12326378,6309062
7683,r050,United States<sup>g</sup> -> West Virginia,United States<sup>g</sup>,West Virginia,2,9013091,3378070,5635021,5397789,237232,0,2500
7683,r051,United States<sup>g</sup> -> Wisconsin,United States<sup>g</sup>,Wisconsin,2,15239075,4401850,10837225,4404511,6126721,305993,0
7683,r052,United States<sup>g</sup> -> Wyoming,United States<sup>g</sup>,Wyoming,2,7278796,2753475,4525321,1182954,3199926,142441,8284
