table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiaries,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_foreign_government_agencies,field_foreign_universities_colleges_and_academic_researchers,field_all_other
2073,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['37,822', '  ']","['19,240', '  ']","['15,426', '  ']","['2,978', '  ']","['7', '  ']","['24', 'i ']","['147', '  ']"
2073,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['30,596', '  ']","['15,012', '  ']","['13,315', '  ']","['2,119', '  ']","['3', '  ']","['22', 'i ']","['126', '  ']"
2073,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['324', '  ']","['88', '  ']","['232', '  ']","['4', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['115', '  ']","['8', '  ']","['107', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['1', '  ']","['1', '  ']","['0', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['5', '  ']","['0', '  ']","['5', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['3', '  ']","['1', '  ']","['1', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2073,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['8 - 10', '  ']","['0', '  ']","['8', '  ']","['1', 'i ']","['0', '  ']","['0', '  ']","['0 - 2', 'i ']"
2073,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['11', '  ']","['*', '  ']","['10', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['12,008', '  ']","['3,243', '  ']","['7,115', '  ']","['1,592', '  ']","['0 - 4', '  ']","['0 - 23', '  ']","['31 - 60', '  ']"
