table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_da,field_paid_for_by_the_company,field_paid_for_by_others
2358,r001,United States,United States,,1,"['441,036', '&nbsp;']","['377,806', '&nbsp;']","['63,230', '&nbsp;']"
2358,r002,United States -> Alabama,United States,Alabama,2,"['2,236', '&nbsp;']","['1,284', '&nbsp;']","['952', '&nbsp;']"
2358,r003,United States -> Alaska,United States,Alaska,2,"['25', 'e']","['20', 'e']","['5', '&nbsp;']"
2358,r004,United States -> Arizona,United States,Arizona,2,"['6,203', '&nbsp;']","['4,673', '&nbsp;']","['1,530', '&nbsp;']"
2358,r005,United States -> Arkansas,United States,Arkansas,2,"['471', '&nbsp;']","['423', '&nbsp;']","['48', '&nbsp;']"
2358,r006,United States -> California,United States,California,2,"['144,524', '&nbsp;']","['129,656', '&nbsp;']","['14,868', '&nbsp;']"
2358,r007,United States -> Colorado,United States,Colorado,2,"['5,032', '&nbsp;']","['4,286', '&nbsp;']","['746', '&nbsp;']"
2358,r008,United States -> Connecticut,United States,Connecticut,2,"['7,488', '&nbsp;']","['6,193', '&nbsp;']","['1,295', '&nbsp;']"
2358,r009,United States -> Delaware,United States,Delaware,2,"['2,375', 'i']","['1,432', 'i']","['942', 'i']"
2358,r010,United States -> District of Columbia,United States,District of Columbia,2,"['400', '&nbsp;']","['278', '&nbsp;']","['122', '&nbsp;']"
2358,r011,United States -> Florida,United States,Florida,2,"['6,489', '&nbsp;']","['4,498', '&nbsp;']","['1,991', 'i']"
2358,r012,United States -> Georgia,United States,Georgia,2,"['5,067', '&nbsp;']","['4,094', '&nbsp;']","['973', 'i']"
2358,r013,United States -> Hawaii,United States,Hawaii,2,"['146', '&nbsp;']","['89', '&nbsp;']","['57', '&nbsp;']"
2358,r014,United States -> Idaho,United States,Idaho,2,"['2,556', '&nbsp;']","['2,376', '&nbsp;']","['180', '&nbsp;']"
2358,r015,United States -> Illinois,United States,Illinois,2,"['13,182', '&nbsp;']","['12,239', '&nbsp;']","['943', '&nbsp;']"
2358,r016,United States -> Indiana,United States,Indiana,2,"['6,976', '&nbsp;']","['6,004', '&nbsp;']","['972', '&nbsp;']"
2358,r017,United States -> Iowa,United States,Iowa,2,"['3,315', '&nbsp;']","['2,556', '&nbsp;']","['759', '&nbsp;']"
2358,r018,United States -> Kansas,United States,Kansas,2,"['2,593', '&nbsp;']","['1,645', '&nbsp;']","['948', '&nbsp;']"
2358,r019,United States -> Kentucky,United States,Kentucky,2,"['1,435', '&nbsp;']","['1,178', '&nbsp;']","['257', '&nbsp;']"
2358,r020,United States -> Louisiana,United States,Louisiana,2,"['415', '&nbsp;']","['359', '&nbsp;']","['56', '&nbsp;']"
2358,r021,United States -> Maine,United States,Maine,2,"['285', '&nbsp;']","['266', '&nbsp;']","['19', '&nbsp;']"
2358,r022,United States -> Maryland,United States,Maryland,2,"['6,016', '&nbsp;']","['4,227', '&nbsp;']","['1,789', '&nbsp;']"
2358,r023,United States -> Massachusetts,United States,Massachusetts,2,"['27,282', '&nbsp;']","['22,581', '&nbsp;']","['4,702', '&nbsp;']"
2358,r024,United States -> Michigan,United States,Michigan,2,"['22,412', '&nbsp;']","['20,323', '&nbsp;']","['2,089', '&nbsp;']"
2358,r025,United States -> Minnesota,United States,Minnesota,2,"['7,405', '&nbsp;']","['7,021', '&nbsp;']","['384', '&nbsp;']"
2358,r026,United States -> Mississippi,United States,Mississippi,2,"['276', '&nbsp;']","['250', '&nbsp;']","['26', '&nbsp;']"
2358,r027,United States -> Missouri,United States,Missouri,2,"['7,171', 'i']","['3,976', '&nbsp;']","['3,195', 'i']"
2358,r028,United States -> Montana,United States,Montana,2,"['180', '&nbsp;']","['157', '&nbsp;']","['23', '&nbsp;']"
2358,r029,United States -> Nebraska,United States,Nebraska,2,"['570', '&nbsp;']","['513', '&nbsp;']","['57', '&nbsp;']"
2358,r030,United States -> Nevada,United States,Nevada,2,"['960', '&nbsp;']","['638', '&nbsp;']","['322', 'i']"
2358,r031,United States -> New Hampshire,United States,New Hampshire,2,"['2,566', '&nbsp;']","['992', '&nbsp;']","['1,573', '&nbsp;']"
2358,r032,United States -> New Jersey,United States,New Jersey,2,"['20,251', '&nbsp;']","['16,843', '&nbsp;']","['3,408', '&nbsp;']"
2358,r033,United States -> New Mexico,United States,New Mexico,2,"['699', '&nbsp;']","['374', '&nbsp;']","['325', 'i']"
2358,r034,United States -> New York,United States,New York,2,"['17,515', '&nbsp;']","['15,370', '&nbsp;']","['2,144', '&nbsp;']"
2358,r035,United States -> North Carolina,United States,North Carolina,2,"['11,716', '&nbsp;']","['7,790', '&nbsp;']","['3,926', '&nbsp;']"
2358,r036,United States -> North Dakota,United States,North Dakota,2,"['312', '&nbsp;']","['284', '&nbsp;']","['28', '&nbsp;']"
2358,r037,United States -> Ohio,United States,Ohio,2,"['9,646', '&nbsp;']","['6,820', '&nbsp;']","['2,825', '&nbsp;']"
2358,r038,United States -> Oklahoma,United States,Oklahoma,2,"['868', '&nbsp;']","['822', '&nbsp;']","['47', '&nbsp;']"
2358,r039,United States -> Oregon,United States,Oregon,2,"['8,751', '&nbsp;']","['8,446', '&nbsp;']","['304', '&nbsp;']"
2358,r040,United States -> Pennsylvania,United States,Pennsylvania,2,"['12,104', '&nbsp;']","['10,633', '&nbsp;']","['1,471', '&nbsp;']"
2358,r041,United States -> Rhode Island,United States,Rhode Island,2,"['703', '&nbsp;']","['663', '&nbsp;']","['39', '&nbsp;']"
2358,r042,United States -> South Carolina,United States,South Carolina,2,"['1,670', '&nbsp;']","['1,462', '&nbsp;']","['208', '&nbsp;']"
2358,r043,United States -> South Dakota,United States,South Dakota,2,"['201', '&nbsp;']","['179', '&nbsp;']","['22', '&nbsp;']"
2358,r044,United States -> Tennessee,United States,Tennessee,2,"['1,440', '&nbsp;']","['1,184', '&nbsp;']","['255', '&nbsp;']"
2358,r045,United States -> Texas,United States,Texas,2,"['20,929', '&nbsp;']","['18,267', '&nbsp;']","['2,662', '&nbsp;']"
2358,r046,United States -> Utah,United States,Utah,2,"['3,025', '&nbsp;']","['2,642', '&nbsp;']","['383', '&nbsp;']"
2358,r047,United States -> Vermont,United States,Vermont,2,"['300', '&nbsp;']","['233', '&nbsp;']","['67', '&nbsp;']"
2358,r048,United States -> Virginia,United States,Virginia,2,"['5,725', '&nbsp;']","['4,092', '&nbsp;']","['1,633', '&nbsp;']"
2358,r049,United States -> Washington,United States,Washington,2,"['30,305', '&nbsp;']","['29,498', '&nbsp;']","['807', '&nbsp;']"
2358,r050,United States -> West Virginia,United States,West Virginia,2,"['238', 'i']","['209', 'i']","['29', '&nbsp;']"
2358,r051,United States -> Wisconsin,United States,Wisconsin,2,"['5,966', '&nbsp;']","['5,334', '&nbsp;']","['632', '&nbsp;']"
2358,r052,United States -> Wyoming,United States,Wyoming,2,"['39', '&nbsp;']","['34', '&nbsp;']","['5', '&nbsp;']"
2358,r053,United States -> Undistributed funds<sup>b</sup>,United States,Undistributed funds<sup>b</sup>,2,"['2,584', '&nbsp;']","['2,399', '&nbsp;']","['186', '&nbsp;']"
