table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_total_federal,field_doc,field_dod,field_doe,field_doi,field_dot,field_ed,field_epa,field_hhs,field_nsf,field_usda,field_othera
5212,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,607788664,20256362,11137458,21912430,106812063,188244635,7434905,7580511,179622124,13136596,31818831,19832749
5212,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,6774915,182496,212784,21883,2272473,3194428,16000,25979,0,716928,23866,108078
5212,r003,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,6143917,0,0,0,1982200,3818404,0,253313,0,0,0,90000
5212,r004,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,3766942,0,0,0,1435961,1473269,0,0,0,0,857712,0
5212,r005,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,4966349,0,0,0,964929,552087,0,0,0,3449333,0,0
5212,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,22657670,0,0,0,1196291,16399983,2814595,1774719,0,0,298913,173169
5212,r007,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,6659704,0,4182,0,2708309,2833633,124839,17663,311904,0,603303,55871
5212,r008,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,15873807,0,0,0,5404300,2417467,429097,26338,4329803,115574,3151228,0
5212,r009,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,1476864,66012,0,875,425456,961780,0,0,0,22741,0,0
5212,r010,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,2560026,0,0,0,0,506436,0,156000,1812183,0,0,85407
5212,r011,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,30382990,6120334,404149,0,5383175,7026998,0,757072,0,10504,10480610,200148
5212,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,14101354,136188,0,7893986,536683,5534497,0,0,0,0,0,0
5212,r013,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,7330911,275000,5491637,625000,297000,238500,0,0,0,0,403774,0
5212,r014,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,12620448,0,0,4338516,4444709,2841617,0,0,0,0,995606,0
5212,r015,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,7641755,0,0,0,0,7396777,0,0,244978,0,0,0
5212,r016,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,7126764,0,0,0,56764,7070000,0,0,0,0,0,0
5212,r017,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,2,7734114,0,0,0,2076078,5437573,0,0,0,0,0,220463
5212,r018,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,2,6612890,0,0,0,4103741,2452147,0,7002,0,0,0,50000
5212,r019,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,2,6273543,0,0,0,1271959,5001584,0,0,0,0,0,0
5212,r020,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,2,19451587,30856,0,1380472,4927358,7360000,199912,0,0,3588147,0,1964842
