table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_fy_2020_all_r_d_expenditures,field_fy_2020_internal_funds,field_fy_2020_federal_government,field_fy_2020_all_other_sources_of_funds,field_fy_2021_all_r_d_expenditures,field_fy_2021_internal_funds,field_fy_2021_federal_government,field_fy_2021_all_other_sources_of_funds,field_fy_2022_all_r_d_expenditures,field_fy_2022_internal_funds,field_fy_2022_federal_government,field_fy_2022_all_other_sources_of_funds
12383,r001,All states,All states,,1,"['26,709,319', '  ']","['5,974,525', '  ']","['11,809,428', '  ']","['8,925,365', '  ']","['27,029,919', '  ']","['7,535,597', '  ']","['11,481,142', '  ']","['8,013,180', '  ']","['28,052,093', '  ']","['7,568,079', '  ']","['11,648,446', '  ']","['8,835,568', '  ']"
12383,r002,All states -> Alabama,All states,Alabama,2,"['120,982', '  ']","['13', '  ']","['78,967', '  ']","['42,002', '  ']","['119,910', '  ']","['13,491', '  ']","['55,060', '  ']","['51,359', '  ']","['97,750', '  ']","['1,786', '  ']","['63,850', '  ']","['32,114', '  ']"
12383,r003,All states -> Alaska,All states,Alaska,2,"['17,387', '  ']","['22', '  ']","['16,043', '  ']","['1,322', '  ']","['17,375', '  ']","['102', '  ']","['15,447', '  ']","['1,826', '  ']","['16,387', '  ']","['5', '  ']","['15,424', '  ']","['959', '  ']"
12383,r004,All states -> Arizona,All states,Arizona,2,"['109,263', '  ']","['12,281', '  ']","['53,376', '  ']","['43,606', '  ']","['167,955', '  ']","['57,192', '  ']","['86,385', '  ']","['24,378', '  ']","['186,604', '  ']","['19,598', '  ']","['82,928', '  ']","['84,078', '  ']"
12383,r005,All states -> Arkansas,All states,Arkansas,2,"['65,569', '  ']","['11,116', 'i ']","['31,902', '  ']","['22,550', '  ']","['74,490', 'i ']","['26,216', 'i ']","['26,044', '  ']","['22,230', '  ']","['43,463', '  ']","['478', '  ']","['31,773', '  ']","['11,212', '  ']"
12383,r006,All states -> California,All states,California,2,"['3,713,885', '  ']","['668,877', 'i ']","['1,762,040', '  ']","['1,282,969', '  ']","['3,540,462', '  ']","['840,861', '  ']","['1,574,095', '  ']","['1,125,507', '  ']","['3,054,684', '  ']","['539,150', '  ']","['1,661,575', '  ']","['853,960', '  ']"
12383,r007,All states -> Colorado,All states,Colorado,2,"['147,984', '  ']","['21,278', '  ']","['78,277', '  ']","['48,429', '  ']","['348,426', '  ']","['27,150', '  ']","['93,487', '  ']","['227,790', '  ']","['406,223', '  ']","['72,338', 'i ']","['106,672', '  ']","['227,212', '  ']"
12383,r008,All states -> Connecticut,All states,Connecticut,2,"['142,804', '  ']","['32,455', '  ']","['18,133', '  ']","['92,216', '  ']","['102,809', '  ']","['64,775', '  ']","['18,130', '  ']","['19,904', '  ']","['116,386', '  ']","['52,916', '  ']","['28,873', 'i ']","['34,597', '  ']"
12383,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
12383,r010,All states -> District of Columbia,All states,District of Columbia,2,"['1,749,853', '  ']","['220,703', '  ']","['523,881', '  ']","['1,005,270', '  ']","['1,136,172', '  ']","['234,985', '  ']","['365,758', '  ']","['535,430', '  ']","['1,187,478', '  ']","['385,830', '  ']","['302,345', '  ']","['499,303', '  ']"
12383,r011,All states -> Florida,All states,Florida,2,"['462,230', '  ']","['98,613', 'i ']","['182,917', 'i ']","['180,700', '  ']","['460,556', '  ']","['100,376', '  ']","['188,821', '  ']","['171,360', '  ']","['517,798', '  ']","['90,578', '  ']","['205,644', '  ']","['221,577', '  ']"
12383,r012,All states -> Georgia,All states,Georgia,2,"['83,372', '  ']","['20,599', '  ']","['21,737', '  ']","['41,036', '  ']","['91,366', '  ']","['24,556', '  ']","['17,034', '  ']","['49,777', '  ']","['99,423', '  ']","['33,296', '  ']","['13,001', '  ']","['53,127', '  ']"
12383,r013,All states -> Hawaii,All states,Hawaii,2,"['119,732', '  ']","['13,627', '  ']","['85,891', '  ']","['20,213', '  ']","['39,413', '  ']","['17,942', '  ']","['9,043', '  ']","['12,428', '  ']","['25,992', '  ']","['13,308', '  ']","['8,979', '  ']","['3,705', '  ']"
12383,r014,All states -> Idaho,All states,Idaho,2,"['10,174', '  ']","['711', '  ']","['2,835', '  ']","['6,628', '  ']","['63,604', '  ']","['31,599', '  ']","['10,531', '  ']","['21,475', '  ']","['14,314', '  ']","['3,269', '  ']","['2,644', '  ']","['8,401', '  ']"
12383,r015,All states -> Illinois,All states,Illinois,2,"['671,178', '  ']","['116,027', '  ']","['253,383', '  ']","['301,768', '  ']","['622,132', '  ']","['351,986', '  ']","['128,714', '  ']","['141,432', '  ']","['549,717', '  ']","['279,118', '  ']","['85,681', '  ']","['184,918', '  ']"
12383,r016,All states -> Indiana,All states,Indiana,2,"['21,161', '  ']","['11,223', '  ']","['1,605', '  ']","['8,333', '  ']","['27,921', '  ']","['13,038', '  ']","['555', '  ']","['14,329', '  ']","['19,131', '  ']","['15,962', '  ']","['45', '  ']","['3,125', '  ']"
12383,r017,All states -> Iowa,All states,Iowa,2,"['959', '  ']","['0', '  ']","['876', '  ']","['83', '  ']","['6,064', '  ']","['4,671', '  ']","['958', '  ']","['435', '  ']","['8,499', '  ']","['5,249', '  ']","['2,569', '  ']","['681', '  ']"
12383,r018,All states -> Kansas,All states,Kansas,2,"['11,832', '  ']","['25', '  ']","['201', '  ']","['11,606', '  ']","['13,862', '  ']","['3,198', '  ']","['614', '  ']","['10,050', '  ']","['9,038', '  ']","['5,871', '  ']","['80', '  ']","['3,087', '  ']"
