table_id,row_id,directorate,2002,2012,2022
12408,r001,Biological Sciences (BIO),6704,9558,10602
12408,r002,Computer and Information Science and Engineering (CISE),969,2249,4676
12408,r003,STEM Education (EDU),6459,4802,4509
12408,r004,Engineering (ENG),5081,8469,11340
12408,r005,Geosciences (GEO),802,1023,1231
12408,r006,Mathematical and Physical Sciences (MPS),4142,6341,7795
12408,r007,"Social, Behavioral and Economic Sciences (SBE)",7594,9169,9441
