table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
7954,r001,All R&D fields,All R&D fields,,,,1,89723447,49143460,4736015,22448362,5115480,5590273,2689857
7954,r002,All R&D fields -> Science,All R&D fields,Science,,,2,70316530,39063689,3452180,17066562,3943191,4685613,2105295
7954,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,2951923,1994728,69099,597889,150733,77519,61955
7954,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,3295883,2145163,206815,656303,76015,130770,80817
7954,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,624579,484265,18889,93352,6711,11714,9648
7954,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1242339,772157,61483,279698,36697,51507,40797
7954,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1035519,640634,98407,209010,21115,44793,21560
7954,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,393446,248107,28036,74243,11492,22756,8812
7954,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,52364596,28452956,2734533,12432608,3445313,3649996,1649190
7954,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,3548896,1099585,921680,1134280,132301,137492,123558
7954,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,16557201,10001728,568953,3806544,713278,1085048,381650
7954,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,29884728,16138445,1030872,6809105,2530643,2292843,1082820
7954,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,934765,429905,140192,271302,20765,50191,22410
7954,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1439006,783293,72836,411377,48326,84422,38752
7954,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,772935,475827,27009,212549,12149,37883,7518
7954,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,5740630,3852415,113326,1247864,171349,239440,116236
7954,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,741127,509733,6161,140021,3561,49922,31729
7954,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,1999546,1239825,47846,516656,73249,83572,38398
7954,r019,All R&D fields -> Science -> Physical sciences -> Materials science,All R&D fields,Science,Physical sciences,Materials science,4,285931,174331,5632,67374,25498,8048,5048
7954,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,2463331,1767740,43643,475272,46537,92923,37216
7954,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,250695,160786,10044,48541,22504,4975,3845
7954,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,1326030,812660,44942,358712,12198,77025,20493
7954,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,2842033,955852,168142,1109283,44268,427640,136848
7954,r024,All R&D fields -> Science -> Social sciences -> Anthropology,All R&D fields,Science,Social sciences,Anthropology,4,109546,29533,3428,62278,1892,7255,5160
7954,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,549132,137555,42387,215777,12495,101381,39537
7954,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,425661,86443,18063,196891,5115,88338,30811
7954,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,552551,232318,32173,191496,6208,74055,16301
7954,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,1205143,470003,72091,442841,18558,156611,45039
7954,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,1022500,374088,88314,451354,31166,45340,32238
7954,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,14293487,8714829,946273,2794243,1042309,377776,418057
7954,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,1451964,1110088,28477,149857,128926,3196,31420
7954,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,1560381,960152,55254,359195,62568,88596,34616
7954,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,1024301,572307,41478,233601,106178,43933,26804
7954,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,1482377,664620,257027,388675,80954,42085,49016
7954,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,3080363,2209153,83239,461916,174968,75350,75737
7954,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,573915,384142,29643,117343,25953,12458,4376
7954,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,1881551,1274012,64449,327594,143926,33715,37855
7954,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,841196,559447,27752,152026,57551,19978,24442
7954,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,2397439,980908,358954,604036,261285,58465,133791
7954,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,5113430,1364942,337562,2587557,129980,526884,166505
