table_id,row_id,race_or_ethnicity_and_degree_field_full_path,race_or_ethnicity_and_degree_field_level_1,race_or_ethnicity_and_degree_field_level_2,race_or_ethnicity_and_degree_field_hierarchy_depth,field_s_e_occupations,field_s_e_related_occupations,field_non_s_e_occupations
4413,r001,Asian,Asian,,1,44.9,13.5,41.6
4413,r002,Asian -> Computer and mathematical sciences ,Asian,Computer and mathematical sciences ,2,65.3,10.7,24.0
4413,r003,"Asian -> Biological, agricultural and environmental life sciences",Asian,"Biological, agricultural and environmental life sciences",2,35.4,32.3,32.3
4413,r004,Asian -> Physical and related sciences ,Asian,Physical and related sciences ,2,55.1,19.5,25.5
4413,r005,Asian -> Social and related sciences ,Asian,Social and related sciences ,2,14.6,4.7,80.7
4413,r006,Asian -> Engineering ,Asian,Engineering ,2,64.0,10.2,25.9
4413,r007,Black or African American,Black or African American,,1,15.2,11.8,73.1
4413,r008,Black or African American -> Computer and mathematical sciences ,Black or African American,Computer and mathematical sciences ,2,41.1,11.2,47.7
4413,r009,"Black or African American -> Biological, agricultural and environmental life sciences",Black or African American,"Biological, agricultural and environmental life sciences",2,17.2,34.8,48.0
4413,r010,Black or African American -> Physical and related sciences ,Black or African American,Physical and related sciences ,2,22.3,8.2,69.4
4413,r011,Black or African American -> Social and related sciences ,Black or African American,Social and related sciences ,2,6.4,6.0,87.6
4413,r012,Black or African American -> Engineering ,Black or African American,Engineering ,2,38.1,15.5,46.4
4413,r013,Hispanic or Latino,Hispanic or Latino,,1,22.0,11.7,66.3
4413,r014,Hispanic or Latino -> Computer and mathematical sciences ,Hispanic or Latino,Computer and mathematical sciences ,2,31.0,16.5,52.5
4413,r015,"Hispanic or Latino -> Biological, agricultural and environmental life sciences",Hispanic or Latino,"Biological, agricultural and environmental life sciences",2,28.4,31.3,40.3
4413,r016,Hispanic or Latino -> Physical and related sciences ,Hispanic or Latino,Physical and related sciences ,2,49.8,18.0,32.2
4413,r017,Hispanic or Latino -> Social and related sciences ,Hispanic or Latino,Social and related sciences ,2,12.9,5.5,81.6
4413,r018,Hispanic or Latino -> Engineering ,Hispanic or Latino,Engineering ,2,47.2,10.5,42.3
4413,r019,White,White,,1,23.9,13.8,62.3
4413,r020,White -> Computer and mathematical sciences ,White,Computer and mathematical sciences ,2,41.8,17.7,40.5
4413,r021,"White -> Biological, agricultural and environmental life sciences",White,"Biological, agricultural and environmental life sciences",2,26.5,28.4,45.2
4413,r022,White -> Physical and related sciences ,White,Physical and related sciences ,2,40.0,19.7,40.3
4413,r023,White -> Social and related sciences ,White,Social and related sciences ,2,12.9,7.4,79.7
4413,r024,White -> Engineering ,White,Engineering ,2,58.8,11.1,30.1
4413,r025,Other race or ethnicity,Other race or ethnicity,,1,20.5,12.4,67.1
4413,r026,Other race or ethnicity -> Computer and mathematical sciences ,Other race or ethnicity,Computer and mathematical sciences ,2,56.6,10.2,33.2
4413,r027,"Other race or ethnicity -> Biological, agricultural and environmental life sciences",Other race or ethnicity,"Biological, agricultural and environmental life sciences",2,20.7,24.4,54.8
4413,r028,Other race or ethnicity -> Physical and related sciences ,Other race or ethnicity,Physical and related sciences ,2,33.1,25.5,41.3
4413,r029,Other race or ethnicity -> Social and related sciences ,Other race or ethnicity,Social and related sciences ,2,9.4,8.6,82.0
4413,r030,Other race or ethnicity -> Engineering ,Other race or ethnicity,Engineering ,2,62.8,6.0,31.2
